symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLE,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,44.45,44.1,45.15,2025-12-26T00:00:00-05:00,44.1,SL hit,-1.0,loss
XLE,PrevDayBreakout_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,44.825,43.995,46.485,2026-01-05T00:00:00-05:00,46.485,TP hit,2.0,win
XLE,PrevDayBreakout_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,44.965,44.295,46.305,2026-01-05T00:00:00-05:00,46.305,TP hit,2.0,win
XLE,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,47.255,44.575,52.615,2026-01-09T00:00:00-05:00,46.66,time stop loss,-0.222,loss
XLE,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,46.98,44.49,51.96,2026-01-12T00:00:00-05:00,46.33,time stop loss,-0.261,loss
XLE,PrevDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,46.805,45.085,50.245,2026-01-15T00:00:00-05:00,47.62,time stop win,0.4738,win
XLE,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,47.235,46.105,49.495,2026-01-21T00:00:00-05:00,48.76,time stop win,1.3496,win
XLE,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,47.62,46.685,49.49,2026-01-22T00:00:00-05:00,48.91,time stop win,1.3797,win
XLE,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,48.625,47.5,50.875,2026-01-28T00:00:00-05:00,50.03,time stop win,1.2489,win
XLE,PrevDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,49.865,48.42,52.755,2026-01-30T00:00:00-05:00,51.02,time stop win,0.7993,win
XLE,PrevDayBreakout_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,51.105,49.175,54.965,2026-01-30T00:00:00-05:00,51.02,time stop loss,-0.044,loss
XLE,PrevDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,50.38,49.57,52.0,2026-01-30T00:00:00-05:00,51.02,time stop win,0.7901,win
