symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLF,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,54.04,53.245,55.63,2025-10-02T00:00:00-04:00,53.245,SL hit,-1.0,loss
XLF,TwoDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,53.355,52.12,55.825,2025-10-29T00:00:00-04:00,52.12,SL hit,-1.0,loss
XLF,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,53.335,52.295,55.415,2025-10-29T00:00:00-04:00,52.295,SL hit,-1.0,loss
XLF,TwoDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,52.525,51.65,54.275,2025-11-12T00:00:00-05:00,53.67,time stop win,1.3086,win
XLF,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,53.03,52.095,54.9,2025-11-17T00:00:00-05:00,52.095,SL hit,-1.0,loss
XLF,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,53.24,52.095,55.53,2025-11-17T00:00:00-05:00,52.095,SL hit,-1.0,loss
XLF,TwoDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,53.585,52.655,55.445,2025-11-14T00:00:00-05:00,52.655,SL hit,-1.0,loss
XLF,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,52.625,51.135,55.605,2025-12-03T00:00:00-05:00,53.54,time stop win,0.6141,win
XLF,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,53.1,51.33,56.64,2025-12-04T00:00:00-05:00,53.65,time stop win,0.3107,win
XLF,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,53.065,51.915,55.365,2025-12-05T00:00:00-05:00,53.67,time stop win,0.5261,win
XLF,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,53.58,52.65,55.44,2025-12-10T00:00:00-05:00,53.88,time stop win,0.3226,win
XLF,TwoDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,53.535,52.65,55.305,2025-12-11T00:00:00-05:00,54.88,time stop win,1.5198,win
XLF,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,55.13,53.215,58.96,2025-12-18T00:00:00-05:00,54.53,time stop loss,-0.3133,loss
XLF,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,55.37,54.355,57.4,2025-12-30T00:00:00-05:00,55.185,time stop loss,-0.1823,loss
XLF,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,55.745,54.74,57.755,2026-01-02T00:00:00-05:00,54.74,SL hit,-1.0,loss
XLF,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,56.065,54.34,59.515,2026-01-12T00:00:00-05:00,55.275,time stop loss,-0.458,loss
XLF,TwoDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,53.405,52.76,54.695,2026-01-30T00:00:00-05:00,53.46,time stop win,0.0853,win
