symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLI,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,152.16,150.62,155.24,2025-10-02T00:00:00-04:00,154.18,time stop win,1.3117,win
XLI,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,153.69,153.085,154.9,2025-10-10T00:00:00-04:00,153.085,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,151.0,149.9,153.2,2025-10-14T00:00:00-04:00,153.2,TP hit,2.0,win
XLI,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,153.46,152.45,155.48,2025-10-24T00:00:00-04:00,155.48,TP hit,2.0,win
XLI,MeanReversion_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,154.885,154.66,155.335,2025-10-29T00:00:00-04:00,154.66,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,152.09,151.81,152.65,2025-11-05T00:00:00-05:00,152.65,TP hit,2.0,win
XLI,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,150.025,149.1,151.875,2025-11-20T00:00:00-05:00,149.1,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,148.365,147.72,149.655,2025-11-21T00:00:00-05:00,147.72,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,152.3,151.37,154.16,2025-12-03T00:00:00-05:00,154.16,TP hit,2.0,win
XLI,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,153.97,153.195,155.52,2025-12-10T00:00:00-05:00,155.52,TP hit,2.0,win
XLI,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,155.7,155.41,156.28,2025-12-17T00:00:00-05:00,155.41,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,154.95,153.37,158.11,2025-12-24T00:00:00-05:00,157.48,time stop win,1.6013,win
XLI,MeanReversion_D1,2025-12-30T00:00:00-05:00,2025-12-31T00:00:00-05:00,156.515,156.39,156.765,2025-12-31T00:00:00-05:00,156.39,SL hit,-1.0,loss
XLI,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,155.59,155.06,156.65,2026-01-02T00:00:00-05:00,155.06,SL hit,-1.0,loss
XLI,MeanReversion_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,159.895,158.875,161.935,2026-01-09T00:00:00-05:00,161.935,TP hit,2.0,win
XLI,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,164.66,163.19,167.6,2026-01-27T00:00:00-05:00,165.06,time stop win,0.2721,win
XLI,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,164.19,163.72,165.13,2026-01-27T00:00:00-05:00,163.72,SL hit,-1.0,loss
