symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLK,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,293.54,281.63,317.36,2025-11-14T00:00:00-05:00,281.63,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,284.42,273.32,306.62,2025-12-04T00:00:00-05:00,291.01,time stop win,0.5937,win
XLK,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,283.42,273.32,303.62,2025-12-05T00:00:00-05:00,273.32,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,287.98,281.69,300.56,2025-12-05T00:00:00-05:00,281.69,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,287.86,282.61,298.36,2025-12-05T00:00:00-05:00,282.61,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,146.98,146.92,147.1,2025-12-11T00:00:00-05:00,146.92,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,145.99,139.33,159.31,2025-12-29T00:00:00-05:00,145.91,time stop loss,-0.012,loss
XLK,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,144.68,140.82,152.4,2025-12-30T00:00:00-05:00,145.41,time stop win,0.1891,win
XLK,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,146.645,144.37,151.195,2025-12-31T00:00:00-05:00,144.37,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,145.3,144.37,147.16,2025-12-31T00:00:00-05:00,144.37,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,146.45,143.41,152.53,2026-01-13T00:00:00-05:00,146.49,time stop win,0.0132,win
XLK,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,146.74,143.5,153.22,2026-01-14T00:00:00-05:00,143.5,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,147.39,143.75,154.67,2026-01-29T00:00:00-05:00,143.75,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,149.005,143.75,159.515,2026-01-29T00:00:00-05:00,143.75,SL hit,-1.0,loss
XLK,TwoDayBreakout_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,147.715,144.915,153.315,2026-01-29T00:00:00-05:00,144.915,SL hit,-1.0,loss
