symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLP,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,78.085,77.915,78.425,2025-09-23T00:00:00-04:00,77.915,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,77.575,77.375,77.975,2025-10-07T00:00:00-04:00,77.375,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-10-13T00:00:00-04:00,2025-10-14T00:00:00-04:00,77.92,77.44,78.88,2025-10-14T00:00:00-04:00,78.88,TP hit,2.0,win
XLP,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,79.02,78.49,80.08,2025-10-22T00:00:00-04:00,80.08,TP hit,2.0,win
XLP,MeanReversion_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,79.295,79.095,79.695,2025-10-22T00:00:00-04:00,79.095,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,76.595,76.485,76.815,2025-10-30T00:00:00-04:00,76.485,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-10-31T00:00:00-04:00,2025-11-03T00:00:00-05:00,76.015,75.83,76.385,2025-11-03T00:00:00-05:00,75.83,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-11-03T00:00:00-05:00,2025-11-04T00:00:00-05:00,75.945,75.47,76.895,2025-11-06T00:00:00-05:00,75.47,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-11-17T00:00:00-05:00,2025-11-18T00:00:00-05:00,76.99,76.715,77.54,2025-11-18T00:00:00-05:00,76.715,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-11-19T00:00:00-05:00,2025-11-20T00:00:00-05:00,76.735,76.23,77.745,2025-11-21T00:00:00-05:00,77.745,TP hit,2.0,win
XLP,MeanReversion_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,77.21,76.895,77.84,2025-11-25T00:00:00-05:00,77.84,TP hit,2.0,win
XLP,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,78.915,78.18,80.385,2025-12-04T00:00:00-05:00,78.18,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,78.35,78.015,79.02,2025-12-08T00:00:00-05:00,78.015,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,77.975,77.7,78.525,2025-12-09T00:00:00-05:00,77.7,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,79.35,79.105,79.84,2025-12-17T00:00:00-05:00,79.84,TP hit,2.0,win
XLP,MeanReversion_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,77.795,77.725,77.935,2025-12-23T00:00:00-05:00,77.725,SL hit,-1.0,loss
XLP,MeanReversion_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,77.615,77.39,78.065,2025-12-24T00:00:00-05:00,78.065,TP hit,2.0,win
XLP,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,82.38,81.96,83.22,2026-01-30T00:00:00-05:00,83.22,TP hit,2.0,win
