symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLRE,MeanReversion_D1,2025-11-06T00:00:00-05:00,2025-11-07T00:00:00-05:00,40.92,40.705,41.35,2025-11-10T00:00:00-05:00,41.35,TP hit,2.0,win
XLRE,MeanReversion_D1,2025-11-13T00:00:00-05:00,2025-11-14T00:00:00-05:00,40.925,40.775,41.225,2025-11-14T00:00:00-05:00,40.775,SL hit,-1.0,loss
XLRE,MeanReversion_D1,2025-11-17T00:00:00-05:00,2025-11-18T00:00:00-05:00,40.665,40.57,40.855,2025-11-18T00:00:00-05:00,40.57,SL hit,-1.0,loss
XLRE,MeanReversion_D1,2025-11-19T00:00:00-05:00,2025-11-20T00:00:00-05:00,40.76,40.39,41.5,2025-11-20T00:00:00-05:00,40.39,SL hit,-1.0,loss
XLRE,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,40.535,40.36,40.885,2025-11-21T00:00:00-05:00,40.885,TP hit,2.0,win
XLRE,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,41.2,41.075,41.45,2025-12-02T00:00:00-05:00,41.075,SL hit,-1.0,loss
XLRE,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,40.97,40.865,41.18,2025-12-04T00:00:00-05:00,41.18,TP hit,2.0,win
XLRE,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,40.86,40.71,41.16,2025-12-09T00:00:00-05:00,40.71,SL hit,-1.0,loss
XLRE,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,40.595,40.475,40.835,2025-12-10T00:00:00-05:00,40.835,TP hit,2.0,win
XLRE,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,40.555,40.51,40.645,2025-12-17T00:00:00-05:00,40.645,TP hit,2.0,win
XLRE,MeanReversion_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,40.195,39.735,41.115,2025-12-30T00:00:00-05:00,40.71,time stop win,1.1196,win
XLRE,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,41.69,41.365,42.34,2026-01-21T00:00:00-05:00,41.365,SL hit,-1.0,loss
XLRE,MeanReversion_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,41.135,41.12,41.165,2026-01-23T00:00:00-05:00,41.12,SL hit,-1.0,loss
XLRE,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,41.14,40.75,41.92,2026-01-30T00:00:00-05:00,41.43,time stop win,0.7436,win
