symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLRE,PrevDayBreakout_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,41.89,41.335,43.0,2025-09-30T00:00:00-04:00,42.14,time stop win,0.4505,win
XLRE,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,41.93,41.445,42.9,2025-10-03T00:00:00-04:00,42.07,time stop win,0.2887,win
XLRE,PrevDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,41.98,41.52,42.9,2025-10-06T00:00:00-04:00,41.635,time stop loss,-0.75,loss
XLRE,PrevDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,42.14,41.75,42.92,2025-10-02T00:00:00-04:00,41.75,SL hit,-1.0,loss
XLRE,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,42.075,41.69,42.845,2025-10-06T00:00:00-04:00,41.69,SL hit,-1.0,loss
XLRE,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,41.43,40.62,43.05,2025-10-21T00:00:00-04:00,42.35,time stop win,1.1358,win
XLRE,PrevDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,41.98,40.815,44.31,2025-10-22T00:00:00-04:00,42.53,time stop win,0.4721,win
XLRE,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,42.48,41.64,44.16,2025-10-27T00:00:00-04:00,42.73,time stop win,0.2976,win
XLRE,PrevDayBreakout_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,41.03,40.28,42.53,2025-11-11T00:00:00-05:00,41.69,time stop win,0.88,win
XLRE,PrevDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,41.18,40.705,42.13,2025-11-14T00:00:00-05:00,40.95,time stop loss,-0.4842,loss
XLRE,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,41.475,40.965,42.495,2025-11-13T00:00:00-05:00,40.965,SL hit,-1.0,loss
XLRE,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,41.2,40.63,42.34,2025-12-03T00:00:00-05:00,41.08,time stop loss,-0.2105,loss
XLRE,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,41.455,41.1,42.165,2025-12-01T00:00:00-05:00,41.1,SL hit,-1.0,loss
XLRE,PrevDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,40.425,39.995,41.285,2026-01-02T00:00:00-05:00,40.37,time stop loss,-0.1279,loss
XLRE,PrevDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,40.675,40.21,41.605,2026-01-02T00:00:00-05:00,40.21,SL hit,-1.0,loss
XLRE,PrevDayBreakout_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,40.65,40.31,41.33,2026-01-02T00:00:00-05:00,40.31,SL hit,-1.0,loss
XLRE,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,40.895,40.05,42.585,2026-01-08T00:00:00-05:00,40.05,SL hit,-1.0,loss
XLRE,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,40.93,40.46,41.87,2026-01-16T00:00:00-05:00,41.87,TP hit,2.0,win
XLRE,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,41.57,40.26,44.19,2026-01-22T00:00:00-05:00,41.13,time stop loss,-0.3359,loss
XLRE,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,41.59,40.93,42.91,2026-01-23T00:00:00-05:00,40.93,SL hit,-1.0,loss
XLRE,PrevDayBreakout_D1,2026-01-16T00:00:00-05:00,2026-01-20T00:00:00-05:00,41.87,41.445,42.72,2026-01-20T00:00:00-05:00,41.445,SL hit,-1.0,loss
XLRE,PrevDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,41.28,40.75,42.34,2026-01-30T00:00:00-05:00,41.43,time stop win,0.283,win
