symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLRE,TwoDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,41.18,40.705,42.13,2025-11-14T00:00:00-05:00,40.95,time stop loss,-0.4842,loss
XLRE,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,41.475,40.82,42.785,2025-11-13T00:00:00-05:00,40.82,SL hit,-1.0,loss
XLRE,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,41.2,40.45,42.7,2025-12-03T00:00:00-05:00,41.08,time stop loss,-0.16,loss
XLRE,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,41.455,40.63,43.105,2025-12-04T00:00:00-05:00,41.01,time stop loss,-0.5394,loss
XLRE,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,40.425,39.735,41.805,2026-01-02T00:00:00-05:00,40.37,time stop loss,-0.0797,loss
XLRE,TwoDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,40.675,39.995,42.035,2026-01-05T00:00:00-05:00,40.425,time stop loss,-0.3676,loss
XLRE,TwoDayBreakout_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,40.65,40.21,41.53,2026-01-02T00:00:00-05:00,40.21,SL hit,-1.0,loss
XLRE,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,40.895,40.05,42.585,2026-01-08T00:00:00-05:00,40.05,SL hit,-1.0,loss
XLRE,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,40.93,40.46,41.87,2026-01-16T00:00:00-05:00,41.87,TP hit,2.0,win
XLRE,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,41.57,40.26,44.19,2026-01-22T00:00:00-05:00,41.13,time stop loss,-0.3359,loss
XLRE,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,41.59,40.26,44.25,2026-01-23T00:00:00-05:00,41.25,time stop loss,-0.2556,loss
XLRE,TwoDayBreakout_D1,2026-01-16T00:00:00-05:00,2026-01-20T00:00:00-05:00,41.87,40.93,43.75,2026-01-23T00:00:00-05:00,40.93,SL hit,-1.0,loss
XLRE,TwoDayBreakout_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,41.28,40.75,42.34,2026-01-30T00:00:00-05:00,41.43,time stop win,0.283,win
