symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLU,TwoDayBreakout_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,85.72,84.175,88.81,2025-09-30T00:00:00-04:00,87.22,time stop win,0.9709,win
XLU,TwoDayBreakout_D1,2025-09-24T00:00:00-04:00,2025-09-25T00:00:00-04:00,86.17,84.22,90.07,2025-10-01T00:00:00-04:00,88.06,time stop win,0.9692,win
XLU,TwoDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,86.78,85.415,89.51,2025-10-03T00:00:00-04:00,89.51,TP hit,2.0,win
XLU,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,87.165,85.415,90.665,2025-10-06T00:00:00-04:00,89.77,time stop win,1.4886,win
XLU,TwoDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,87.38,85.64,90.86,2025-10-07T00:00:00-04:00,90.165,time stop win,1.6006,win
XLU,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,87.82,86.16,91.14,2025-10-08T00:00:00-04:00,90.8,time stop win,1.7952,win
XLU,TwoDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,89.31,87.24,93.45,2025-10-10T00:00:00-04:00,90.19,time stop win,0.4251,win
XLU,TwoDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,90.15,87.24,95.97,2025-10-13T00:00:00-04:00,90.86,time stop win,0.244,win
XLU,TwoDayBreakout_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,90.845,88.09,96.355,2025-10-14T00:00:00-04:00,91.69,time stop win,0.3067,win
XLU,TwoDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,91.21,88.83,95.97,2025-10-15T00:00:00-04:00,92.88,time stop win,0.7017,win
XLU,TwoDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,92.155,90.105,96.255,2025-10-21T00:00:00-04:00,90.6,time stop loss,-0.7585,loss
XLU,TwoDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,93.39,90.26,99.65,2025-10-21T00:00:00-04:00,90.26,SL hit,-1.0,loss
XLU,TwoDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,91.36,89.83,94.42,2025-10-29T00:00:00-04:00,89.83,SL hit,-1.0,loss
XLU,TwoDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,89.81,88.415,92.6,2025-11-14T00:00:00-05:00,88.415,SL hit,-1.0,loss
XLU,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,90.17,87.725,95.06,2025-12-03T00:00:00-05:00,87.725,SL hit,-1.0,loss
XLU,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,90.0,88.45,93.1,2025-12-02T00:00:00-05:00,88.45,SL hit,-1.0,loss
XLU,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,42.8,42.045,44.31,2026-01-02T00:00:00-05:00,43.19,time stop win,0.5166,win
XLU,TwoDayBreakout_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,42.865,42.55,43.495,2026-01-05T00:00:00-05:00,42.55,SL hit,-1.0,loss
XLU,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,43.19,42.68,44.21,2026-01-05T00:00:00-05:00,42.68,SL hit,-1.0,loss
XLU,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,43.33,42.3,45.39,2026-01-22T00:00:00-05:00,42.715,time stop loss,-0.5971,loss
XLU,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,43.19,42.42,44.73,2026-01-23T00:00:00-05:00,42.42,SL hit,-1.0,loss
XLU,TwoDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,43.47,42.31,45.79,2026-01-30T00:00:00-05:00,43.26,time stop loss,-0.181,loss
