symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLV,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,136.31,135.89,137.15,2025-09-23T00:00:00-04:00,137.15,TP hit,2.0,win
XLV,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,135.055,133.73,137.705,2025-09-30T00:00:00-04:00,137.705,TP hit,2.0,win
XLV,MeanReversion_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,143.98,143.595,144.75,2025-10-30T00:00:00-04:00,144.75,TP hit,2.0,win
XLV,MeanReversion_D1,2025-11-14T00:00:00-05:00,2025-11-17T00:00:00-05:00,151.2,151.19,151.22,2025-11-17T00:00:00-05:00,151.22,TP hit,2.0,win
XLV,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,151.79,151.15,153.07,2025-11-21T00:00:00-05:00,153.07,TP hit,2.0,win
XLV,MeanReversion_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,157.255,157.17,157.425,2025-12-01T00:00:00-05:00,157.17,SL hit,-1.0,loss
XLV,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,155.2,155.18,155.24,2025-12-02T00:00:00-05:00,155.18,SL hit,-1.0,loss
XLV,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,154.675,154.145,155.735,2025-12-03T00:00:00-05:00,155.735,TP hit,2.0,win
XLV,MeanReversion_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,154.45,153.395,156.56,2025-12-05T00:00:00-05:00,153.395,SL hit,-1.0,loss
XLV,MeanReversion_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,153.07,152.965,153.28,2025-12-08T00:00:00-05:00,152.965,SL hit,-1.0,loss
XLV,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,152.31,151.2,154.53,2025-12-09T00:00:00-05:00,151.2,SL hit,-1.0,loss
XLV,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,150.525,149.855,151.865,2025-12-10T00:00:00-05:00,151.865,TP hit,2.0,win
XLV,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,154.19,153.09,156.39,2025-12-23T00:00:00-05:00,154.99,time stop win,0.7273,win
XLV,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,158.415,157.625,159.995,2026-01-09T00:00:00-05:00,157.625,SL hit,-1.0,loss
XLV,MeanReversion_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,157.4,157.26,157.68,2026-01-12T00:00:00-05:00,157.26,SL hit,-1.0,loss
XLV,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,155.145,153.25,158.935,2026-01-22T00:00:00-05:00,158.935,TP hit,2.0,win
XLV,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,157.35,156.66,158.73,2026-01-27T00:00:00-05:00,156.66,SL hit,-1.0,loss
XLV,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,154.13,153.48,155.43,2026-01-30T00:00:00-05:00,153.48,SL hit,-1.0,loss
