symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLY,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,240.37,235.22,250.67,2025-10-06T00:00:00-04:00,239.92,time stop loss,-0.0874,loss
XLY,TwoDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,236.73,230.75,248.69,2025-10-27T00:00:00-04:00,241.08,time stop win,0.7274,win
XLY,TwoDayBreakout_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,238.68,231.9,252.24,2025-10-28T00:00:00-04:00,241.11,time stop win,0.3584,win
XLY,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,240.53,234.57,252.45,2025-10-30T00:00:00-04:00,234.57,SL hit,-1.0,loss
XLY,TwoDayBreakout_D1,2025-11-03T00:00:00-05:00,2025-11-04T00:00:00-05:00,239.09,233.725,249.82,2025-11-07T00:00:00-05:00,233.725,SL hit,-1.0,loss
XLY,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,240.315,232.85,255.245,2025-11-13T00:00:00-05:00,232.85,SL hit,-1.0,loss
XLY,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,233.935,221.985,257.835,2025-12-03T00:00:00-05:00,239.0,time stop win,0.4238,win
XLY,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,235.915,227.095,253.555,2025-12-04T00:00:00-05:00,238.22,time stop win,0.2613,win
XLY,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,235.245,228.2,249.335,2025-12-05T00:00:00-05:00,228.2,SL hit,-1.0,loss
XLY,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,239.57,234.98,248.75,2025-12-05T00:00:00-05:00,234.98,SL hit,-1.0,loss
XLY,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,119.685,117.375,124.305,2025-12-17T00:00:00-05:00,120.55,time stop win,0.3745,win
XLY,TwoDayBreakout_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,121.88,118.21,129.22,2025-12-19T00:00:00-05:00,121.82,time stop loss,-0.0163,loss
XLY,TwoDayBreakout_D1,2025-12-15T00:00:00-05:00,2025-12-16T00:00:00-05:00,121.63,119.615,125.66,2025-12-22T00:00:00-05:00,122.295,time stop win,0.33,win
XLY,TwoDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,122.92,119.44,129.88,2026-01-15T00:00:00-05:00,122.67,time stop loss,-0.0718,loss
XLY,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,123.66,120.44,130.1,2026-01-16T00:00:00-05:00,122.295,time stop loss,-0.4239,loss
XLY,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,122.525,118.905,129.765,2026-01-29T00:00:00-05:00,121.185,time stop loss,-0.3702,loss
XLY,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,123.16,119.44,130.6,2026-01-30T00:00:00-05:00,121.17,time stop loss,-0.5349,loss
