symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XME,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,105.95,100.78,116.29,2025-10-17T00:00:00-04:00,102.26,time stop loss,-0.7137,loss
XME,MeanReversion_D1,2025-10-17T00:00:00-04:00,2025-10-20T00:00:00-04:00,105.875,101.29,115.045,2025-10-21T00:00:00-04:00,101.29,SL hit,-1.0,loss
XME,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,98.645,95.4,105.135,2025-10-29T00:00:00-04:00,98.24,time stop loss,-0.1248,loss
XME,MeanReversion_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,97.72,96.25,100.66,2025-10-30T00:00:00-04:00,96.25,SL hit,-1.0,loss
XME,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,96.505,94.77,99.975,2025-11-03T00:00:00-05:00,94.77,SL hit,-1.0,loss
XME,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,90.52,89.96,91.64,2025-11-05T00:00:00-05:00,89.96,SL hit,-1.0,loss
XME,MeanReversion_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,94.95,92.92,99.01,2025-11-13T00:00:00-05:00,92.92,SL hit,-1.0,loss
XME,MeanReversion_D1,2025-11-14T00:00:00-05:00,2025-11-17T00:00:00-05:00,90.67,89.13,93.75,2025-11-20T00:00:00-05:00,89.13,SL hit,-1.0,loss
XME,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,98.125,97.86,98.655,2025-12-09T00:00:00-05:00,97.86,SL hit,-1.0,loss
XME,MeanReversion_D1,2025-12-15T00:00:00-05:00,2025-12-16T00:00:00-05:00,100.58,100.235,101.27,2025-12-16T00:00:00-05:00,100.235,SL hit,-1.0,loss
XME,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,106.875,105.055,110.515,2025-12-30T00:00:00-05:00,105.055,SL hit,-1.0,loss
XME,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,105.27,103.04,109.73,2026-01-05T00:00:00-05:00,109.73,TP hit,2.0,win
