symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XME,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,107.01,100.42,120.19,2025-12-29T00:00:00-05:00,105.51,time stop loss,-0.2276,loss
XME,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,107.46,101.465,119.45,2025-12-30T00:00:00-05:00,104.71,time stop loss,-0.4587,loss
XME,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,109.7,103.04,123.02,2026-01-09T00:00:00-05:00,116.88,time stop win,1.0781,win
XME,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,112.36,103.04,131.0,2026-01-12T00:00:00-05:00,120.47,time stop win,0.8702,win
XME,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,112.985,104.77,129.415,2026-01-13T00:00:00-05:00,119.72,time stop win,0.8198,win
XME,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,118.955,111.72,133.425,2026-01-16T00:00:00-05:00,124.17,time stop win,0.7208,win
XME,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,121.59,111.72,141.33,2026-01-20T00:00:00-05:00,125.79,time stop win,0.4255,win
XME,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,122.54,118.46,130.7,2026-01-22T00:00:00-05:00,130.7,TP hit,2.0,win
XME,TwoDayBreakout_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,128.68,121.435,143.17,2026-01-27T00:00:00-05:00,128.38,time stop loss,-0.0414,loss
XME,TwoDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,129.355,121.435,145.195,2026-01-28T00:00:00-05:00,128.67,time stop loss,-0.0865,loss
XME,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,130.955,123.92,145.025,2026-01-29T00:00:00-05:00,123.92,SL hit,-1.0,loss
