symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XPH,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,56.96,55.26,60.36,2025-12-29T00:00:00-05:00,56.97,time stop win,0.0059,win
XPH,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,56.535,55.99,57.625,2025-12-30T00:00:00-05:00,56.4,time stop loss,-0.2477,loss
XPH,PrevDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,56.89,56.535,57.6,2025-12-30T00:00:00-05:00,56.535,SL hit,-1.0,loss
XPH,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,56.7,54.64,60.82,2026-01-13T00:00:00-05:00,55.71,time stop loss,-0.4806,loss
XPH,PrevDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,56.99,54.83,61.31,2026-01-14T00:00:00-05:00,56.75,time stop loss,-0.1111,loss
XPH,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,55.81,55.27,56.89,2026-01-20T00:00:00-05:00,55.27,SL hit,-1.0,loss
XPH,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,55.73,54.875,57.44,2026-01-22T00:00:00-05:00,57.44,TP hit,2.0,win
XPH,PrevDayBreakout_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,56.65,55.745,58.46,2026-01-27T00:00:00-05:00,56.61,time stop loss,-0.0442,loss
XPH,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,57.8,55.07,63.26,2026-01-28T00:00:00-05:00,56.61,time stop loss,-0.4359,loss
XPH,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,56.89,56.57,57.53,2026-01-23T00:00:00-05:00,56.57,SL hit,-1.0,loss
XPH,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,56.61,55.99,57.85,2026-01-29T00:00:00-05:00,55.99,SL hit,-1.0,loss
