symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XPH,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,51.0,48.205,56.59,2025-11-17T00:00:00-05:00,51.34,time stop win,0.1216,win
XPH,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,50.95,48.205,56.44,2025-11-18T00:00:00-05:00,52.11,time stop win,0.4226,win
XPH,TwoDayBreakout_D1,2025-11-17T00:00:00-05:00,2025-11-18T00:00:00-05:00,51.52,50.94,52.68,2025-11-24T00:00:00-05:00,52.68,TP hit,2.0,win
XPH,TwoDayBreakout_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,52.28,50.95,54.94,2025-11-25T00:00:00-05:00,54.175,time stop win,1.4248,win
XPH,TwoDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,53.73,51.16,58.87,2025-12-02T00:00:00-05:00,52.7,time stop loss,-0.4008,loss
XPH,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,54.39,52.14,58.89,2025-12-03T00:00:00-05:00,53.94,time stop loss,-0.2,loss
XPH,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,54.805,52.91,58.595,2025-12-02T00:00:00-05:00,52.91,SL hit,-1.0,loss
XPH,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,54.43,53.73,55.83,2025-12-02T00:00:00-05:00,53.73,SL hit,-1.0,loss
XPH,TwoDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,54.51,52.7,58.13,2025-12-11T00:00:00-05:00,56.42,time stop win,1.0552,win
XPH,TwoDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,55.645,53.28,60.375,2025-12-12T00:00:00-05:00,56.25,time stop win,0.2558,win
XPH,TwoDayBreakout_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,56.455,54.29,60.785,2025-12-15T00:00:00-05:00,56.16,time stop loss,-0.1363,loss
XPH,TwoDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,56.96,55.26,60.36,2025-12-29T00:00:00-05:00,56.97,time stop win,0.0059,win
XPH,TwoDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,56.535,55.26,59.085,2025-12-30T00:00:00-05:00,56.4,time stop loss,-0.1059,loss
XPH,TwoDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,56.89,56.535,57.6,2025-12-30T00:00:00-05:00,56.535,SL hit,-1.0,loss
XPH,TwoDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,56.99,54.64,61.69,2026-01-14T00:00:00-05:00,56.75,time stop loss,-0.1021,loss
XPH,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,55.73,54.875,57.44,2026-01-22T00:00:00-05:00,57.44,TP hit,2.0,win
XPH,TwoDayBreakout_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,56.65,55.73,58.49,2026-01-27T00:00:00-05:00,56.61,time stop loss,-0.0435,loss
XPH,TwoDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,57.8,55.07,63.26,2026-01-28T00:00:00-05:00,56.61,time stop loss,-0.4359,loss
XPH,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,56.89,55.07,60.53,2026-01-29T00:00:00-05:00,55.885,time stop loss,-0.5522,loss
