symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XRT,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,80.085,79.7,80.855,2025-11-05T00:00:00-05:00,79.7,SL hit,-1.0,loss
XRT,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,77.64,77.245,78.43,2025-11-21T00:00:00-05:00,78.43,TP hit,2.0,win
XRT,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,87.65,86.83,89.29,2025-12-23T00:00:00-05:00,86.83,SL hit,-1.0,loss
XRT,MeanReversion_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,86.405,86.18,86.855,2025-12-24T00:00:00-05:00,86.855,TP hit,2.0,win
XRT,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,85.655,85.27,86.425,2026-01-02T00:00:00-05:00,85.27,SL hit,-1.0,loss
XRT,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,89.83,89.36,90.77,2026-01-15T00:00:00-05:00,90.77,TP hit,2.0,win
XRT,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,89.41,88.28,91.67,2026-01-27T00:00:00-05:00,88.28,SL hit,-1.0,loss
XRT,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,89.075,88.5,90.225,2026-01-26T00:00:00-05:00,88.5,SL hit,-1.0,loss
XRT,MeanReversion_D1,2026-01-28T00:00:00-05:00,2026-01-29T00:00:00-05:00,87.13,86.89,87.61,2026-01-29T00:00:00-05:00,86.89,SL hit,-1.0,loss
XRT,MeanReversion_D1,2026-01-29T00:00:00-05:00,2026-01-30T00:00:00-05:00,86.345,85.92,87.195,2026-01-30T00:00:00-05:00,85.92,SL hit,-1.0,loss
