symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XRT,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,86.64,85.36,89.2,2025-10-06T00:00:00-04:00,85.36,SL hit,-1.0,loss
XRT,TwoDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,87.15,85.38,90.69,2025-10-06T00:00:00-04:00,85.38,SL hit,-1.0,loss
XRT,TwoDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,85.54,80.89,94.84,2025-10-21T00:00:00-04:00,85.29,time stop loss,-0.0538,loss
XRT,TwoDayBreakout_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,85.24,83.65,88.42,2025-10-28T00:00:00-04:00,85.44,time stop win,0.1258,win
XRT,TwoDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,80.64,79.7,82.52,2025-11-06T00:00:00-05:00,79.7,SL hit,-1.0,loss
XRT,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,81.395,78.33,87.525,2025-11-18T00:00:00-05:00,78.33,SL hit,-1.0,loss
XRT,TwoDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,81.44,79.61,85.1,2025-11-17T00:00:00-05:00,79.61,SL hit,-1.0,loss
XRT,TwoDayBreakout_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,80.035,77.245,85.615,2025-12-01T00:00:00-05:00,84.63,time stop win,1.647,win
XRT,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,83.65,77.64,95.67,2025-12-03T00:00:00-05:00,85.475,time stop win,0.3037,win
XRT,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,84.41,79.41,94.41,2025-12-04T00:00:00-05:00,85.2,time stop win,0.158,win
XRT,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,85.42,83.555,89.15,2025-12-10T00:00:00-05:00,87.93,time stop win,1.3458,win
XRT,TwoDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,86.49,84.39,90.69,2025-12-12T00:00:00-05:00,87.935,time stop win,0.6881,win
XRT,TwoDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,87.83,85.17,93.15,2025-12-17T00:00:00-05:00,87.26,time stop loss,-0.2143,loss
XRT,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,88.99,85.17,96.63,2025-12-18T00:00:00-05:00,87.28,time stop loss,-0.4476,loss
XRT,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,86.89,85.09,90.49,2026-01-08T00:00:00-05:00,90.49,TP hit,2.0,win
XRT,TwoDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,89.04,85.09,96.94,2026-01-13T00:00:00-05:00,90.375,time stop win,0.338,win
XRT,TwoDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,90.505,86.805,97.905,2026-01-15T00:00:00-05:00,90.91,time stop win,0.1095,win
XRT,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,90.735,89.36,93.485,2026-01-20T00:00:00-05:00,89.36,SL hit,-1.0,loss
