symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XSD,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,334.895,329.23,346.225,2025-11-07T00:00:00-05:00,329.23,SL hit,-1.0,loss
XSD,MeanReversion_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,333.035,313.04,373.025,2025-11-13T00:00:00-05:00,313.04,SL hit,-1.0,loss
XSD,MeanReversion_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,327.17,326.42,328.67,2025-11-12T00:00:00-05:00,326.42,SL hit,-1.0,loss
XSD,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,300.0,293.9,312.2,2025-11-20T00:00:00-05:00,293.9,SL hit,-1.0,loss
XSD,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,318.27,315.655,323.5,2025-12-03T00:00:00-05:00,323.5,TP hit,2.0,win
XSD,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,329.99,327.55,334.87,2025-12-15T00:00:00-05:00,327.55,SL hit,-1.0,loss
XSD,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,319.275,316.69,324.445,2025-12-19T00:00:00-05:00,324.445,TP hit,2.0,win
XSD,MeanReversion_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,329.655,329.34,330.285,2025-12-29T00:00:00-05:00,329.34,SL hit,-1.0,loss
XSD,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,326.18,325.07,328.4,2025-12-31T00:00:00-05:00,325.07,SL hit,-1.0,loss
XSD,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,331.0,322.26,348.48,2026-01-06T00:00:00-05:00,348.48,TP hit,2.0,win
XSD,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,343.01,340.61,347.81,2026-01-09T00:00:00-05:00,347.81,TP hit,2.0,win
XSD,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,356.55,345.73,378.19,2026-01-22T00:00:00-05:00,363.06,time stop win,0.6017,win
XSD,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,359.18,349.67,378.2,2026-01-27T00:00:00-05:00,355.14,time stop loss,-0.4248,loss
XSD,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,353.135,350.55,358.305,2026-01-28T00:00:00-05:00,358.305,TP hit,2.0,win
