symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XSD,PrevDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,324.24,315.03,342.66,2025-09-29T00:00:00-04:00,315.98,time stop loss,-0.8969,loss
XSD,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,320.3,315.18,330.54,2025-10-03T00:00:00-04:00,330.54,TP hit,2.0,win
XSD,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,325.53,315.47,345.65,2025-10-08T00:00:00-04:00,336.22,time stop win,1.0626,win
XSD,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,333.42,316.56,367.14,2025-10-09T00:00:00-04:00,335.93,time stop win,0.1489,win
XSD,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,337.28,325.53,360.78,2025-10-10T00:00:00-04:00,325.53,SL hit,-1.0,loss
XSD,PrevDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,339.07,329.95,357.31,2025-10-07T00:00:00-04:00,329.95,SL hit,-1.0,loss
XSD,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,349.34,331.27,385.48,2025-10-21T00:00:00-04:00,344.71,time stop loss,-0.2562,loss
XSD,PrevDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,349.93,333.26,383.27,2025-10-22T00:00:00-04:00,333.26,SL hit,-1.0,loss
XSD,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,344.27,338.625,355.56,2025-10-22T00:00:00-04:00,338.625,SL hit,-1.0,loss
XSD,PrevDayBreakout_D1,2025-10-23T00:00:00-04:00,2025-10-24T00:00:00-04:00,349.23,331.13,385.43,2025-10-30T00:00:00-04:00,350.38,time stop win,0.0635,win
XSD,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,353.56,334.48,391.72,2025-10-31T00:00:00-04:00,350.38,time stop loss,-0.1667,loss
XSD,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,352.62,345.43,367.0,2025-11-03T00:00:00-05:00,349.06,time stop loss,-0.4951,loss
XSD,PrevDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,342.65,329.23,369.49,2025-11-07T00:00:00-05:00,329.23,SL hit,-1.0,loss
XSD,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,329.96,313.04,363.8,2025-11-13T00:00:00-05:00,313.04,SL hit,-1.0,loss
XSD,PrevDayBreakout_D1,2025-11-19T00:00:00-05:00,2025-11-20T00:00:00-05:00,309.28,293.9,340.04,2025-11-20T00:00:00-05:00,293.9,SL hit,-1.0,loss
XSD,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,300.395,283.505,334.175,2025-12-02T00:00:00-05:00,318.27,time stop win,1.0583,win
XSD,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,316.77,298.14,354.03,2025-12-03T00:00:00-05:00,336.85,time stop win,1.0778,win
