symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XSW,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,205.465,202.0,212.395,2025-09-25T00:00:00-04:00,202.0,SL hit,-1.0,loss
XSW,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,198.535,198.185,199.235,2025-09-29T00:00:00-04:00,199.235,TP hit,2.0,win
XSW,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,200.76,198.96,204.36,2025-10-10T00:00:00-04:00,198.96,SL hit,-1.0,loss
XSW,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,197.85,196.355,200.84,2025-10-13T00:00:00-04:00,196.355,SL hit,-1.0,loss
XSW,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,198.975,197.63,201.665,2025-10-27T00:00:00-04:00,201.665,TP hit,2.0,win
XSW,MeanReversion_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,190.11,186.86,196.61,2025-11-14T00:00:00-05:00,192.57,time stop win,0.7569,win
XSW,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,179.7,178.77,181.56,2025-11-20T00:00:00-05:00,178.77,SL hit,-1.0,loss
XSW,MeanReversion_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,188.28,184.2,196.44,2026-01-09T00:00:00-05:00,190.03,time stop win,0.4289,win
XSW,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,185.72,185.39,186.38,2026-01-15T00:00:00-05:00,185.39,SL hit,-1.0,loss
XSW,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,177.04,175.97,179.18,2026-01-21T00:00:00-05:00,175.97,SL hit,-1.0,loss
XSW,MeanReversion_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,179.53,177.83,182.93,2026-01-29T00:00:00-05:00,177.83,SL hit,-1.0,loss
