symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XSW,PrevDayBreakout_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,205.465,202.0,212.395,2025-09-25T00:00:00-04:00,202.0,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,199.88,197.32,205.0,2025-10-10T00:00:00-04:00,197.32,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,201.32,198.96,206.04,2025-10-10T00:00:00-04:00,198.96,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,201.65,200.76,203.43,2025-10-10T00:00:00-04:00,200.76,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,199.12,197.65,202.06,2025-10-22T00:00:00-04:00,197.65,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2025-10-23T00:00:00-04:00,2025-10-24T00:00:00-04:00,198.975,197.63,201.665,2025-10-27T00:00:00-04:00,201.665,TP hit,2.0,win
XSW,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,203.95,198.975,213.9,2025-11-03T00:00:00-05:00,198.975,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,192.57,190.11,197.49,2025-11-17T00:00:00-05:00,190.11,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2025-11-19T00:00:00-05:00,2025-11-20T00:00:00-05:00,180.29,178.77,183.33,2025-11-20T00:00:00-05:00,178.77,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,183.93,174.7,202.39,2025-12-03T00:00:00-05:00,185.98,time stop win,0.2221,win
XSW,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,184.08,181.28,189.68,2025-12-04T00:00:00-05:00,185.98,time stop win,0.6786,win
XSW,PrevDayBreakout_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,185.98,184.08,189.78,2025-12-09T00:00:00-05:00,189.78,TP hit,2.0,win
XSW,PrevDayBreakout_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,195.44,185.98,214.36,2025-12-16T00:00:00-05:00,195.44,time stop scratch,0.0,scratch
XSW,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,188.2,184.2,196.2,2026-01-12T00:00:00-05:00,190.03,time stop win,0.4575,win
XSW,PrevDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,190.03,188.2,193.69,2026-01-14T00:00:00-05:00,188.2,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,180.32,174.84,191.28,2026-01-29T00:00:00-05:00,174.84,SL hit,-1.0,loss
XSW,PrevDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,180.36,179.99,181.1,2026-01-27T00:00:00-05:00,179.99,SL hit,-1.0,loss
