symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XTL,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,146.54,143.195,153.23,2025-11-13T00:00:00-05:00,143.195,SL hit,-1.0,loss
XTL,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,145.58,135.27,166.2,2025-12-03T00:00:00-05:00,144.725,time stop loss,-0.0829,loss
XTL,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,145.99,141.94,154.09,2025-12-04T00:00:00-05:00,149.7,time stop win,0.916,win
XTL,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,151.1,144.725,163.85,2025-12-11T00:00:00-05:00,159.54,time stop win,1.3239,win
XTL,PrevDayBreakout_D1,2025-12-05T00:00:00-05:00,2025-12-08T00:00:00-05:00,151.24,149.7,154.32,2025-12-10T00:00:00-05:00,154.32,TP hit,2.0,win
XTL,PrevDayBreakout_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,157.13,151.24,168.91,2025-12-15T00:00:00-05:00,151.24,SL hit,-1.0,loss
XTL,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,159.52,153.46,171.64,2025-12-15T00:00:00-05:00,153.46,SL hit,-1.0,loss
XTL,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,159.54,157.13,164.36,2025-12-15T00:00:00-05:00,157.13,SL hit,-1.0,loss
XTL,PrevDayBreakout_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,149.52,149.42,149.72,2025-12-23T00:00:00-05:00,149.72,TP hit,2.0,win
XTL,PrevDayBreakout_D1,2025-12-23T00:00:00-05:00,2025-12-24T00:00:00-05:00,155.76,149.52,168.24,2025-12-31T00:00:00-05:00,154.06,time stop loss,-0.2724,loss
XTL,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,161.2,154.06,175.48,2026-01-12T00:00:00-05:00,158.09,time stop loss,-0.4356,loss
XTL,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,159.25,156.78,164.19,2026-01-08T00:00:00-05:00,156.78,SL hit,-1.0,loss
XTL,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,158.09,156.525,161.22,2026-01-16T00:00:00-05:00,161.22,TP hit,2.0,win
XTL,PrevDayBreakout_D1,2026-01-16T00:00:00-05:00,2026-01-20T00:00:00-05:00,162.48,158.09,171.26,2026-01-26T00:00:00-05:00,162.48,time stop scratch,0.0,scratch
