symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SPY,PrevDayBreakout_D1,2023-01-06T00:00:00-05:00,2023-01-09T00:00:00-05:00,390.375,378.8,413.525,2023-01-13T00:00:00-05:00,398.49,time stop win,0.7011,win
SPY,PrevDayBreakout_D1,2023-01-11T00:00:00-05:00,2023-01-12T00:00:00-05:00,396.74,386.28,417.66,2023-01-19T00:00:00-05:00,388.57,time stop loss,-0.7811,loss
SPY,PrevDayBreakout_D1,2023-01-12T00:00:00-05:00,2023-01-13T00:00:00-05:00,393.65,391.48,397.99,2023-01-13T00:00:00-05:00,397.99,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-01-13T00:00:00-05:00,2023-01-17T00:00:00-05:00,398.52,392.46,410.64,2023-01-18T00:00:00-05:00,392.46,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-01-20T00:00:00-05:00,2023-01-23T00:00:00-05:00,396.82,387.3,415.86,2023-01-27T00:00:00-05:00,405.68,time stop win,0.9307,win
SPY,PrevDayBreakout_D1,2023-01-23T00:00:00-05:00,2023-01-24T00:00:00-05:00,398.88,388.42,419.8,2023-01-30T00:00:00-05:00,400.63,time stop win,0.1673,win
SPY,PrevDayBreakout_D1,2023-01-26T00:00:00-05:00,2023-01-27T00:00:00-05:00,403.73,393.59,424.01,2023-02-02T00:00:00-05:00,416.73,time stop win,1.2821,win
SPY,PrevDayBreakout_D1,2023-01-27T00:00:00-05:00,2023-01-30T00:00:00-05:00,402.745,400.04,408.155,2023-02-01T00:00:00-05:00,408.155,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-01-31T00:00:00-05:00,2023-02-01T00:00:00-05:00,405.1,400.305,414.69,2023-02-02T00:00:00-05:00,414.69,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-02-01T00:00:00-05:00,2023-02-02T00:00:00-05:00,414.85,400.86,442.83,2023-02-08T00:00:00-05:00,410.7,time stop loss,-0.2966,loss
SPY,PrevDayBreakout_D1,2023-02-02T00:00:00-05:00,2023-02-03T00:00:00-05:00,411.55,402.39,429.87,2023-02-09T00:00:00-05:00,407.15,time stop loss,-0.4803,loss
SPY,PrevDayBreakout_D1,2023-02-07T00:00:00-05:00,2023-02-08T00:00:00-05:00,413.15,408.11,423.23,2023-02-09T00:00:00-05:00,408.11,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-02-13T00:00:00-05:00,2023-02-14T00:00:00-05:00,411.24,405.045,423.63,2023-02-17T00:00:00-05:00,405.045,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-02-27T00:00:00-05:00,2023-02-28T00:00:00-05:00,397.29,393.69,404.49,2023-03-01T00:00:00-05:00,393.69,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-03-02T00:00:00-05:00,2023-03-03T00:00:00-05:00,399.71,393.4,412.33,2023-03-09T00:00:00-05:00,393.4,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-03-03T00:00:00-05:00,2023-03-06T00:00:00-05:00,405.13,392.37,430.65,2023-03-09T00:00:00-05:00,392.37,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-03-06T00:00:00-05:00,2023-03-07T00:00:00-05:00,404.415,399.035,415.175,2023-03-07T00:00:00-05:00,399.035,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-03-14T00:00:00-04:00,2023-03-15T00:00:00-04:00,385.72,380.69,395.78,2023-03-16T00:00:00-04:00,395.78,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-03-16T00:00:00-04:00,2023-03-17T00:00:00-04:00,393.2,383.74,412.12,2023-03-23T00:00:00-04:00,393.29,time stop win,0.0095,win
SPY,PrevDayBreakout_D1,2023-03-21T00:00:00-04:00,2023-03-22T00:00:00-04:00,398.735,390.11,415.985,2023-03-24T00:00:00-04:00,390.11,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-03-27T00:00:00-04:00,2023-03-28T00:00:00-04:00,395.74,389.4,408.42,2023-03-31T00:00:00-04:00,408.42,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-03-29T00:00:00-04:00,2023-03-30T00:00:00-04:00,404.06,393.7,424.78,2023-04-05T00:00:00-04:00,407.63,time stop win,0.3446,win
SPY,PrevDayBreakout_D1,2023-03-30T00:00:00-04:00,2023-03-31T00:00:00-04:00,404.68,398.73,416.58,2023-04-06T00:00:00-04:00,409.22,time stop win,0.763,win
SPY,PrevDayBreakout_D1,2023-03-31T00:00:00-04:00,2023-04-03T00:00:00-04:00,408.87,401.76,423.09,2023-04-10T00:00:00-04:00,409.68,time stop win,0.1139,win
SPY,PrevDayBreakout_D1,2023-04-03T00:00:00-04:00,2023-04-04T00:00:00-04:00,411.61,404.6,425.63,2023-04-11T00:00:00-04:00,409.695,time stop loss,-0.2732,loss
SPY,PrevDayBreakout_D1,2023-04-06T00:00:00-04:00,2023-04-10T00:00:00-04:00,406.6,405.9,408.0,2023-04-10T00:00:00-04:00,408.0,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-04-10T00:00:00-04:00,2023-04-11T00:00:00-04:00,410.12,405.69,418.98,2023-04-17T00:00:00-04:00,413.94,time stop win,0.8623,win
SPY,PrevDayBreakout_D1,2023-04-11T00:00:00-04:00,2023-04-12T00:00:00-04:00,411.92,405.985,423.79,2023-04-18T00:00:00-04:00,414.215,time stop win,0.3867,win
SPY,PrevDayBreakout_D1,2023-04-13T00:00:00-04:00,2023-04-14T00:00:00-04:00,412.85,407.45,423.65,2023-04-20T00:00:00-04:00,411.835,time stop loss,-0.188,loss
SPY,PrevDayBreakout_D1,2023-04-18T00:00:00-04:00,2023-04-19T00:00:00-04:00,412.21,411.095,414.44,2023-04-19T00:00:00-04:00,414.44,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-04-27T00:00:00-04:00,2023-04-28T00:00:00-04:00,411.48,403.785,426.87,2023-05-04T00:00:00-04:00,403.785,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-04-28T00:00:00-04:00,2023-05-01T00:00:00-04:00,415.48,406.75,432.94,2023-05-04T00:00:00-04:00,406.75,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-05-05T00:00:00-04:00,2023-05-08T00:00:00-04:00,412.96,403.75,431.38,2023-05-12T00:00:00-04:00,411.61,time stop loss,-0.1466,loss
SPY,PrevDayBreakout_D1,2023-05-10T00:00:00-04:00,2023-05-11T00:00:00-04:00,411.965,410.72,414.455,2023-05-11T00:00:00-04:00,410.72,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-05-17T00:00:00-04:00,2023-05-18T00:00:00-04:00,414.96,410.25,424.38,2023-05-24T00:00:00-04:00,410.25,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-05-18T00:00:00-04:00,2023-05-19T00:00:00-04:00,420.2,410.65,439.3,2023-05-24T00:00:00-04:00,410.65,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-05-25T00:00:00-04:00,2023-05-26T00:00:00-04:00,415.33,409.895,426.2,2023-06-02T00:00:00-04:00,426.2,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-05-26T00:00:00-04:00,2023-05-30T00:00:00-04:00,422.03,412.43,441.23,2023-06-05T00:00:00-04:00,427.1,time stop win,0.5281,win
SPY,PrevDayBreakout_D1,2023-06-01T00:00:00-04:00,2023-06-02T00:00:00-04:00,424.58,416.23,441.28,2023-06-08T00:00:00-04:00,429.17,time stop win,0.5497,win
SPY,PrevDayBreakout_D1,2023-06-02T00:00:00-04:00,2023-06-05T00:00:00-04:00,428.22,416.855,450.95,2023-06-09T00:00:00-04:00,429.99,time stop win,0.1557,win
SPY,PrevDayBreakout_D1,2023-06-09T00:00:00-04:00,2023-06-12T00:00:00-04:00,430.925,425.855,441.065,2023-06-15T00:00:00-04:00,441.065,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-06-12T00:00:00-04:00,2023-06-13T00:00:00-04:00,435.41,428.885,448.46,2023-06-20T00:00:00-04:00,437.24,time stop win,0.2805,win
SPY,PrevDayBreakout_D1,2023-06-13T00:00:00-04:00,2023-06-14T00:00:00-04:00,437.1,430.17,450.96,2023-06-21T00:00:00-04:00,434.85,time stop loss,-0.3247,loss
SPY,PrevDayBreakout_D1,2023-06-15T00:00:00-04:00,2023-06-16T00:00:00-04:00,443.11,433.655,462.02,2023-06-22T00:00:00-04:00,433.655,SL hit,-1.0,loss
SPY,PrevDayBreakout_D1,2023-06-27T00:00:00-04:00,2023-06-28T00:00:00-04:00,435.09,431.205,442.86,2023-06-30T00:00:00-04:00,442.86,TP hit,2.0,win
SPY,PrevDayBreakout_D1,2023-06-29T00:00:00-04:00,2023-06-30T00:00:00-04:00,441.44,434.41,455.5,2023-07-07T00:00:00-04:00,438.52,time stop loss,-0.4154,loss
SPY,PrevDayBreakout_D1,2023-06-30T00:00:00-04:00,2023-07-03T00:00:00-04:00,442.94,435.62,457.58,2023-07-10T00:00:00-04:00,439.65,time stop loss,-0.4495,loss
SPY,PrevDayBreakout_D1,2023-07-11T00:00:00-04:00,2023-07-12T00:00:00-04:00,446.42,437.59,464.08,2023-07-18T00:00:00-04:00,454.22,time stop win,0.8834,win
