symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
BITO,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,21.355,20.86,22.345,2025-06-17T00:00:00-04:00,20.86,SL hit,-1.0,loss
BITO,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,20.8,20.7,21.0,2025-06-18T00:00:00-04:00,21.0,TP hit,2.0,win
BITO,MeanReversion_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,20.705,20.27,21.575,2025-07-09T00:00:00-04:00,21.505,time stop win,1.8391,win
BITO,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,20.955,20.68,21.505,2025-07-09T00:00:00-04:00,21.505,TP hit,2.0,win
BITO,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,22.84,22.27,23.98,2025-07-22T00:00:00-04:00,22.93,time stop win,0.1579,win
BITO,MeanReversion_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,22.72,22.52,23.12,2025-07-21T00:00:00-04:00,22.52,SL hit,-1.0,loss
BITO,MeanReversion_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,22.925,22.42,23.935,2025-07-25T00:00:00-04:00,22.42,SL hit,-1.0,loss
BITO,MeanReversion_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,22.76,22.11,24.06,2025-08-01T00:00:00-04:00,22.11,SL hit,-1.0,loss
BITO,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,22.55,22.47,22.71,2025-07-30T00:00:00-04:00,22.47,SL hit,-1.0,loss
BITO,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,22.64,22.2,23.52,2025-08-01T00:00:00-04:00,22.2,SL hit,-1.0,loss
