symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
BITO,PrevDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,22.0,20.85,24.3,2025-06-16T00:00:00-04:00,21.765,time stop loss,-0.2043,loss
BITO,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,22.0,21.47,23.06,2025-06-12T00:00:00-04:00,21.47,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,21.15,20.86,21.73,2025-06-17T00:00:00-04:00,20.86,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,21.58,19.95,24.84,2025-07-01T00:00:00-04:00,20.27,time stop loss,-0.8037,loss
BITO,PrevDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,21.43,20.99,22.31,2025-07-01T00:00:00-04:00,20.99,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,21.11,20.27,22.79,2025-07-10T00:00:00-04:00,21.82,time stop win,0.8452,win
BITO,PrevDayBreakout_D1,2025-07-08T00:00:00-04:00,2025-07-09T00:00:00-04:00,21.09,20.68,21.91,2025-07-10T00:00:00-04:00,21.91,TP hit,2.0,win
BITO,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,21.35,20.79,22.47,2025-07-11T00:00:00-04:00,22.47,TP hit,2.0,win
BITO,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,22.62,20.88,26.1,2025-07-17T00:00:00-04:00,22.87,time stop win,0.1437,win
BITO,PrevDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,23.4,21.27,27.66,2025-07-18T00:00:00-04:00,22.54,time stop loss,-0.4038,loss
BITO,PrevDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,22.63,22.45,22.99,2025-07-15T00:00:00-04:00,22.45,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-07-16T00:00:00-04:00,2025-07-17T00:00:00-04:00,22.65,22.27,23.41,2025-07-23T00:00:00-04:00,22.75,time stop win,0.2632,win
BITO,PrevDayBreakout_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,22.68,22.42,23.2,2025-07-25T00:00:00-04:00,22.42,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-07-28T00:00:00-04:00,2025-07-29T00:00:00-04:00,22.84,22.11,24.3,2025-08-01T00:00:00-04:00,22.11,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,21.1,20.41,22.48,2025-08-13T00:00:00-04:00,22.27,time stop win,1.6957,win
BITO,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,21.15,20.58,22.29,2025-08-14T00:00:00-04:00,21.36,time stop win,0.3684,win
BITO,PrevDayBreakout_D1,2025-08-11T00:00:00-04:00,2025-08-12T00:00:00-04:00,21.59,20.99,22.79,2025-08-18T00:00:00-04:00,20.99,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,20.435,19.79,21.725,2025-08-29T00:00:00-04:00,19.79,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-09-03T00:00:00-04:00,2025-09-04T00:00:00-04:00,19.1,18.85,19.6,2025-09-04T00:00:00-04:00,18.85,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,19.355,18.85,20.365,2025-09-12T00:00:00-04:00,20.145,time stop win,1.5644,win
BITO,PrevDayBreakout_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,19.61,19.08,20.67,2025-09-17T00:00:00-04:00,19.905,time stop win,0.5566,win
BITO,PrevDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,19.83,19.51,20.47,2025-09-18T00:00:00-04:00,20.25,time stop win,1.3125,win
BITO,PrevDayBreakout_D1,2025-09-12T00:00:00-04:00,2025-09-15T00:00:00-04:00,19.82,19.6,20.26,2025-09-18T00:00:00-04:00,20.26,TP hit,2.0,win
BITO,PrevDayBreakout_D1,2025-09-16T00:00:00-04:00,2025-09-17T00:00:00-04:00,20.01,19.7,20.63,2025-09-22T00:00:00-04:00,19.7,SL hit,-1.0,loss
BITO,PrevDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,20.02,19.75,20.56,2025-09-22T00:00:00-04:00,19.75,SL hit,-1.0,loss
