symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
BITO,TwoDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,22.0,20.85,24.3,2025-06-17T00:00:00-04:00,20.85,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,21.15,20.86,21.73,2025-06-17T00:00:00-04:00,20.86,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,21.43,19.95,24.39,2025-07-02T00:00:00-04:00,21.13,time stop loss,-0.2027,loss
BITO,TwoDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,21.35,20.68,22.69,2025-07-11T00:00:00-04:00,22.69,TP hit,2.0,win
BITO,TwoDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,22.62,20.79,26.28,2025-07-17T00:00:00-04:00,22.87,time stop win,0.1366,win
BITO,TwoDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,23.4,20.88,28.44,2025-07-18T00:00:00-04:00,22.54,time stop loss,-0.3413,loss
BITO,TwoDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,22.63,21.27,25.35,2025-07-21T00:00:00-04:00,22.425,time stop loss,-0.1507,loss
BITO,TwoDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,21.15,20.41,22.63,2025-08-14T00:00:00-04:00,21.36,time stop win,0.2838,win
BITO,TwoDayBreakout_D1,2025-08-11T00:00:00-04:00,2025-08-12T00:00:00-04:00,21.59,20.97,22.83,2025-08-18T00:00:00-04:00,20.97,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,19.61,19.08,20.67,2025-09-17T00:00:00-04:00,19.905,time stop win,0.5566,win
BITO,TwoDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,19.83,19.08,21.33,2025-09-18T00:00:00-04:00,20.25,time stop win,0.56,win
BITO,TwoDayBreakout_D1,2025-09-12T00:00:00-04:00,2025-09-15T00:00:00-04:00,19.82,19.51,20.44,2025-09-19T00:00:00-04:00,19.81,time stop loss,-0.0323,loss
BITO,TwoDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,20.02,19.75,20.56,2025-09-22T00:00:00-04:00,19.75,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,19.49,18.65,21.17,2025-10-06T00:00:00-04:00,20.75,time stop win,1.5,win
BITO,TwoDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,19.985,19.26,21.435,2025-10-09T00:00:00-04:00,19.99,time stop win,0.0069,win
BITO,TwoDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,20.66,19.26,23.46,2025-10-10T00:00:00-04:00,19.26,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,20.675,19.615,22.795,2025-10-10T00:00:00-04:00,19.615,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,17.82,17.23,19.0,2025-10-27T00:00:00-04:00,19.0,TP hit,2.0,win
BITO,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,18.95,17.91,21.03,2025-10-30T00:00:00-04:00,17.91,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,16.38,15.59,17.96,2025-11-13T00:00:00-05:00,15.59,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,14.54,13.34,16.94,2025-12-01T00:00:00-05:00,13.34,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,13.665,12.4,16.195,2025-12-10T00:00:00-05:00,13.665,time stop scratch,0.0,scratch
BITO,TwoDayBreakout_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,13.585,13.04,14.675,2025-12-15T00:00:00-05:00,13.04,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,12.885,12.11,14.435,2026-01-09T00:00:00-05:00,12.52,time stop loss,-0.471,loss
BITO,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,13.09,12.11,15.05,2026-01-12T00:00:00-05:00,12.69,time stop loss,-0.4082,loss
BITO,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,13.275,12.45,14.925,2026-01-20T00:00:00-05:00,12.45,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,13.44,12.5,15.32,2026-01-20T00:00:00-05:00,12.5,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2026-02-13T00:00:00-05:00,2026-02-17T00:00:00-05:00,9.39,9.0,10.17,2026-02-23T00:00:00-05:00,9.0,SL hit,-1.0,loss
BITO,TwoDayBreakout_D1,2026-02-25T00:00:00-05:00,2026-02-26T00:00:00-05:00,9.39,8.68,10.81,2026-02-26T00:00:00-05:00,9.32,time stop loss,-0.0986,loss
