symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
COIN,MeanReversion_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,359.0,346.89,383.22,2025-07-01T00:00:00-04:00,346.89,SL hit,-1.0,loss
COIN,MeanReversion_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,340.58,334.15,353.44,2025-07-02T00:00:00-04:00,353.44,TP hit,2.0,win
COIN,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,392.745,373.9,430.435,2025-07-18T00:00:00-04:00,430.435,TP hit,2.0,win
COIN,MeanReversion_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,400.2,394.83,410.94,2025-07-23T00:00:00-04:00,394.83,SL hit,-1.0,loss
COIN,MeanReversion_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,394.91,386.46,411.81,2025-07-28T00:00:00-04:00,386.46,SL hit,-1.0,loss
COIN,MeanReversion_D1,2025-07-28T00:00:00-04:00,2025-07-29T00:00:00-04:00,384.0,375.4,401.2,2025-07-29T00:00:00-04:00,375.4,SL hit,-1.0,loss
COIN,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,383.11,365.74,417.85,2025-08-01T00:00:00-04:00,365.74,SL hit,-1.0,loss
COIN,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,319.35,310.68,336.69,2025-08-05T00:00:00-04:00,310.68,SL hit,-1.0,loss
COIN,MeanReversion_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,304.52,301.5,310.56,2025-08-20T00:00:00-04:00,301.5,SL hit,-1.0,loss
COIN,MeanReversion_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,301.88,292.65,320.34,2025-09-10T00:00:00-04:00,320.34,TP hit,2.0,win
COIN,MeanReversion_D1,2025-09-17T00:00:00-04:00,2025-09-18T00:00:00-04:00,327.43,311.49,359.31,2025-09-24T00:00:00-04:00,321.7,time stop loss,-0.3595,loss
COIN,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,333.935,328.305,345.195,2025-09-23T00:00:00-04:00,328.305,SL hit,-1.0,loss
COIN,MeanReversion_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,323.96,317.83,336.22,2025-09-25T00:00:00-04:00,317.83,SL hit,-1.0,loss
