symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
COIN,PrevDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,258.69,249.97,276.13,2025-06-11T00:00:00-04:00,249.97,SL hit,-1.0,loss
COIN,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,258.015,235.46,303.125,2025-06-20T00:00:00-04:00,303.125,TP hit,2.0,win
COIN,PrevDayBreakout_D1,2025-06-18T00:00:00-04:00,2025-06-20T00:00:00-04:00,303.6,248.915,412.97,2025-06-26T00:00:00-04:00,374.96,time stop win,1.3049,win
COIN,PrevDayBreakout_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,301.005,252.04,398.935,2025-06-27T00:00:00-04:00,353.3,time stop win,1.068,win
COIN,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,360.645,294.83,492.275,2025-07-01T00:00:00-04:00,335.315,time stop loss,-0.3849,loss
COIN,PrevDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,355.0,312.14,440.72,2025-07-02T00:00:00-04:00,354.37,time stop loss,-0.0147,loss
COIN,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,369.83,343.74,422.01,2025-07-01T00:00:00-04:00,343.74,SL hit,-1.0,loss
COIN,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,350.025,334.15,381.775,2025-07-10T00:00:00-04:00,381.775,TP hit,2.0,win
COIN,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,372.58,348.22,421.3,2025-07-16T00:00:00-04:00,398.16,time stop win,1.0501,win
COIN,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,390.09,353.59,463.09,2025-07-17T00:00:00-04:00,410.65,time stop win,0.5633,win
COIN,PrevDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,419.78,391.57,476.2,2025-07-23T00:00:00-04:00,391.57,SL hit,-1.0,loss
COIN,PrevDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,425.55,395.835,484.98,2025-07-22T00:00:00-04:00,395.835,SL hit,-1.0,loss
