symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
COIN,TwoDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,258.015,235.46,303.125,2025-06-20T00:00:00-04:00,303.125,TP hit,2.0,win
COIN,TwoDayBreakout_D1,2025-06-18T00:00:00-04:00,2025-06-20T00:00:00-04:00,303.6,245.515,419.77,2025-06-26T00:00:00-04:00,374.96,time stop win,1.2285,win
COIN,TwoDayBreakout_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,301.005,248.915,405.185,2025-06-27T00:00:00-04:00,353.3,time stop win,1.0039,win
COIN,TwoDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,360.645,294.83,492.275,2025-07-01T00:00:00-04:00,335.315,time stop loss,-0.3849,loss
COIN,TwoDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,355.0,294.83,475.34,2025-07-02T00:00:00-04:00,354.37,time stop loss,-0.0105,loss
COIN,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,369.83,312.14,485.21,2025-07-03T00:00:00-04:00,355.81,time stop loss,-0.243,loss
COIN,TwoDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,372.58,348.22,421.3,2025-07-16T00:00:00-04:00,398.16,time stop win,1.0501,win
COIN,TwoDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,390.09,348.22,473.83,2025-07-17T00:00:00-04:00,410.65,time stop win,0.491,win
COIN,TwoDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,419.78,373.9,511.54,2025-07-24T00:00:00-04:00,396.445,time stop loss,-0.5086,loss
COIN,TwoDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,425.55,391.57,493.51,2025-07-23T00:00:00-04:00,391.57,SL hit,-1.0,loss
COIN,TwoDayBreakout_D1,2025-08-11T00:00:00-04:00,2025-08-12T00:00:00-04:00,329.44,301.74,384.84,2025-08-18T00:00:00-04:00,320.855,time stop loss,-0.3099,loss
COIN,TwoDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,312.395,291.71,353.765,2025-08-29T00:00:00-04:00,304.36,time stop loss,-0.3884,loss
COIN,TwoDayBreakout_D1,2025-09-09T00:00:00-04:00,2025-09-10T00:00:00-04:00,322.04,292.65,380.82,2025-09-16T00:00:00-04:00,327.97,time stop win,0.2018,win
COIN,TwoDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,342.86,311.49,405.6,2025-09-25T00:00:00-04:00,311.49,SL hit,-1.0,loss
COIN,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,330.325,303.52,383.935,2025-10-06T00:00:00-04:00,383.935,TP hit,2.0,win
COIN,TwoDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,343.16,303.52,422.44,2025-10-07T00:00:00-04:00,375.73,time stop win,0.8216,win
COIN,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,355.785,316.875,433.605,2025-10-08T00:00:00-04:00,387.28,time stop win,0.8094,win
COIN,TwoDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,374.36,330.325,462.43,2025-10-09T00:00:00-04:00,387.03,time stop win,0.2877,win
COIN,TwoDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,390.335,340.84,489.325,2025-10-10T00:00:00-04:00,357.03,time stop loss,-0.6729,loss
COIN,TwoDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,386.06,353.41,451.36,2025-10-10T00:00:00-04:00,353.41,SL hit,-1.0,loss
COIN,TwoDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,341.81,318.39,388.65,2025-10-22T00:00:00-04:00,318.39,SL hit,-1.0,loss
COIN,TwoDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,363.1,310.6,468.1,2025-10-31T00:00:00-04:00,343.47,time stop loss,-0.3739,loss
COIN,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,363.86,318.83,453.92,2025-11-03T00:00:00-05:00,330.28,time stop loss,-0.7457,loss
COIN,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,312.155,284.0,368.465,2025-11-13T00:00:00-05:00,284.0,SL hit,-1.0,loss
COIN,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,273.98,240.82,340.3,2025-12-04T00:00:00-05:00,274.105,time stop win,0.0038,win
COIN,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,260.27,240.82,299.17,2025-12-05T00:00:00-05:00,269.84,time stop win,0.492,win
COIN,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,273.405,252.3,315.615,2025-12-10T00:00:00-05:00,274.99,time stop win,0.0751,win
COIN,TwoDayBreakout_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,272.735,265.06,288.085,2025-12-11T00:00:00-05:00,265.06,SL hit,-1.0,loss
COIN,TwoDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,247.3,225.56,290.78,2026-01-09T00:00:00-05:00,240.78,time stop loss,-0.2999,loss
COIN,TwoDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,255.355,225.56,314.945,2026-01-12T00:00:00-05:00,243.005,time stop loss,-0.4145,loss
COIN,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,256.7,237.16,295.78,2026-01-16T00:00:00-05:00,237.16,SL hit,-1.0,loss
COIN,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,250.52,238.42,274.72,2026-01-15T00:00:00-05:00,238.42,SL hit,-1.0,loss
COIN,TwoDayBreakout_D1,2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,162.56,145.175,197.33,2026-02-12T00:00:00-05:00,145.175,SL hit,-1.0,loss
COIN,TwoDayBreakout_D1,2026-02-13T00:00:00-05:00,2026-02-17T00:00:00-05:00,162.405,139.41,208.395,2026-02-23T00:00:00-05:00,160.19,time stop loss,-0.0963,loss
