symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
MSTR,MeanReversion_D1,2025-06-12T00:00:00-04:00,2025-06-13T00:00:00-04:00,374.56,374.02,375.64,2025-06-13T00:00:00-04:00,374.02,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,372.51,367.42,382.69,2025-06-18T00:00:00-04:00,367.42,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,389.75,383.72,401.81,2025-06-30T00:00:00-04:00,401.81,TP hit,2.0,win
MSTR,MeanReversion_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,381.31,373.06,397.81,2025-07-02T00:00:00-04:00,397.81,TP hit,2.0,win
MSTR,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,399.59,395.33,408.11,2025-07-08T00:00:00-04:00,395.33,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,430.1,422.525,445.25,2025-07-22T00:00:00-04:00,422.525,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-07-23T00:00:00-04:00,2025-07-24T00:00:00-04:00,413.77,406.12,429.07,2025-07-25T00:00:00-04:00,406.12,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,416.81,402.6,445.23,2025-07-29T00:00:00-04:00,402.6,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,397.56,390.62,411.44,2025-08-01T00:00:00-04:00,390.62,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,372.24,365.97,384.78,2025-08-04T00:00:00-04:00,384.78,TP hit,2.0,win
MSTR,MeanReversion_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,398.035,390.755,412.595,2025-08-13T00:00:00-04:00,390.755,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-08-14T00:00:00-04:00,2025-08-15T00:00:00-04:00,370.2,365.085,380.43,2025-08-15T00:00:00-04:00,365.085,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,338.35,333.44,348.17,2025-08-20T00:00:00-04:00,333.44,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-08-29T00:00:00-04:00,2025-09-02T00:00:00-04:00,333.56,332.77,335.14,2025-09-02T00:00:00-04:00,332.77,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-09-03T00:00:00-04:00,2025-09-04T00:00:00-04:00,329.385,327.68,332.795,2025-09-04T00:00:00-04:00,327.68,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,334.94,318.15,368.52,2025-09-11T00:00:00-04:00,326.07,time stop loss,-0.5283,loss
MSTR,MeanReversion_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,337.29,329.08,353.71,2025-09-23T00:00:00-04:00,329.08,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,331.55,327.9,338.85,2025-09-24T00:00:00-04:00,327.9,SL hit,-1.0,loss
MSTR,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,299.855,292.525,314.515,2025-09-29T00:00:00-04:00,314.515,TP hit,2.0,win
