symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
MSTR,PrevDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,392.62,370.29,437.28,2025-06-16T00:00:00-04:00,382.16,time stop loss,-0.4684,loss
MSTR,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,384.625,359.02,435.835,2025-07-01T00:00:00-04:00,373.29,time stop loss,-0.4427,loss
MSTR,PrevDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,386.57,371.8,416.11,2025-07-02T00:00:00-04:00,402.19,time stop win,1.0575,win
MSTR,PrevDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,395.485,383.72,419.015,2025-07-01T00:00:00-04:00,383.72,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,400.76,373.06,456.16,2025-07-10T00:00:00-04:00,421.8,time stop win,0.7596,win
MSTR,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,412.195,393.43,449.725,2025-07-14T00:00:00-04:00,449.725,TP hit,2.0,win
MSTR,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,430.76,396.03,500.22,2025-07-17T00:00:00-04:00,451.38,time stop win,0.5937,win
MSTR,PrevDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,447.3,411.42,519.06,2025-07-18T00:00:00-04:00,423.3,time stop loss,-0.6689,loss
MSTR,PrevDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,444.855,424.09,486.385,2025-07-18T00:00:00-04:00,424.09,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,398.415,373.145,448.955,2025-08-14T00:00:00-04:00,373.145,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,346.34,334.94,369.14,2025-08-29T00:00:00-04:00,334.94,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-08-26T00:00:00-04:00,2025-08-27T00:00:00-04:00,348.86,339.25,368.08,2025-08-28T00:00:00-04:00,339.25,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,342.255,332.77,361.225,2025-09-03T00:00:00-04:00,332.77,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,328.465,318.15,349.095,2025-09-12T00:00:00-04:00,331.515,time stop win,0.2957,win
MSTR,PrevDayBreakout_D1,2025-09-12T00:00:00-04:00,2025-09-15T00:00:00-04:00,330.33,323.095,344.8,2025-09-15T00:00:00-04:00,323.095,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-09-16T00:00:00-04:00,2025-09-17T00:00:00-04:00,336.43,320.6,368.09,2025-09-23T00:00:00-04:00,327.935,time stop loss,-0.5366,loss
MSTR,PrevDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,347.53,323.49,395.61,2025-09-24T00:00:00-04:00,323.49,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,320.895,297.81,367.065,2025-10-06T00:00:00-04:00,359.695,time stop win,1.6807,win
MSTR,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,348.675,316.43,413.165,2025-10-08T00:00:00-04:00,330.685,time stop loss,-0.5579,loss
MSTR,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,351.54,331.41,391.8,2025-10-07T00:00:00-04:00,331.41,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,358.88,344.77,387.1,2025-10-07T00:00:00-04:00,344.77,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,294.185,280.29,321.975,2025-10-22T00:00:00-04:00,280.29,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,298.99,278.865,339.24,2025-10-29T00:00:00-04:00,278.865,SL hit,-1.0,loss
MSTR,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,295.51,286.27,313.99,2025-10-28T00:00:00-04:00,286.27,SL hit,-1.0,loss
