symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
NVDA,MeanReversion_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,153.01,151.5,156.03,2025-07-02T00:00:00-04:00,156.03,TP hit,2.0,win
NVDA,MeanReversion_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,169.52,164.62,179.32,2025-07-29T00:00:00-04:00,179.32,TP hit,2.0,win
NVDA,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,175.16,170.91,183.66,2025-08-07T00:00:00-04:00,183.66,TP hit,2.0,win
NVDA,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,174.88,168.82,187.0,2025-08-27T00:00:00-04:00,181.57,time stop win,1.104,win
NVDA,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,171.02,167.23,178.6,2025-09-05T00:00:00-04:00,167.23,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,167.6,164.075,174.65,2025-09-10T00:00:00-04:00,174.65,TP hit,2.0,win
NVDA,MeanReversion_D1,2025-09-17T00:00:00-04:00,2025-09-18T00:00:00-04:00,174.04,168.45,185.22,2025-09-24T00:00:00-04:00,176.87,time stop win,0.5063,win
NVDA,MeanReversion_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,185.52,185.405,185.75,2025-10-06T00:00:00-04:00,185.405,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,187.97,182.83,198.25,2025-10-14T00:00:00-04:00,182.83,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,184.8,179.75,194.9,2025-10-15T00:00:00-04:00,179.75,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,181.15,179.8,183.85,2025-10-22T00:00:00-04:00,179.8,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,206.425,201.425,216.425,2025-11-04T00:00:00-05:00,201.425,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,198.71,197.945,200.24,2025-11-05T00:00:00-05:00,197.945,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,196.48,194.97,199.5,2025-11-06T00:00:00-05:00,194.97,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,195.79,191.325,204.72,2025-11-12T00:00:00-05:00,191.325,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,184.775,179.71,194.905,2025-11-20T00:00:00-05:00,194.905,TP hit,2.0,win
NVDA,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,181.275,179.87,184.085,2025-11-21T00:00:00-05:00,179.87,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,179.445,172.93,192.475,2025-11-25T00:00:00-05:00,172.93,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,181.62,179.14,186.58,2025-12-08T00:00:00-05:00,186.58,TP hit,2.0,win
NVDA,MeanReversion_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,181.08,176.63,189.98,2025-12-12T00:00:00-05:00,176.63,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,177.9,174.65,184.4,2025-12-17T00:00:00-05:00,174.65,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,174.535,170.33,182.945,2025-12-22T00:00:00-05:00,182.945,TP hit,2.0,win
NVDA,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,188.21,185.96,192.71,2026-01-02T00:00:00-05:00,192.71,TP hit,2.0,win
NVDA,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,189.8,186.5,196.4,2026-01-05T00:00:00-05:00,186.5,SL hit,-1.0,loss
NVDA,MeanReversion_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,190.44,186.16,199.0,2026-01-08T00:00:00-05:00,186.16,SL hit,-1.0,loss
