symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SOXL,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,20.84,19.84,22.84,2025-06-23T00:00:00-04:00,21.56,time stop win,0.72,win
SOXL,MeanReversion_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,21.16,20.38,22.72,2025-06-23T00:00:00-04:00,20.38,SL hit,-1.0,loss
SOXL,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,25.625,24.63,27.615,2025-07-10T00:00:00-04:00,27.615,TP hit,2.0,win
SOXL,MeanReversion_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,28.06,25.33,33.52,2025-07-16T00:00:00-04:00,25.33,SL hit,-1.0,loss
SOXL,MeanReversion_D1,2025-07-16T00:00:00-04:00,2025-07-17T00:00:00-04:00,26.96,24.92,31.04,2025-07-23T00:00:00-04:00,24.92,SL hit,-1.0,loss
SOXL,MeanReversion_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,25.685,25.35,26.355,2025-07-23T00:00:00-04:00,25.35,SL hit,-1.0,loss
SOXL,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,24.56,22.57,28.54,2025-08-08T00:00:00-04:00,25.72,time stop win,0.5829,win
SOXL,MeanReversion_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,26.105,26.1,26.115,2025-08-20T00:00:00-04:00,26.1,SL hit,-1.0,loss
SOXL,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,25.37,23.66,28.79,2025-08-27T00:00:00-04:00,28.13,time stop win,1.614,win
SOXL,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,25.37,23.8,28.51,2025-09-09T00:00:00-04:00,27.18,time stop win,1.1529,win
SOXL,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,38.865,38.72,39.155,2025-10-08T00:00:00-04:00,38.72,SL hit,-1.0,loss
SOXL,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,38.22,34.17,46.32,2025-10-17T00:00:00-04:00,40.18,time stop win,0.484,win
SOXL,MeanReversion_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,39.37,35.96,46.19,2025-10-21T00:00:00-04:00,41.45,time stop win,0.61,win
SOXL,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,37.72,35.97,41.22,2025-10-23T00:00:00-04:00,41.22,TP hit,2.0,win
SOXL,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,48.775,47.28,51.765,2025-10-31T00:00:00-04:00,47.28,SL hit,-1.0,loss
SOXL,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,43.215,42.535,44.575,2025-11-05T00:00:00-05:00,44.575,TP hit,2.0,win
SOXL,MeanReversion_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,45.115,37.05,61.245,2025-11-14T00:00:00-05:00,37.05,SL hit,-1.0,loss
