symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SOXL,TwoDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,22.21,19.15,28.33,2025-06-17T00:00:00-04:00,21.39,time stop loss,-0.268,loss
SOXL,TwoDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,24.405,20.28,32.655,2025-07-01T00:00:00-04:00,24.685,time stop win,0.0679,win
SOXL,TwoDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,25.185,20.28,34.995,2025-07-02T00:00:00-04:00,26.085,time stop win,0.1835,win
SOXL,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,25.21,22.64,30.35,2025-07-03T00:00:00-04:00,26.43,time stop win,0.4747,win
SOXL,TwoDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,26.405,23.6,32.015,2025-07-10T00:00:00-04:00,27.42,time stop win,0.3619,win
SOXL,TwoDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,25.73,23.6,29.99,2025-07-11T00:00:00-04:00,27.26,time stop win,0.7183,win
SOXL,TwoDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,26.86,25.36,29.86,2025-07-14T00:00:00-04:00,25.36,SL hit,-1.0,loss
SOXL,TwoDayBreakout_D1,2025-07-28T00:00:00-04:00,2025-07-29T00:00:00-04:00,27.44,24.83,32.66,2025-07-31T00:00:00-04:00,24.83,SL hit,-1.0,loss
SOXL,TwoDayBreakout_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,27.74,24.83,33.56,2025-07-31T00:00:00-04:00,24.83,SL hit,-1.0,loss
SOXL,TwoDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,28.68,24.9,36.24,2025-08-19T00:00:00-04:00,26.25,time stop loss,-0.6429,loss
SOXL,TwoDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,28.12,25.45,33.46,2025-08-20T00:00:00-04:00,25.45,SL hit,-1.0,loss
