symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SPXL,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,159.8,155.565,168.27,2025-06-20T00:00:00-04:00,155.565,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,157.45,156.51,159.33,2025-06-18T00:00:00-04:00,156.51,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,155.635,154.39,158.125,2025-06-23T00:00:00-04:00,154.39,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,175.41,173.12,179.99,2025-07-10T00:00:00-04:00,179.99,TP hit,2.0,win
SPXL,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,187.4,185.99,190.22,2025-07-30T00:00:00-04:00,185.99,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,190.37,183.6,203.91,2025-07-31T00:00:00-04:00,183.6,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,178.015,172.65,188.745,2025-08-08T00:00:00-04:00,187.38,time stop win,1.7456,win
SPXL,MeanReversion_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,188.76,188.23,189.82,2025-08-20T00:00:00-04:00,188.23,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,185.99,183.05,191.87,2025-08-22T00:00:00-04:00,191.87,TP hit,2.0,win
SPXL,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,190.69,183.88,204.31,2025-09-09T00:00:00-04:00,197.23,time stop win,0.9604,win
SPXL,MeanReversion_D1,2025-09-17T00:00:00-04:00,2025-09-18T00:00:00-04:00,207.16,202.01,217.46,2025-09-24T00:00:00-04:00,207.63,time stop win,0.0913,win
SPXL,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,205.67,201.31,214.39,2025-10-01T00:00:00-04:00,214.39,TP hit,2.0,win
SPXL,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,215.45,213.0,220.35,2025-10-10T00:00:00-04:00,213.0,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,205.395,198.58,219.025,2025-10-14T00:00:00-04:00,198.58,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,211.59,207.27,220.23,2025-10-24T00:00:00-04:00,220.23,TP hit,2.0,win
SPXL,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,227.1,222.48,236.34,2025-10-31T00:00:00-04:00,222.48,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,217.075,216.78,217.665,2025-11-05T00:00:00-05:00,216.78,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,202.38,197.95,211.24,2025-11-20T00:00:00-05:00,197.95,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,196.495,194.24,201.005,2025-11-21T00:00:00-05:00,194.24,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,221.1,218.52,226.26,2025-12-05T00:00:00-05:00,226.26,TP hit,2.0,win
SPXL,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,221.92,220.725,224.31,2025-12-10T00:00:00-05:00,220.725,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,222.215,217.64,231.365,2025-12-16T00:00:00-05:00,217.64,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,215.65,209.7,227.55,2025-12-24T00:00:00-05:00,227.55,TP hit,2.0,win
SPXL,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,225.93,224.98,227.83,2025-12-31T00:00:00-05:00,224.98,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,223.81,220.44,230.55,2026-01-02T00:00:00-05:00,220.44,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,228.65,225.82,234.31,2026-01-14T00:00:00-05:00,225.82,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,232.075,223.79,248.645,2026-01-20T00:00:00-05:00,223.79,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,216.41,213.93,221.37,2026-01-21T00:00:00-05:00,221.37,TP hit,2.0,win
SPXL,MeanReversion_D1,2026-02-03T00:00:00-05:00,2026-02-04T00:00:00-05:00,225.95,219.97,237.91,2026-02-04T00:00:00-05:00,219.97,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2026-02-05T00:00:00-05:00,2026-02-06T00:00:00-05:00,217.54,212.03,228.56,2026-02-09T00:00:00-05:00,228.56,TP hit,2.0,win
SPXL,MeanReversion_D1,2026-02-11T00:00:00-05:00,2026-02-12T00:00:00-05:00,229.045,224.17,238.795,2026-02-12T00:00:00-05:00,224.17,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2026-02-12T00:00:00-05:00,2026-02-13T00:00:00-05:00,216.465,215.57,218.255,2026-02-13T00:00:00-05:00,215.57,SL hit,-1.0,loss
SPXL,MeanReversion_D1,2026-02-23T00:00:00-05:00,2026-02-24T00:00:00-05:00,216.02,214.71,218.64,2026-02-24T00:00:00-05:00,218.64,TP hit,2.0,win
