symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
SPXL,TwoDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,162.45,157.02,173.31,2025-06-13T00:00:00-04:00,157.02,SL hit,-1.0,loss
SPXL,TwoDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24T00:00:00-04:00,162.83,154.39,179.71,2025-06-30T00:00:00-04:00,173.45,time stop win,1.2583,win
SPXL,TwoDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,165.525,153.89,188.795,2025-07-01T00:00:00-04:00,173.11,time stop win,0.6519,win
SPXL,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,169.44,162.13,184.06,2025-07-03T00:00:00-04:00,179.57,time stop win,1.3858,win
SPXL,TwoDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,172.84,164.23,190.06,2025-07-07T00:00:00-04:00,175.66,time stop win,0.3275,win
SPXL,TwoDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,172.49,166.115,185.24,2025-07-08T00:00:00-04:00,175.04,time stop win,0.4,win
SPXL,TwoDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,177.035,171.31,188.485,2025-07-10T00:00:00-04:00,179.59,time stop win,0.4463,win
SPXL,TwoDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,177.69,171.63,189.81,2025-07-11T00:00:00-04:00,177.58,time stop loss,-0.0182,loss
SPXL,TwoDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,176.875,174.43,181.765,2025-07-16T00:00:00-04:00,174.43,SL hit,-1.0,loss
SPXL,TwoDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,182.08,172.87,200.5,2025-07-24T00:00:00-04:00,186.22,time stop win,0.4495,win
SPXL,TwoDayBreakout_D1,2025-07-23T00:00:00-04:00,2025-07-24T00:00:00-04:00,186.425,179.38,200.515,2025-07-30T00:00:00-04:00,185.9,time stop loss,-0.0745,loss
SPXL,TwoDayBreakout_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,186.55,179.38,200.89,2025-07-31T00:00:00-04:00,184.24,time stop loss,-0.3222,loss
SPXL,TwoDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,188.82,182.44,201.58,2025-08-01T00:00:00-04:00,182.44,SL hit,-1.0,loss
SPXL,TwoDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,186.82,178.015,204.43,2025-08-13T00:00:00-04:00,194.03,time stop win,0.8189,win
SPXL,TwoDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,194.17,185.01,212.49,2025-08-19T00:00:00-04:00,189.17,time stop loss,-0.5459,loss
SPXL,TwoDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,192.44,185.26,206.8,2025-08-20T00:00:00-04:00,185.26,SL hit,-1.0,loss
SPXL,TwoDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,192.17,183.05,210.41,2025-08-29T00:00:00-04:00,192.16,time stop loss,-0.0011,loss
SPXL,TwoDayBreakout_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,195.59,190.24,206.29,2025-09-02T00:00:00-04:00,190.24,SL hit,-1.0,loss
SPXL,TwoDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,194.78,190.24,203.86,2025-09-02T00:00:00-04:00,190.24,SL hit,-1.0,loss
SPXL,TwoDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,198.345,183.88,227.275,2025-09-11T00:00:00-04:00,203.57,time stop win,0.3612,win
SPXL,TwoDayBreakout_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,200.62,194.5,212.86,2025-09-17T00:00:00-04:00,204.38,time stop win,0.6144,win
SPXL,TwoDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,203.59,194.5,221.77,2025-09-18T00:00:00-04:00,207.82,time stop win,0.4653,win
SPXL,TwoDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,207.09,200.18,220.91,2025-09-22T00:00:00-04:00,213.57,time stop win,0.9378,win
SPXL,TwoDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,209.175,202.01,223.505,2025-09-25T00:00:00-04:00,202.01,SL hit,-1.0,loss
SPXL,TwoDayBreakout_D1,2025-09-19T00:00:00-04:00,2025-09-22T00:00:00-04:00,209.005,202.01,222.995,2025-09-25T00:00:00-04:00,202.01,SL hit,-1.0,loss
SPXL,TwoDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,212.95,205.85,227.15,2025-09-25T00:00:00-04:00,205.85,SL hit,-1.0,loss
SPXL,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,208.93,201.31,224.17,2025-10-06T00:00:00-04:00,216.88,time stop win,1.0433,win
SPXL,TwoDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,209.06,204.53,218.12,2025-10-07T00:00:00-04:00,218.12,TP hit,2.0,win
