symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
TMF,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,36.87,36.58,37.45,2025-06-16T00:00:00-04:00,36.58,SL hit,-1.0,loss
TMF,MeanReversion_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,36.87,36.2,38.21,2025-06-23T00:00:00-04:00,38.21,TP hit,2.0,win
TMF,MeanReversion_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,38.17,38.13,38.25,2025-07-03T00:00:00-04:00,38.13,SL hit,-1.0,loss
TMF,MeanReversion_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,36.365,35.65,37.795,2025-07-15T00:00:00-04:00,35.65,SL hit,-1.0,loss
TMF,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,35.565,35.12,36.455,2025-07-16T00:00:00-04:00,35.12,SL hit,-1.0,loss
TMF,MeanReversion_D1,2025-08-08T00:00:00-04:00,2025-08-11T00:00:00-04:00,38.49,38.02,39.43,2025-08-12T00:00:00-04:00,38.02,SL hit,-1.0,loss
TMF,MeanReversion_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,38.35,37.2,40.65,2025-08-15T00:00:00-04:00,37.2,SL hit,-1.0,loss
TMF,MeanReversion_D1,2025-08-15T00:00:00-04:00,2025-08-18T00:00:00-04:00,37.0,36.745,37.51,2025-08-18T00:00:00-04:00,36.745,SL hit,-1.0,loss
TMF,MeanReversion_D1,2025-08-18T00:00:00-04:00,2025-08-19T00:00:00-04:00,36.98,36.395,38.15,2025-08-25T00:00:00-04:00,37.34,time stop win,0.6154,win
TMF,MeanReversion_D1,2025-08-21T00:00:00-04:00,2025-08-22T00:00:00-04:00,37.42,36.495,39.27,2025-08-27T00:00:00-04:00,36.495,SL hit,-1.0,loss
TMF,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,36.515,35.97,37.605,2025-09-03T00:00:00-04:00,37.605,TP hit,2.0,win
TMF,MeanReversion_D1,2025-09-12T00:00:00-04:00,2025-09-15T00:00:00-04:00,41.91,41.03,43.67,2025-09-18T00:00:00-04:00,41.03,SL hit,-1.0,loss
TMF,MeanReversion_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,40.38,40.13,40.88,2025-09-19T00:00:00-04:00,40.13,SL hit,-1.0,loss
