symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
TMF,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,36.75,35.765,38.72,2025-06-17T00:00:00-04:00,37.47,time stop win,0.731,win
TMF,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13T00:00:00-04:00,37.83,36.59,40.31,2025-06-13T00:00:00-04:00,36.59,SL hit,-1.0,loss
TMF,PrevDayBreakout_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,37.88,36.2,41.24,2025-06-25T00:00:00-04:00,38.3,time stop win,0.25,win
TMF,PrevDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24T00:00:00-04:00,37.02,36.72,37.62,2025-06-24T00:00:00-04:00,37.62,TP hit,2.0,win
TMF,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,38.385,37.4,40.355,2025-07-03T00:00:00-04:00,37.94,time stop loss,-0.4518,loss
TMF,PrevDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,39.49,37.925,42.62,2025-07-03T00:00:00-04:00,37.925,SL hit,-1.0,loss
TMF,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,37.61,35.91,41.01,2025-07-14T00:00:00-04:00,35.91,SL hit,-1.0,loss
TMF,PrevDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,36.615,35.31,39.225,2025-07-28T00:00:00-04:00,36.18,time stop loss,-0.3333,loss
TMF,PrevDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,36.24,35.78,37.16,2025-07-29T00:00:00-04:00,37.16,TP hit,2.0,win
TMF,PrevDayBreakout_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,37.26,36.11,39.56,2025-08-05T00:00:00-04:00,39.56,TP hit,2.0,win
TMF,PrevDayBreakout_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,39.135,37.33,42.745,2025-08-08T00:00:00-04:00,38.19,time stop loss,-0.5235,loss
TMF,PrevDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,38.98,38.56,39.82,2025-08-06T00:00:00-04:00,38.56,SL hit,-1.0,loss
TMF,PrevDayBreakout_D1,2025-08-05T00:00:00-04:00,2025-08-06T00:00:00-04:00,38.98,38.74,39.46,2025-08-06T00:00:00-04:00,38.74,SL hit,-1.0,loss
TMF,PrevDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,38.37,37.2,40.71,2025-08-15T00:00:00-04:00,37.2,SL hit,-1.0,loss
TMF,PrevDayBreakout_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,37.12,36.395,38.57,2025-08-26T00:00:00-04:00,37.245,time stop win,0.1724,win
TMF,PrevDayBreakout_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,37.13,36.98,37.43,2025-08-21T00:00:00-04:00,36.98,SL hit,-1.0,loss
TMF,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,37.25,36.495,38.76,2025-08-27T00:00:00-04:00,36.495,SL hit,-1.0,loss
TMF,PrevDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,37.23,36.3,39.09,2025-09-02T00:00:00-04:00,36.3,SL hit,-1.0,loss
TMF,PrevDayBreakout_D1,2025-09-03T00:00:00-04:00,2025-09-04T00:00:00-04:00,37.86,35.97,41.64,2025-09-10T00:00:00-04:00,41.64,TP hit,2.0,win
TMF,PrevDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,39.41,36.5,45.23,2025-09-11T00:00:00-04:00,42.17,time stop win,0.9485,win
