symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
TMF,TwoDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13T00:00:00-04:00,37.83,36.38,40.73,2025-06-16T00:00:00-04:00,36.38,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,38.385,36.99,41.175,2025-07-03T00:00:00-04:00,37.94,time stop loss,-0.319,loss
TMF,TwoDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,39.49,37.925,42.62,2025-07-03T00:00:00-04:00,37.925,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,38.26,37.925,38.93,2025-07-03T00:00:00-04:00,37.925,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,37.61,35.91,41.01,2025-07-14T00:00:00-04:00,35.91,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,36.81,35.91,38.61,2025-07-14T00:00:00-04:00,35.91,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,36.615,35.21,39.425,2025-07-28T00:00:00-04:00,36.18,time stop loss,-0.3096,loss
TMF,TwoDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,36.24,35.78,37.16,2025-07-29T00:00:00-04:00,37.16,TP hit,2.0,win
TMF,TwoDayBreakout_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,37.26,36.03,39.72,2025-08-05T00:00:00-04:00,39.72,TP hit,2.0,win
TMF,TwoDayBreakout_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,39.135,36.98,43.445,2025-08-08T00:00:00-04:00,38.19,time stop loss,-0.4385,loss
TMF,TwoDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,38.98,37.33,42.28,2025-08-11T00:00:00-04:00,38.32,time stop loss,-0.4,loss
TMF,TwoDayBreakout_D1,2025-08-05T00:00:00-04:00,2025-08-06T00:00:00-04:00,38.98,38.56,39.82,2025-08-06T00:00:00-04:00,38.56,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,37.13,36.395,38.6,2025-08-27T00:00:00-04:00,36.395,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,37.25,36.495,38.76,2025-08-27T00:00:00-04:00,36.495,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,37.23,36.3,39.09,2025-09-02T00:00:00-04:00,36.3,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-09-03T00:00:00-04:00,2025-09-04T00:00:00-04:00,37.86,35.97,41.64,2025-09-10T00:00:00-04:00,41.64,TP hit,2.0,win
TMF,TwoDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,39.41,35.97,46.29,2025-09-11T00:00:00-04:00,42.17,time stop win,0.8023,win
TMF,TwoDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,40.68,36.5,49.04,2025-09-12T00:00:00-04:00,41.625,time stop win,0.2261,win
TMF,TwoDayBreakout_D1,2025-09-08T00:00:00-04:00,2025-09-09T00:00:00-04:00,40.99,37.33,48.31,2025-09-15T00:00:00-04:00,41.95,time stop win,0.2623,win
TMF,TwoDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,41.485,40.42,43.615,2025-09-18T00:00:00-04:00,40.42,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,40.605,39.085,43.645,2025-10-06T00:00:00-04:00,39.59,time stop loss,-0.6678,loss
TMF,TwoDayBreakout_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,41.66,40.04,44.9,2025-10-17T00:00:00-04:00,42.845,time stop win,0.7315,win
TMF,TwoDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,42.615,41.11,45.625,2025-10-21T00:00:00-04:00,44.0,time stop win,0.9203,win
TMF,TwoDayBreakout_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,42.92,41.88,45.0,2025-10-23T00:00:00-04:00,43.155,time stop win,0.226,win
TMF,TwoDayBreakout_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,43.965,42.48,46.935,2025-10-28T00:00:00-04:00,43.905,time stop loss,-0.0404,loss
TMF,TwoDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,43.7,42.63,45.84,2025-10-29T00:00:00-04:00,42.63,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,41.275,40.48,42.865,2025-11-14T00:00:00-05:00,40.48,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,41.03,40.5,42.09,2025-11-13T00:00:00-05:00,40.5,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,41.055,39.67,43.825,2025-12-01T00:00:00-05:00,39.8,time stop loss,-0.9061,loss
TMF,TwoDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,41.54,39.81,45.0,2025-12-01T00:00:00-05:00,39.81,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,41.27,40.065,43.68,2025-12-01T00:00:00-05:00,40.065,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,41.695,40.85,43.385,2025-12-01T00:00:00-05:00,40.85,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,39.91,39.385,40.96,2025-12-05T00:00:00-05:00,39.385,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,38.08,37.56,39.12,2025-12-23T00:00:00-05:00,37.56,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-12-18T00:00:00-05:00,2025-12-19T00:00:00-05:00,38.44,37.515,40.29,2025-12-23T00:00:00-05:00,37.515,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2025-12-24T00:00:00-05:00,2025-12-26T00:00:00-05:00,38.53,37.23,41.13,2026-01-02T00:00:00-05:00,37.23,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,37.395,36.89,38.405,2026-01-14T00:00:00-05:00,38.405,TP hit,2.0,win
TMF,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,38.97,37.48,41.95,2026-01-20T00:00:00-05:00,37.48,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,37.75,36.28,40.69,2026-01-29T00:00:00-05:00,37.51,time stop loss,-0.1633,loss
TMF,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,38.56,36.35,42.98,2026-01-30T00:00:00-05:00,36.92,time stop loss,-0.7421,loss
TMF,TwoDayBreakout_D1,2026-01-26T00:00:00-05:00,2026-01-27T00:00:00-05:00,38.17,36.995,40.52,2026-01-29T00:00:00-05:00,36.995,SL hit,-1.0,loss
TMF,TwoDayBreakout_D1,2026-02-05T00:00:00-05:00,2026-02-06T00:00:00-05:00,37.6,36.37,40.06,2026-02-12T00:00:00-05:00,39.87,time stop win,1.8455,win
TMF,TwoDayBreakout_D1,2026-02-06T00:00:00-05:00,2026-02-09T00:00:00-05:00,37.265,36.39,39.015,2026-02-12T00:00:00-05:00,39.015,TP hit,2.0,win
TMF,TwoDayBreakout_D1,2026-02-10T00:00:00-05:00,2026-02-11T00:00:00-05:00,38.315,37.07,40.805,2026-02-17T00:00:00-05:00,40.805,TP hit,2.0,win
TMF,TwoDayBreakout_D1,2026-02-12T00:00:00-05:00,2026-02-13T00:00:00-05:00,40.32,38.2,44.56,2026-02-20T00:00:00-05:00,40.01,time stop loss,-0.1462,loss
TMF,TwoDayBreakout_D1,2026-02-13T00:00:00-05:00,2026-02-17T00:00:00-05:00,40.75,38.2,45.85,2026-02-23T00:00:00-05:00,40.435,time stop loss,-0.1235,loss
TMF,TwoDayBreakout_D1,2026-02-17T00:00:00-05:00,2026-02-18T00:00:00-05:00,40.415,38.73,43.785,2026-02-24T00:00:00-05:00,40.635,time stop win,0.1306,win
