symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
TQQQ,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,74.25,72.28,78.19,2025-06-20T00:00:00-04:00,72.28,SL hit,-1.0,loss
TQQQ,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,73.92,73.19,75.38,2025-06-18T00:00:00-04:00,73.19,SL hit,-1.0,loss
TQQQ,MeanReversion_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,72.64,71.72,74.48,2025-06-23T00:00:00-04:00,71.72,SL hit,-1.0,loss
TQQQ,MeanReversion_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,80.46,79.81,81.76,2025-07-02T00:00:00-04:00,81.76,TP hit,2.0,win
TQQQ,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,83.49,81.81,86.85,2025-07-14T00:00:00-04:00,84.605,time stop win,0.6637,win
TQQQ,MeanReversion_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,87.18,85.47,90.6,2025-07-29T00:00:00-04:00,90.6,TP hit,2.0,win
TQQQ,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,85.215,81.89,91.865,2025-08-08T00:00:00-04:00,91.865,TP hit,2.0,win
TQQQ,MeanReversion_D1,2025-08-15T00:00:00-04:00,2025-08-18T00:00:00-04:00,92.79,92.5,93.37,2025-08-18T00:00:00-04:00,92.5,SL hit,-1.0,loss
TQQQ,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,86.94,84.4,92.02,2025-08-27T00:00:00-04:00,91.08,time stop win,1.6299,win
TQQQ,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,88.735,84.26,97.685,2025-09-09T00:00:00-04:00,93.89,time stop win,1.152,win
