symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
TQQQ,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,76.6,73.86,82.08,2025-06-13T00:00:00-04:00,73.86,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,74.65,72.28,79.39,2025-06-20T00:00:00-04:00,72.28,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,78.94,71.43,93.96,2025-07-01T00:00:00-04:00,80.855,time stop win,0.255,win
TQQQ,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,80.95,77.8,87.25,2025-07-03T00:00:00-04:00,84.86,time stop win,1.2413,win
TQQQ,PrevDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,82.75,78.64,90.97,2025-07-07T00:00:00-04:00,82.905,time stop win,0.0377,win
TQQQ,PrevDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,82.09,79.86,86.55,2025-07-01T00:00:00-04:00,79.86,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,83.49,79.81,90.85,2025-07-10T00:00:00-04:00,84.345,time stop win,0.2323,win
TQQQ,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,83.605,80.46,89.895,2025-07-11T00:00:00-04:00,83.73,time stop win,0.0397,win
TQQQ,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,85.035,82.49,90.125,2025-07-16T00:00:00-04:00,82.49,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,86.42,82.75,93.76,2025-07-16T00:00:00-04:00,82.75,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,87.66,82.47,98.04,2025-07-24T00:00:00-04:00,88.415,time stop win,0.1455,win
TQQQ,PrevDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,88.155,86.19,92.085,2025-07-22T00:00:00-04:00,86.19,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,88.3,85.9,93.1,2025-07-31T00:00:00-04:00,88.41,time stop win,0.0458,win
TQQQ,PrevDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,89.6,87.61,93.58,2025-08-01T00:00:00-04:00,87.61,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-07-28T00:00:00-04:00,2025-07-29T00:00:00-04:00,90.99,87.99,96.99,2025-07-31T00:00:00-04:00,87.99,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,87.97,81.89,100.13,2025-08-11T00:00:00-04:00,91.33,time stop win,0.5526,win
TQQQ,PrevDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,90.875,85.46,101.705,2025-08-13T00:00:00-04:00,94.89,time stop win,0.7415,win
TQQQ,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,90.28,85.83,99.18,2025-08-14T00:00:00-04:00,94.72,time stop win,0.9978,win
TQQQ,PrevDayBreakout_D1,2025-08-08T00:00:00-04:00,2025-08-11T00:00:00-04:00,92.25,87.85,101.05,2025-08-15T00:00:00-04:00,93.2,time stop win,0.2159,win
TQQQ,PrevDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,96.065,90.73,106.735,2025-08-19T00:00:00-04:00,90.73,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,93.86,91.17,99.24,2025-08-19T00:00:00-04:00,91.17,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,89.65,85.41,98.13,2025-08-29T00:00:00-04:00,89.285,time stop loss,-0.0861,loss
TQQQ,PrevDayBreakout_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,91.28,88.86,96.12,2025-08-29T00:00:00-04:00,88.86,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,91.425,89.54,95.195,2025-08-29T00:00:00-04:00,89.54,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-09-03T00:00:00-04:00,2025-09-04T00:00:00-04:00,89.41,84.26,99.71,2025-09-10T00:00:00-04:00,94.015,time stop win,0.8942,win
TQQQ,PrevDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,93.955,87.6,106.665,2025-09-11T00:00:00-04:00,95.54,time stop win,0.2494,win
TQQQ,PrevDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,92.91,88.685,101.36,2025-09-12T00:00:00-04:00,96.81,time stop win,0.9231,win
TQQQ,PrevDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,95.95,92.95,101.95,2025-09-18T00:00:00-04:00,101.95,TP hit,2.0,win
TQQQ,PrevDayBreakout_D1,2025-09-12T00:00:00-04:00,2025-09-15T00:00:00-04:00,97.585,94.42,103.915,2025-09-19T00:00:00-04:00,102.985,time stop win,1.7062,win
TQQQ,PrevDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,99.685,95.535,107.985,2025-09-22T00:00:00-04:00,104.76,time stop win,1.2229,win
TQQQ,PrevDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,101.91,95.55,114.63,2025-09-25T00:00:00-04:00,100.005,time stop loss,-0.2995,loss
TQQQ,PrevDayBreakout_D1,2025-09-19T00:00:00-04:00,2025-09-22T00:00:00-04:00,102.445,99.8,107.735,2025-09-25T00:00:00-04:00,99.8,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,104.725,101.19,111.795,2025-09-24T00:00:00-04:00,101.19,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,102.775,97.52,113.285,2025-10-03T00:00:00-04:00,104.7,time stop win,0.3663,win
TQQQ,PrevDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,102.36,98.79,109.5,2025-10-06T00:00:00-04:00,107.005,time stop win,1.3011,win
TQQQ,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,106.81,101.22,117.99,2025-10-08T00:00:00-04:00,108.895,time stop win,0.373,win
TQQQ,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,106.45,101.31,116.73,2025-10-09T00:00:00-04:00,108.465,time stop win,0.392,win
TQQQ,PrevDayBreakout_D1,2025-10-06T00:00:00-04:00,2025-10-07T00:00:00-04:00,107.69,103.805,115.46,2025-10-10T00:00:00-04:00,103.805,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,108.88,104.565,117.51,2025-10-10T00:00:00-04:00,104.565,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,107.86,100.14,123.3,2025-10-27T00:00:00-04:00,116.46,time stop win,1.114,win
TQQQ,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,114.51,104.11,135.31,2025-10-31T00:00:00-04:00,116.82,time stop win,0.2221,win
TQQQ,PrevDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,117.645,109.56,133.815,2025-11-03T00:00:00-05:00,118.33,time stop win,0.0847,win
TQQQ,PrevDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,120.59,114.28,133.21,2025-11-04T00:00:00-05:00,114.28,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,118.445,117.06,121.215,2025-10-30T00:00:00-04:00,117.06,SL hit,-1.0,loss
TQQQ,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,111.28,99.97,133.9,2025-11-14T00:00:00-05:00,99.97,SL hit,-1.0,loss
