symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
TQQQ,TwoDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,76.6,73.56,82.68,2025-06-13T00:00:00-04:00,73.56,SL hit,-1.0,loss
TQQQ,TwoDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,78.94,71.43,93.96,2025-07-01T00:00:00-04:00,80.855,time stop win,0.255,win
TQQQ,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,80.95,76.66,89.53,2025-07-03T00:00:00-04:00,84.86,time stop win,0.9114,win
TQQQ,TwoDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,82.75,77.8,92.65,2025-07-07T00:00:00-04:00,82.905,time stop win,0.0313,win
TQQQ,TwoDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,82.09,78.64,88.99,2025-07-08T00:00:00-04:00,83.04,time stop win,0.2754,win
TQQQ,TwoDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,83.605,79.81,91.195,2025-07-11T00:00:00-04:00,83.73,time stop win,0.0329,win
TQQQ,TwoDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,85.035,81.81,91.485,2025-07-16T00:00:00-04:00,85.085,time stop win,0.0155,win
TQQQ,TwoDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,87.66,82.47,98.04,2025-07-24T00:00:00-04:00,88.415,time stop win,0.1455,win
TQQQ,TwoDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,88.155,85.0,94.465,2025-07-28T00:00:00-04:00,89.815,time stop win,0.5261,win
TQQQ,TwoDayBreakout_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,88.3,85.47,93.96,2025-07-31T00:00:00-04:00,88.41,time stop win,0.0389,win
TQQQ,TwoDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,89.6,85.9,97.0,2025-08-01T00:00:00-04:00,85.9,SL hit,-1.0,loss
TQQQ,TwoDayBreakout_D1,2025-07-28T00:00:00-04:00,2025-07-29T00:00:00-04:00,90.99,87.61,97.75,2025-08-01T00:00:00-04:00,87.61,SL hit,-1.0,loss
TQQQ,TwoDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,90.875,85.16,102.305,2025-08-13T00:00:00-04:00,94.89,time stop win,0.7025,win
TQQQ,TwoDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,90.28,85.46,99.92,2025-08-14T00:00:00-04:00,94.72,time stop win,0.9212,win
TQQQ,TwoDayBreakout_D1,2025-08-08T00:00:00-04:00,2025-08-11T00:00:00-04:00,92.25,85.83,105.09,2025-08-15T00:00:00-04:00,93.2,time stop win,0.148,win
TQQQ,TwoDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,96.065,90.14,107.915,2025-08-19T00:00:00-04:00,90.14,SL hit,-1.0,loss
TQQQ,TwoDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,93.86,90.73,100.12,2025-08-19T00:00:00-04:00,90.73,SL hit,-1.0,loss
TQQQ,TwoDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,89.65,84.4,100.15,2025-08-29T00:00:00-04:00,89.285,time stop loss,-0.0695,loss
TQQQ,TwoDayBreakout_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,91.28,88.86,96.12,2025-08-29T00:00:00-04:00,88.86,SL hit,-1.0,loss
TQQQ,TwoDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,91.425,88.86,96.555,2025-08-29T00:00:00-04:00,88.86,SL hit,-1.0,loss
TQQQ,TwoDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,93.955,84.26,113.345,2025-09-11T00:00:00-04:00,95.54,time stop win,0.1635,win
TQQQ,TwoDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,92.91,87.6,103.53,2025-09-12T00:00:00-04:00,96.81,time stop win,0.7345,win
TQQQ,TwoDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,95.95,92.26,103.33,2025-09-18T00:00:00-04:00,101.07,time stop win,1.3875,win
TQQQ,TwoDayBreakout_D1,2025-09-12T00:00:00-04:00,2025-09-15T00:00:00-04:00,97.585,92.95,106.855,2025-09-19T00:00:00-04:00,102.985,time stop win,1.165,win
TQQQ,TwoDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,99.685,94.42,110.215,2025-09-22T00:00:00-04:00,104.76,time stop win,0.9639,win
TQQQ,TwoDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,101.91,95.55,114.63,2025-09-25T00:00:00-04:00,100.005,time stop loss,-0.2995,loss
TQQQ,TwoDayBreakout_D1,2025-09-19T00:00:00-04:00,2025-09-22T00:00:00-04:00,102.445,95.55,116.235,2025-09-26T00:00:00-04:00,101.235,time stop loss,-0.1755,loss
TQQQ,TwoDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,104.725,99.8,114.575,2025-09-25T00:00:00-04:00,99.8,SL hit,-1.0,loss
TQQQ,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,102.36,97.52,112.04,2025-10-06T00:00:00-04:00,107.005,time stop win,0.9597,win
TQQQ,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,106.81,101.22,117.99,2025-10-08T00:00:00-04:00,108.895,time stop win,0.373,win
