symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
UPRO,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,83.85,81.85,87.85,2025-06-20T00:00:00-04:00,81.85,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,82.82,82.41,83.64,2025-06-18T00:00:00-04:00,82.41,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-06-18T00:00:00-04:00,2025-06-20T00:00:00-04:00,83.48,82.18,86.08,2025-06-20T00:00:00-04:00,82.18,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,81.95,81.29,83.27,2025-06-23T00:00:00-04:00,81.29,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,92.59,91.18,95.41,2025-07-14T00:00:00-04:00,94.11,time stop win,1.078,win
UPRO,MeanReversion_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,98.54,98.0,99.62,2025-07-30T00:00:00-04:00,98.0,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,100.34,96.76,107.5,2025-07-31T00:00:00-04:00,96.76,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,93.77,91.06,99.19,2025-08-08T00:00:00-04:00,98.68,time stop win,1.8118,win
UPRO,MeanReversion_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,99.445,99.03,100.275,2025-08-20T00:00:00-04:00,99.03,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,97.94,96.45,100.92,2025-08-22T00:00:00-04:00,100.92,TP hit,2.0,win
UPRO,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,100.43,96.82,107.65,2025-09-09T00:00:00-04:00,103.97,time stop win,0.9806,win
UPRO,MeanReversion_D1,2025-09-17T00:00:00-04:00,2025-09-18T00:00:00-04:00,109.19,105.52,116.53,2025-09-24T00:00:00-04:00,109.3,time stop win,0.03,win
UPRO,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,108.315,105.9,113.145,2025-10-02T00:00:00-04:00,113.145,TP hit,2.0,win
UPRO,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,113.38,112.15,115.84,2025-10-10T00:00:00-04:00,112.15,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,108.09,104.45,115.37,2025-10-14T00:00:00-04:00,104.45,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,111.36,109.06,115.96,2025-10-24T00:00:00-04:00,115.96,TP hit,2.0,win
UPRO,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,119.44,116.99,124.34,2025-10-31T00:00:00-04:00,116.99,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,114.225,114.11,114.455,2025-11-05T00:00:00-05:00,114.11,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,106.44,104.11,111.1,2025-11-20T00:00:00-05:00,104.11,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,103.41,102.16,105.91,2025-11-21T00:00:00-05:00,102.16,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,116.19,114.79,118.99,2025-12-05T00:00:00-05:00,118.99,TP hit,2.0,win
UPRO,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,116.67,115.97,118.07,2025-12-10T00:00:00-05:00,115.97,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,117.66,114.43,124.12,2025-12-16T00:00:00-05:00,114.43,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,114.49,112.24,118.99,2025-12-17T00:00:00-05:00,112.24,SL hit,-1.0,loss
UPRO,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,113.68,110.315,120.41,2025-12-24T00:00:00-05:00,120.41,TP hit,2.0,win
UPRO,MeanReversion_D1,2025-12-29T00:00:00-05:00,2025-12-30T00:00:00-05:00,118.88,118.1,120.44,2025-12-31T00:00:00-05:00,118.1,SL hit,-1.0,loss
