symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
UPRO,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,85.48,83.42,89.6,2025-06-13T00:00:00-04:00,83.42,SL hit,-1.0,loss
UPRO,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,83.745,81.85,87.535,2025-06-20T00:00:00-04:00,81.85,SL hit,-1.0,loss
UPRO,PrevDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24T00:00:00-04:00,86.27,81.29,96.23,2025-06-30T00:00:00-04:00,91.63,time stop win,1.0763,win
UPRO,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,87.28,80.83,100.18,2025-07-01T00:00:00-04:00,91.24,time stop win,0.614,win
UPRO,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,89.3,86.49,94.92,2025-07-03T00:00:00-04:00,94.92,TP hit,2.0,win
UPRO,PrevDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,91.09,87.49,98.29,2025-07-07T00:00:00-04:00,92.54,time stop win,0.4028,win
UPRO,PrevDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,90.74,88.58,95.06,2025-07-08T00:00:00-04:00,92.295,time stop win,0.7199,win
UPRO,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,93.67,90.37,100.27,2025-07-10T00:00:00-04:00,94.69,time stop win,0.3091,win
UPRO,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,93.63,90.87,99.15,2025-07-11T00:00:00-04:00,93.59,time stop loss,-0.0145,loss
UPRO,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,93.935,91.93,97.945,2025-07-16T00:00:00-04:00,91.93,SL hit,-1.0,loss
UPRO,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,93.5,92.52,95.46,2025-07-16T00:00:00-04:00,92.52,SL hit,-1.0,loss
UPRO,PrevDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,95.79,91.01,105.35,2025-07-24T00:00:00-04:00,98.26,time stop win,0.5167,win
