symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
UPRO,TwoDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,85.48,82.73,90.98,2025-06-13T00:00:00-04:00,82.73,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24T00:00:00-04:00,86.27,81.29,96.23,2025-06-30T00:00:00-04:00,91.63,time stop win,1.0763,win
UPRO,TwoDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,87.28,80.83,100.18,2025-07-01T00:00:00-04:00,91.24,time stop win,0.614,win
UPRO,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,89.3,85.63,96.64,2025-07-03T00:00:00-04:00,94.63,time stop win,1.4523,win
UPRO,TwoDayBreakout_D1,2025-06-27T00:00:00-04:00,2025-06-30T00:00:00-04:00,91.09,86.49,100.29,2025-07-07T00:00:00-04:00,92.54,time stop win,0.3152,win
UPRO,TwoDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,90.74,87.49,97.24,2025-07-08T00:00:00-04:00,92.295,time stop win,0.4785,win
UPRO,TwoDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,93.67,90.22,100.57,2025-07-10T00:00:00-04:00,94.69,time stop win,0.2957,win
UPRO,TwoDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,93.63,90.37,100.15,2025-07-11T00:00:00-04:00,93.59,time stop loss,-0.0123,loss
UPRO,TwoDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,93.935,91.18,99.445,2025-07-16T00:00:00-04:00,91.18,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,93.5,91.93,96.64,2025-07-16T00:00:00-04:00,91.93,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-07-23T00:00:00-04:00,2025-07-24T00:00:00-04:00,98.26,94.57,105.64,2025-07-30T00:00:00-04:00,97.98,time stop loss,-0.0759,loss
UPRO,TwoDayBreakout_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,98.43,94.57,106.15,2025-07-31T00:00:00-04:00,96.96,time stop loss,-0.3808,loss
UPRO,TwoDayBreakout_D1,2025-07-25T00:00:00-04:00,2025-07-28T00:00:00-04:00,99.475,96.16,106.105,2025-08-01T00:00:00-04:00,96.16,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,98.27,93.77,107.27,2025-08-13T00:00:00-04:00,102.205,time stop win,0.8744,win
UPRO,TwoDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,102.22,97.35,111.96,2025-08-19T00:00:00-04:00,99.59,time stop loss,-0.54,loss
UPRO,TwoDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,101.26,97.61,108.56,2025-08-20T00:00:00-04:00,97.61,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,101.46,96.45,111.48,2025-08-29T00:00:00-04:00,101.63,time stop win,0.0339,win
UPRO,TwoDayBreakout_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,103.03,100.23,108.63,2025-09-02T00:00:00-04:00,100.23,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,102.79,100.23,107.91,2025-09-02T00:00:00-04:00,100.23,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,104.82,96.82,120.82,2025-09-11T00:00:00-04:00,107.495,time stop win,0.3344,win
UPRO,TwoDayBreakout_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,105.8,102.43,112.54,2025-09-17T00:00:00-04:00,107.74,time stop win,0.5757,win
UPRO,TwoDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,107.2,102.48,116.64,2025-09-18T00:00:00-04:00,109.61,time stop win,0.5106,win
UPRO,TwoDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,109.05,105.39,116.37,2025-09-22T00:00:00-04:00,112.45,time stop win,0.929,win
UPRO,TwoDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,109.82,105.52,118.42,2025-09-25T00:00:00-04:00,107.58,time stop loss,-0.5209,loss
UPRO,TwoDayBreakout_D1,2025-09-19T00:00:00-04:00,2025-09-22T00:00:00-04:00,110.325,105.52,119.935,2025-09-26T00:00:00-04:00,109.48,time stop loss,-0.1759,loss
UPRO,TwoDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,112.32,108.56,119.84,2025-09-25T00:00:00-04:00,108.56,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,109.96,105.9,118.08,2025-10-06T00:00:00-04:00,114.09,time stop win,1.0172,win
UPRO,TwoDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,110.84,107.6,117.32,2025-10-07T00:00:00-04:00,112.73,time stop win,0.5833,win
UPRO,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,113.55,109.39,121.87,2025-10-08T00:00:00-04:00,114.755,time stop win,0.2897,win
UPRO,TwoDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,114.98,112.15,120.64,2025-10-10T00:00:00-04:00,112.15,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,113.23,106.44,126.81,2025-10-27T00:00:00-04:00,119.92,time stop win,0.9853,win
UPRO,TwoDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,118.76,109.06,138.16,2025-10-31T00:00:00-04:00,117.99,time stop loss,-0.0794,loss
UPRO,TwoDayBreakout_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,120.815,111.24,139.965,2025-11-03T00:00:00-05:00,118.42,time stop loss,-0.2501,loss
UPRO,TwoDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,121.53,115.15,134.29,2025-11-04T00:00:00-05:00,115.15,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,116.42,107.45,134.36,2025-11-17T00:00:00-05:00,107.45,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,118.84,107.45,141.62,2025-11-17T00:00:00-05:00,107.45,SL hit,-1.0,loss
UPRO,TwoDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,114.33,101.63,139.73,2025-12-03T00:00:00-05:00,117.135,time stop win,0.2209,win
UPRO,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,115.9,106.65,134.4,2025-12-04T00:00:00-05:00,117.495,time stop win,0.1724,win
UPRO,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,114.8,107.95,128.5,2025-12-05T00:00:00-05:00,118.11,time stop win,0.4832,win
