symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
UVXY,MeanReversion_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,20.16,20.03,20.42,2025-06-10T00:00:00-04:00,20.03,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,21.28,20.515,22.81,2025-06-17T00:00:00-04:00,22.81,TP hit,2.0,win
UVXY,MeanReversion_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,17.41,16.85,18.53,2025-07-11T00:00:00-04:00,16.85,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,16.75,16.32,17.61,2025-07-23T00:00:00-04:00,16.32,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-07-24T00:00:00-04:00,2025-07-25T00:00:00-04:00,15.65,15.36,16.23,2025-07-28T00:00:00-04:00,15.36,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,13.92,13.34,15.08,2025-08-18T00:00:00-04:00,13.34,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,12.135,11.93,12.545,2025-08-25T00:00:00-04:00,11.93,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-08-26T00:00:00-04:00,2025-08-27T00:00:00-04:00,11.91,11.84,12.05,2025-08-27T00:00:00-04:00,11.84,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,11.68,11.63,11.78,2025-08-29T00:00:00-04:00,11.63,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,10.745,10.73,10.775,2025-09-12T00:00:00-04:00,10.73,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,10.825,10.61,11.255,2025-10-21T00:00:00-04:00,10.61,SL hit,-1.0,loss
UVXY,MeanReversion_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,10.71,10.43,11.27,2025-10-22T00:00:00-04:00,11.27,TP hit,2.0,win
UVXY,MeanReversion_D1,2025-10-27T00:00:00-04:00,2025-10-28T00:00:00-04:00,9.72,9.66,9.84,2025-10-28T00:00:00-04:00,9.84,TP hit,2.0,win
