symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
UVXY,PrevDayBreakout_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,21.8,20.28,24.84,2025-06-23T00:00:00-04:00,21.58,time stop loss,-0.1447,loss
UVXY,PrevDayBreakout_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,22.56,20.515,26.65,2025-06-24T00:00:00-04:00,20.515,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,18.21,18.03,18.57,2025-07-08T00:00:00-04:00,18.03,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-07-16T00:00:00-04:00,2025-07-17T00:00:00-04:00,17.39,16.86,18.45,2025-07-21T00:00:00-04:00,16.86,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-07-29T00:00:00-04:00,2025-07-30T00:00:00-04:00,15.25,14.76,16.23,2025-07-31T00:00:00-04:00,14.76,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,16.65,14.76,20.43,2025-08-07T00:00:00-04:00,14.76,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-08-29T00:00:00-04:00,2025-09-02T00:00:00-04:00,13.06,11.63,15.92,2025-09-04T00:00:00-04:00,11.63,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,12.48,11.58,14.28,2025-09-04T00:00:00-04:00,11.58,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,10.905,10.55,11.615,2025-09-17T00:00:00-04:00,10.55,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-09-16T00:00:00-04:00,2025-09-17T00:00:00-04:00,11.025,10.55,11.975,2025-09-17T00:00:00-04:00,10.55,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-09-22T00:00:00-04:00,2025-09-23T00:00:00-04:00,10.775,10.385,11.555,2025-09-26T00:00:00-04:00,10.385,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,10.87,10.52,11.57,2025-09-26T00:00:00-04:00,10.52,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,10.68,10.385,11.27,2025-10-09T00:00:00-04:00,10.385,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,11.49,10.365,13.74,2025-10-16T00:00:00-04:00,13.74,TP hit,2.0,win
UVXY,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,11.35,10.96,12.13,2025-10-15T00:00:00-04:00,12.13,TP hit,2.0,win
UVXY,PrevDayBreakout_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,13.405,11.25,17.715,2025-10-20T00:00:00-04:00,11.25,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-10-28T00:00:00-04:00,2025-10-29T00:00:00-04:00,10.05,9.66,10.83,2025-10-31T00:00:00-04:00,10.83,TP hit,2.0,win
UVXY,PrevDayBreakout_D1,2025-10-29T00:00:00-04:00,2025-10-30T00:00:00-04:00,10.34,9.72,11.58,2025-11-05T00:00:00-05:00,10.42,time stop win,0.129,win
UVXY,PrevDayBreakout_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,10.22,9.94,10.78,2025-10-31T00:00:00-04:00,10.78,TP hit,2.0,win
UVXY,PrevDayBreakout_D1,2025-10-31T00:00:00-04:00,2025-11-03T00:00:00-05:00,10.44,10.07,11.18,2025-11-04T00:00:00-05:00,11.18,TP hit,2.0,win
UVXY,PrevDayBreakout_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,11.105,10.38,12.555,2025-11-05T00:00:00-05:00,10.38,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2025-11-13T00:00:00-05:00,2025-11-14T00:00:00-05:00,11.645,9.91,15.115,2025-11-20T00:00:00-05:00,15.115,TP hit,2.0,win
UVXY,PrevDayBreakout_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,12.27,10.71,15.39,2025-11-20T00:00:00-05:00,15.39,TP hit,2.0,win
UVXY,PrevDayBreakout_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,63.125,11.43,166.515,2025-11-28T00:00:00-05:00,47.93,time stop loss,-0.2939,loss
UVXY,PrevDayBreakout_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,35.91,34.62,38.49,2026-01-09T00:00:00-05:00,34.62,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,36.99,34.23,42.51,2026-01-21T00:00:00-05:00,35.79,time stop loss,-0.4348,loss
UVXY,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,35.195,34.085,37.415,2026-01-20T00:00:00-05:00,37.415,TP hit,2.0,win
UVXY,PrevDayBreakout_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,39.01,34.79,47.45,2026-01-22T00:00:00-05:00,34.79,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2026-01-27T00:00:00-05:00,2026-01-28T00:00:00-05:00,35.895,34.58,38.525,2026-01-29T00:00:00-05:00,38.525,TP hit,2.0,win
UVXY,PrevDayBreakout_D1,2026-02-05T00:00:00-05:00,2026-02-06T00:00:00-05:00,39.315,36.16,45.625,2026-02-09T00:00:00-05:00,36.16,SL hit,-1.0,loss
UVXY,PrevDayBreakout_D1,2026-02-12T00:00:00-05:00,2026-02-13T00:00:00-05:00,39.77,35.1,49.11,2026-02-20T00:00:00-05:00,38.62,time stop loss,-0.2463,loss
UVXY,PrevDayBreakout_D1,2026-02-13T00:00:00-05:00,2026-02-17T00:00:00-05:00,40.985,35.45,52.055,2026-02-23T00:00:00-05:00,40.94,time stop loss,-0.0081,loss
UVXY,PrevDayBreakout_D1,2026-02-19T00:00:00-05:00,2026-02-20T00:00:00-05:00,41.29,37.23,49.41,2026-02-25T00:00:00-05:00,37.23,SL hit,-1.0,loss
