symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome,signal_id,entry_notional_usd,risk_to_stop_usd
SOXL,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,20.84,19.84,22.84,2025-06-23T00:00:00-04:00,21.56,time stop win,0.72,win,SOXL_MeanReversion_D1_5,20.84,1.0
SOXL,MeanReversion_D1,2025-06-20T00:00:00-04:00,2025-06-23T00:00:00-04:00,21.16,20.38,22.72,2025-06-23T00:00:00-04:00,20.38,SL hit,-1.0,loss,SOXL_MeanReversion_D1_9,21.16,0.7800000000000011
SOXL,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,25.625,24.63,27.615,2025-07-10T00:00:00-04:00,27.615,TP hit,2.0,win,SOXL_MeanReversion_D1_19,25.625,0.995000000000001
SOXL,MeanReversion_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,28.06,25.33,33.52,2025-07-16T00:00:00-04:00,25.33,SL hit,-1.0,loss,SOXL_MeanReversion_D1_24,28.06,2.7300000000000004
SOXL,MeanReversion_D1,2025-07-16T00:00:00-04:00,2025-07-17T00:00:00-04:00,26.96,24.92,31.04,2025-07-23T00:00:00-04:00,24.92,SL hit,-1.0,loss,SOXL_MeanReversion_D1_26,26.96,2.039999999999999
SOXL,MeanReversion_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,25.685,25.35,26.355,2025-07-23T00:00:00-04:00,25.35,SL hit,-1.0,loss,SOXL_MeanReversion_D1_30,25.685,0.3349999999999973
SOXL,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,24.56,22.57,28.54,2025-08-08T00:00:00-04:00,25.72,time stop win,0.5829,win,SOXL_MeanReversion_D1_38,24.56,1.9899999999999984
SOXL,MeanReversion_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,26.105,26.1,26.115,2025-08-20T00:00:00-04:00,26.1,SL hit,-1.0,loss,SOXL_MeanReversion_D1_50,26.105,0.004999999999999005
SOXL,MeanReversion_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,25.37,23.66,28.79,2025-08-27T00:00:00-04:00,28.13,time stop win,1.614,win,SOXL_MeanReversion_D1_51,25.37,1.7100000000000009
SOXL,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,25.37,23.8,28.51,2025-09-09T00:00:00-04:00,27.18,time stop win,1.1529,win,SOXL_MeanReversion_D1_59,25.37,1.5700000000000003
SOXL,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,38.865,38.72,39.155,2025-10-08T00:00:00-04:00,38.72,SL hit,-1.0,loss,SOXL_MeanReversion_D1_84,38.865,0.14500000000000313
SOXL,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,38.22,34.17,46.32,2025-10-17T00:00:00-04:00,40.18,time stop win,0.484,win,SOXL_MeanReversion_D1_87,38.22,4.049999999999997
SOXL,MeanReversion_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,39.37,35.96,46.19,2025-10-21T00:00:00-04:00,41.45,time stop win,0.61,win,SOXL_MeanReversion_D1_89,39.37,3.4099999999999966
SOXL,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,37.72,35.97,41.22,2025-10-23T00:00:00-04:00,41.22,TP hit,2.0,win,SOXL_MeanReversion_D1_95,37.72,1.75
SOXL,MeanReversion_D1,2025-10-30T00:00:00-04:00,2025-10-31T00:00:00-04:00,48.775,47.28,51.765,2025-10-31T00:00:00-04:00,47.28,SL hit,-1.0,loss,SOXL_MeanReversion_D1_101,48.775,1.4949999999999974
