signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
TSLA_PrevDayBreakout_D1_1,TSLA,PrevDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,315.01,291.23,0.5925,0.0,risk_cap,1,20.835,1.685,315.01,23.78
TQQQ_PrevDayBreakout_D1_2,TQQQ,PrevDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-13 04:00:00+00:00,76.6,73.86,-1.0,0.0,no_slot,3,65.255,7.25,76.6,2.74
TQQQ_TwoDayBreakout_D1_2,TQQQ,TwoDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-13 04:00:00+00:00,76.6,73.56,-1.0,0.0,no_slot,3,65.255,7.25,76.6,3.04
TSLA_PrevDayBreakout_D1_2,TSLA,PrevDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-17 04:00:00+00:00,332.97,281.9,-0.3278,0.0,no_slot,3,65.255,7.25,332.97,51.07
TSLA_TwoDayBreakout_D1_2,TSLA,TwoDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-17 04:00:00+00:00,332.97,281.9,-0.3278,0.0,no_slot,3,65.255,7.25,332.97,51.07
TQQQ_MeanReversion_D1_5,TQQQ,MeanReversion_D1,2025-06-16 04:00:00+00:00,2025-06-20 04:00:00+00:00,74.25,72.28,-1.0,0.0,no_slot,3,65.26,6.565,74.25,1.97
UVXY_PrevDayBreakout_D1_5,UVXY,PrevDayBreakout_D1,2025-06-16 04:00:00+00:00,2025-06-23 04:00:00+00:00,21.8,20.28,-0.1447,0.0,no_slot,3,65.26,6.565,21.8,1.52
UVXY_TwoDayBreakout_D1_5,UVXY,TwoDayBreakout_D1,2025-06-16 04:00:00+00:00,2025-06-23 04:00:00+00:00,21.8,19.31,-0.0884,0.0,no_slot,3,65.26,6.565,21.8,2.49
UVXY_MeanReversion_D1_6,UVXY,MeanReversion_D1,2025-06-17 04:00:00+00:00,2025-06-17 04:00:00+00:00,21.28,20.515,2.0,-1.0,no_slot,3,117.115,5.155,21.28,0.765
TQQQ_MeanReversion_D1_7,TQQQ,MeanReversion_D1,2025-06-18 04:00:00+00:00,2025-06-18 04:00:00+00:00,73.92,73.19,-1.0,0.0,no_slot,3,117.115,5.155,73.92,0.73
TSLA_MeanReversion_D1_7,TSLA,MeanReversion_D1,2025-06-18 04:00:00+00:00,2025-06-18 04:00:00+00:00,317.255,314.78,2.0,0.0,no_slot,3,117.115,5.155,317.255,2.475
UVXY_PrevDayBreakout_D1_7,UVXY,PrevDayBreakout_D1,2025-06-18 04:00:00+00:00,2025-06-24 04:00:00+00:00,22.56,20.515,-1.0,0.0,no_slot,3,117.115,5.155,22.56,2.045
TSLA_PrevDayBreakout_D1_10,TSLA,PrevDayBreakout_D1,2025-06-24 04:00:00+00:00,2025-06-27 04:00:00+00:00,356.03,317.93,-1.0,0.13235,risk_cap,0,0.0,0.0,356.03,38.1
TSLA_TwoDayBreakout_D1_10,TSLA,TwoDayBreakout_D1,2025-06-24 04:00:00+00:00,2025-06-30 04:00:00+00:00,356.03,315.58,-0.9461,-0.3278,risk_cap,0,0.0,0.0,356.03,40.45
TQQQ_TwoDayBreakout_D1_11,TQQQ,TwoDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,78.94,71.43,0.255,-1.0,no_slot,3,127.75,15.76,78.94,7.51
TSLA_MeanReversion_D1_12,TSLA,MeanReversion_D1,2025-06-26 04:00:00+00:00,2025-06-27 04:00:00+00:00,324.695,320.45,-1.0,2.0,no_slot,3,127.75,15.76,324.695,4.245
SOXL_PrevDayBreakout_D1_12,SOXL,PrevDayBreakout_D1,2025-06-26 04:00:00+00:00,2025-07-02 04:00:00+00:00,25.185,22.64,0.3536,0.549267,no_slot,3,127.75,15.76,25.185,2.545
