signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
SOXL_PrevDayBreakout_D1_1,SOXL,PrevDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10 04:00:00+00:00,20.835,19.15,24.205,2025-06-16 04:00:00+00:00,21.94,time stop win,win,0.6558,1.0,20.835,1.685,0.0
UVXY_MeanReversion_D1_1,UVXY,MeanReversion_D1,2025-06-09T00:00:00-04:00,2025-06-10 04:00:00+00:00,20.16,20.03,20.42,2025-06-10 04:00:00+00:00,20.03,SL hit,loss,-1.0,1.0,20.16,0.13,0.0
SOXL_PrevDayBreakout_D1_2,SOXL,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11 04:00:00+00:00,22.21,19.705,27.22,2025-06-17 04:00:00+00:00,21.39,time stop loss,loss,-0.3273,1.0,22.21,2.505,0.0
SOXL_TwoDayBreakout_D1_2,SOXL,TwoDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11 04:00:00+00:00,22.21,19.15,28.33,2025-06-17 04:00:00+00:00,21.39,time stop loss,loss,-0.268,1.0,22.21,3.06,0.0
SOXL_MeanReversion_D1_5,SOXL,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,20.84,19.84,22.84,2025-06-23 04:00:00+00:00,21.56,time stop win,win,0.72,1.0,20.84,1.0,0.0
SOXL_PrevDayBreakout_D1_6,SOXL,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17 04:00:00+00:00,21.625,19.84,25.195,2025-06-24 04:00:00+00:00,23.98,time stop win,win,1.3193,1.0,21.625,1.785,0.6558
TQQQ_PrevDayBreakout_D1_6,TQQQ,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17 04:00:00+00:00,74.65,72.28,79.39,2025-06-20 04:00:00+00:00,72.28,SL hit,loss,-1.0,1.0,74.65,2.37,-1.0
SOXL_MeanReversion_D1_9,SOXL,MeanReversion_D1,2025-06-20T00:00:00-04:00,2025-06-23 04:00:00+00:00,21.16,20.38,22.72,2025-06-23 04:00:00+00:00,20.38,SL hit,loss,-1.0,1.0,21.16,0.78,0.0
TQQQ_MeanReversion_D1_9,TQQQ,MeanReversion_D1,2025-06-20T00:00:00-04:00,2025-06-23 04:00:00+00:00,72.64,71.72,74.48,2025-06-23 04:00:00+00:00,71.72,SL hit,loss,-1.0,1.0,72.64,0.92,-1.0
SOXL_PrevDayBreakout_D1_11,SOXL,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25 04:00:00+00:00,24.405,20.28,32.655,2025-07-01 04:00:00+00:00,24.685,time stop win,win,0.0679,1.0,24.405,4.125,0.549267
