signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
IEMG_MeanReversion_D1_2,IEMG,MeanReversion_D1,2025-05-29 04:00:00+00:00,2025-05-30 04:00:00+00:00,57.615,57.11,-1.0,0.0,no_slot,2,103.935,2.665,57.615,0.505
EEM_MeanReversion_D1_4,EEM,MeanReversion_D1,2025-06-02 04:00:00+00:00,2025-06-05 04:00:00+00:00,45.69,45.24,2.0,-1.0,no_slot,2,140.23,3.42,45.69,0.45
IEMG_MeanReversion_D1_4,IEMG,MeanReversion_D1,2025-06-02 04:00:00+00:00,2025-06-05 04:00:00+00:00,56.945,56.39,2.0,-1.0,no_slot,2,140.23,3.42,56.945,0.555
IEMG_PrevDayBreakout_D1_5,IEMG,PrevDayBreakout_D1,2025-06-03 04:00:00+00:00,2025-06-05 04:00:00+00:00,57.08,56.39,2.0,0.0,no_slot,2,128.455,1.805,57.08,0.69
EEM_PrevDayBreakout_D1_6,EEM,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,46.395,45.53,1.3931,0.0,no_slot,2,128.455,1.805,46.395,0.865
EEM_TwoDayBreakout_D1_6,EEM,TwoDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,46.395,45.24,1.0433,0.0,no_slot,2,128.455,1.805,46.395,1.155
IEMG_PrevDayBreakout_D1_6,IEMG,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,57.835,56.75,1.3594,0.0,no_slot,2,128.455,1.805,57.835,1.085
IEMG_TwoDayBreakout_D1_6,IEMG,TwoDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,57.835,56.39,1.0208,0.0,no_slot,2,128.455,1.805,57.835,1.445
KRE_PrevDayBreakout_D1_6,KRE,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,57.33,55.61,0.9331,-0.1196,no_slot,2,128.455,1.805,57.33,1.72
EEM_TwoDayBreakout_D1_7,EEM,TwoDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,46.925,45.53,0.6344,0.0,no_slot,2,92.765,1.765,46.925,1.395
IEMG_PrevDayBreakout_D1_7,IEMG,PrevDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,58.36,57.06,0.9538,0.0,no_slot,2,92.765,1.765,58.36,1.3
IEMG_TwoDayBreakout_D1_7,IEMG,TwoDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,58.36,56.75,0.7702,0.0,no_slot,2,92.765,1.765,58.36,1.61
IEMG_PrevDayBreakout_D1_8,IEMG,PrevDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-11 04:00:00+00:00,58.295,57.77,2.0,2.0,no_slot,2,92.765,1.765,58.295,0.525
EEM_PrevDayBreakout_D1_8,EEM,PrevDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-11 04:00:00+00:00,46.81,46.36,2.0,0.0,no_slot,2,92.765,1.765,46.81,0.45
EEM_TwoDayBreakout_D1_8,EEM,TwoDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-12 04:00:00+00:00,46.81,45.76,1.019,0.0,no_slot,2,92.765,1.765,46.81,1.05
IEMG_TwoDayBreakout_D1_8,IEMG,TwoDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-12 04:00:00+00:00,58.295,57.06,1.1134,0.0,no_slot,2,92.765,1.765,58.295,1.235
QQQ_MeanReversion_D1_8,QQQ,MeanReversion_D1,2025-06-06 04:00:00+00:00,2025-06-12 04:00:00+00:00,529.95,522.75,0.5111,0.0,no_slot,2,92.765,1.765,529.95,7.2
EEM_PrevDayBreakout_D1_10,EEM,PrevDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,47.54,46.72,-0.378,2.0,no_slot,2,105.23,3.35,47.54,0.82
IEMG_PrevDayBreakout_D1_10,IEMG,PrevDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,59.24,58.23,-0.5594,2.0,no_slot,2,105.23,3.35,59.24,1.01
EEM_TwoDayBreakout_D1_10,EEM,TwoDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,47.54,46.65,-0.3483,0.0,no_slot,2,105.23,3.35,47.54,0.89
IEMG_TwoDayBreakout_D1_10,IEMG,TwoDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,59.24,58.14,-0.5136,0.0,no_slot,2,105.23,3.35,59.24,1.1
KRE_PrevDayBreakout_D1_10,KRE,PrevDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-12 04:00:00+00:00,58.41,57.295,-1.0,-0.1196,no_slot,2,105.23,3.35,58.41,1.115
IEMG_PrevDayBreakout_D1_11,IEMG,PrevDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-13 04:00:00+00:00,59.605,58.72,-1.0,1.6797,no_slot,2,106.135,2.9,59.605,0.885
EEM_TwoDayBreakout_D1_11,EEM,TwoDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-17 04:00:00+00:00,47.83,46.72,-1.0,1.0433,no_slot,2,106.135,2.9,47.83,1.11
IEMG_TwoDayBreakout_D1_11,IEMG,TwoDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-17 04:00:00+00:00,59.605,58.23,-1.0,1.0208,no_slot,2,106.135,2.9,59.605,1.375
KRE_PrevDayBreakout_D1_11,KRE,PrevDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-11 04:00:00+00:00,59.13,58.11,-1.0,0.40675,no_slot,2,106.135,2.9,59.13,1.02
IEMG_PrevDayBreakout_D1_12,IEMG,PrevDayBreakout_D1,2025-06-12 04:00:00+00:00,2025-06-13 04:00:00+00:00,59.48,59.02,-1.0,1.5783,no_slot,2,106.135,2.9,59.48,0.46
EEM_PrevDayBreakout_D1_12,EEM,PrevDayBreakout_D1,2025-06-12 04:00:00+00:00,2025-06-13 04:00:00+00:00,47.74,47.35,-1.0,1.5382,no_slot,2,106.135,2.9,47.74,0.39
IEMG_TwoDayBreakout_D1_12,IEMG,TwoDayBreakout_D1,2025-06-12 04:00:00+00:00,2025-06-13 04:00:00+00:00,59.48,58.72,-1.0,0.8955,no_slot,2,106.135,2.9,59.48,0.76
EEM_TwoDayBreakout_D1_12,EEM,TwoDayBreakout_D1,2025-06-12 04:00:00+00:00,2025-06-13 04:00:00+00:00,47.74,47.115,-1.0,0.83885,no_slot,2,106.135,2.9,47.74,0.625
IEMG_MeanReversion_D1_14,IEMG,MeanReversion_D1,2025-06-16 04:00:00+00:00,2025-06-17 04:00:00+00:00,58.735,58.575,-1.0,0.5,no_slot,2,577.75,5.02,58.735,0.16
QQQ_MeanReversion_D1_16,QQQ,MeanReversion_D1,2025-06-18 04:00:00+00:00,2025-06-18 04:00:00+00:00,530.0,527.96,-1.0,0.5111,no_capital,1,530.57,4.82,530.0,2.04
IEMG_MeanReversion_D1_16,IEMG,MeanReversion_D1,2025-06-18 04:00:00+00:00,2025-06-18 04:00:00+00:00,57.95,57.86,-1.0,0.0,no_slot,2,577.19,4.9,57.95,0.09
QQQ_MeanReversion_D1_18,QQQ,MeanReversion_D1,2025-06-23 04:00:00+00:00,2025-06-23 04:00:00+00:00,526.635,524.95,-1.0,-0.4963,no_slot,2,113.335,2.09,526.635,1.685
XLP_TwoDayBreakout_D1_19,XLP,TwoDayBreakout_D1,2025-06-24 04:00:00+00:00,2025-06-25 04:00:00+00:00,81.37,80.385,-1.0,-1.0,no_slot,2,115.32,3.06,81.37,0.985
EEM_PrevDayBreakout_D1_20,EEM,PrevDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,47.9,46.16,0.2586,0.539257,no_slot,2,115.32,3.06,47.9,1.74
IEMG_PrevDayBreakout_D1_20,IEMG,PrevDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,59.515,57.39,0.2729,0.536257,no_slot,2,115.32,3.06,59.515,2.125
IEMG_TwoDayBreakout_D1_20,IEMG,TwoDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,59.515,57.39,0.2729,0.065133,no_slot,2,115.32,3.06,59.515,2.125
EEM_TwoDayBreakout_D1_20,EEM,TwoDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,47.9,46.16,0.2586,0.058067,no_slot,2,115.32,3.06,47.9,1.74
KRE_PrevDayBreakout_D1_20,KRE,PrevDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,58.32,56.19,1.4507,-0.021933,no_slot,2,115.32,3.06,58.32,2.13
IEMG_PrevDayBreakout_D1_21,IEMG,PrevDayBreakout_D1,2025-06-26 04:00:00+00:00,2025-07-02 04:00:00+00:00,59.8,58.94,0.5988,0.536257,no_slot,2,106.555,2.54,59.8,0.86
IEMG_TwoDayBreakout_D1_21,IEMG,TwoDayBreakout_D1,2025-06-26 04:00:00+00:00,2025-07-02 04:00:00+00:00,59.8,57.39,0.2137,0.065133,no_slot,2,106.555,2.54,59.8,2.41
EEM_TwoDayBreakout_D1_21,EEM,TwoDayBreakout_D1,2025-06-26 04:00:00+00:00,2025-07-02 04:00:00+00:00,48.175,46.16,0.1762,0.058067,no_slot,2,106.555,2.54,48.175,2.015
EEM_PrevDayBreakout_D1_22,EEM,PrevDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,48.075,47.83,2.0,0.539257,no_slot,2,106.555,2.54,48.075,0.245
IEMG_PrevDayBreakout_D1_22,IEMG,PrevDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,59.745,59.43,2.0,0.536257,no_slot,2,106.555,2.54,59.745,0.315
KRE_PrevDayBreakout_D1_22,KRE,PrevDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,59.68,57.87,2.0,0.266914,no_slot,2,106.555,2.54,59.68,1.81
IEMG_TwoDayBreakout_D1_22,IEMG,TwoDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,59.745,58.94,1.0807,0.065133,no_slot,2,106.555,2.54,59.745,0.805
EEM_TwoDayBreakout_D1_22,EEM,TwoDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,48.075,47.415,1.0379,0.058067,no_slot,2,106.555,2.54,48.075,0.66
XLP_TwoDayBreakout_D1_24,XLP,TwoDayBreakout_D1,2025-07-01 04:00:00+00:00,2025-07-08 04:00:00+00:00,81.11,79.98,0.2035,-1.0,no_slot,2,108.265,1.255,81.11,1.13
IEMG_PrevDayBreakout_D1_25,IEMG,PrevDayBreakout_D1,2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,59.895,59.585,2.0,0.503337,no_slot,2,108.26,0.765,59.895,0.31
KRE_PrevDayBreakout_D1_25,KRE,PrevDayBreakout_D1,2025-07-02 04:00:00+00:00,2025-07-09 04:00:00+00:00,61.68,59.43,0.64,0.434956,no_slot,2,108.26,0.765,61.68,2.25
IEMG_TwoDayBreakout_D1_25,IEMG,TwoDayBreakout_D1,2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,59.895,59.585,2.0,0.094814,no_slot,2,108.26,0.765,59.895,0.31
EEM_TwoDayBreakout_D1_25,EEM,TwoDayBreakout_D1,2025-07-02 04:00:00+00:00,2025-07-03 04:00:00+00:00,48.17,47.9,2.0,0.086714,no_slot,2,108.26,0.765,48.17,0.27
QQQ_MeanReversion_D1_25,QQQ,MeanReversion_D1,2025-07-02 04:00:00+00:00,2025-07-02 04:00:00+00:00,546.24,544.76,2.0,-0.622225,no_slot,2,108.26,0.765,546.24,1.48
XLP_TwoDayBreakout_D1_25,XLP,TwoDayBreakout_D1,2025-07-02 04:00:00+00:00,2025-07-09 04:00:00+00:00,81.93,80.17,-0.6364,-1.0,no_slot,2,108.26,0.765,81.93,1.76
EEM_PrevDayBreakout_D1_26,EEM,PrevDayBreakout_D1,2025-07-03 04:00:00+00:00,2025-07-07 04:00:00+00:00,48.59,48.2,-1.0,0.500056,no_slot,2,120.475,0.955,48.59,0.39
KRE_PrevDayBreakout_D1_26,KRE,PrevDayBreakout_D1,2025-07-03 04:00:00+00:00,2025-07-10 04:00:00+00:00,62.855,59.09,0.1846,0.434956,no_slot,2,120.475,0.955,62.855,3.765
IEMG_TwoDayBreakout_D1_26,IEMG,TwoDayBreakout_D1,2025-07-03 04:00:00+00:00,2025-07-10 04:00:00+00:00,60.385,59.585,-0.2062,0.109675,no_slot,2,120.475,0.955,60.385,0.8
EEM_TwoDayBreakout_D1_26,EEM,TwoDayBreakout_D1,2025-07-03 04:00:00+00:00,2025-07-10 04:00:00+00:00,48.59,47.9,-0.2464,0.0979,no_slot,2,120.475,0.955,48.59,0.69
EEM_PrevDayBreakout_D1_27,EEM,PrevDayBreakout_D1,2025-07-07 04:00:00+00:00,2025-07-07 04:00:00+00:00,48.28,48.13,-1.0,0.772773,no_slot,2,120.065,0.635,48.28,0.15
KRE_PrevDayBreakout_D1_27,KRE,PrevDayBreakout_D1,2025-07-07 04:00:00+00:00,2025-07-11 04:00:00+00:00,62.84,61.28,0.0385,0.59146,no_slot,2,120.065,0.635,62.84,1.56
IEMG_TwoDayBreakout_D1_27,IEMG,TwoDayBreakout_D1,2025-07-07 04:00:00+00:00,2025-07-07 04:00:00+00:00,59.975,59.835,-1.0,0.39581,no_slot,2,120.065,0.635,59.975,0.14
EEM_TwoDayBreakout_D1_27,EEM,TwoDayBreakout_D1,2025-07-07 04:00:00+00:00,2025-07-07 04:00:00+00:00,48.28,48.13,-1.0,0.38211,no_slot,2,120.065,0.635,48.28,0.15
IEMG_MeanReversion_D1_28,IEMG,MeanReversion_D1,2025-07-08 04:00:00+00:00,2025-07-14 04:00:00+00:00,60.13,59.605,0.0571,-0.25,no_slot,2,601.67,4.05,60.13,0.525
EEM_PrevDayBreakout_D1_31,EEM,PrevDayBreakout_D1,2025-07-11 04:00:00+00:00,2025-07-15 04:00:00+00:00,48.365,48.16,2.0,0.500038,no_slot,2,601.67,4.05,48.365,0.205
IEMG_PrevDayBreakout_D1_31,IEMG,PrevDayBreakout_D1,2025-07-11 04:00:00+00:00,2025-07-15 04:00:00+00:00,60.105,59.91,2.0,0.474693,no_slot,2,601.67,4.05,60.105,0.195
IEMG_TwoDayBreakout_D1_31,IEMG,TwoDayBreakout_D1,2025-07-11 04:00:00+00:00,2025-07-15 04:00:00+00:00,60.105,59.91,2.0,0.229325,no_slot,2,601.67,4.05,60.105,0.195
EEM_TwoDayBreakout_D1_31,EEM,TwoDayBreakout_D1,2025-07-11 04:00:00+00:00,2025-07-15 04:00:00+00:00,48.365,48.16,2.0,0.214558,no_slot,2,601.67,4.05,48.365,0.205
