signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
KRE_PrevDayBreakout_D1_1,KRE,PrevDayBreakout_D1,2025-05-27T00:00:00-04:00,2025-05-28 04:00:00+00:00,57.615,55.4,62.045,2025-06-03 04:00:00+00:00,57.35,time stop loss,loss,-0.1196,1.0,57.615,2.215,0.0
EEM_MeanReversion_D1_2,EEM,MeanReversion_D1,2025-05-28T00:00:00-04:00,2025-05-29 04:00:00+00:00,46.32,45.87,47.22,2025-05-30 04:00:00+00:00,45.87,SL hit,loss,-1.0,1.0,46.32,0.45,0.0
XLP_TwoDayBreakout_D1_4,XLP,TwoDayBreakout_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,82.615,81.41,85.025,2025-06-05 04:00:00+00:00,81.41,SL hit,loss,-1.0,1.0,82.615,1.205,0.0
EEM_PrevDayBreakout_D1_5,EEM,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,45.84,45.24,47.04,2025-06-09 04:00:00+00:00,47.04,TP hit,win,2.0,1.0,45.84,0.6,0.0
EEM_PrevDayBreakout_D1_7,EEM,PrevDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05 04:00:00+00:00,46.925,45.76,49.255,2025-06-11 04:00:00+00:00,47.81,time stop win,win,0.7597,1.0,46.925,1.165,0.0
KRE_PrevDayBreakout_D1_9,KRE,PrevDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09 04:00:00+00:00,58.305,56.12,62.675,2025-06-13 04:00:00+00:00,56.24,time stop loss,loss,-0.9451,1.0,58.305,2.185,-0.1196
EEM_PrevDayBreakout_D1_11,EEM,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11 04:00:00+00:00,47.83,47.115,49.26,2025-06-13 04:00:00+00:00,47.115,SL hit,loss,-1.0,1.0,47.83,0.715,1.69655
XLP_TwoDayBreakout_D1_13,XLP,TwoDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13 04:00:00+00:00,81.755,81.205,82.855,2025-06-13 04:00:00+00:00,81.205,SL hit,loss,-1.0,1.0,81.755,0.55,-1.0
QQQ_MeanReversion_D1_14,QQQ,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,530.57,525.75,540.21,2025-06-20 04:00:00+00:00,525.75,SL hit,loss,-1.0,1.0,530.57,4.82,0.5111
EEM_MeanReversion_D1_14,EEM,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,47.18,46.98,47.58,2025-06-17 04:00:00+00:00,46.98,SL hit,loss,-1.0,1.0,47.18,0.2,0.5
