signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
KRE_PrevDayBreakout_D1_1,KRE,PrevDayBreakout_D1,2025-05-27T00:00:00-04:00,2025-05-28 04:00:00+00:00,57.615,55.4,62.045,2025-06-03 04:00:00+00:00,57.35,time stop loss,loss,-0.1196,0.25,14.4038,0.5538,0.0
EEM_MeanReversion_D1_2,EEM,MeanReversion_D1,2025-05-28T00:00:00-04:00,2025-05-29 04:00:00+00:00,46.32,45.87,47.22,2025-05-30 04:00:00+00:00,45.87,SL hit,loss,-1.0,0.25,11.58,0.1125,0.0
IEMG_MeanReversion_D1_2,IEMG,MeanReversion_D1,2025-05-28T00:00:00-04:00,2025-05-29 04:00:00+00:00,57.615,57.11,58.625,2025-05-30 04:00:00+00:00,57.11,SL hit,loss,-1.0,0.25,14.4038,0.1263,0.0
XLP_TwoDayBreakout_D1_4,XLP,TwoDayBreakout_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,82.615,81.41,85.025,2025-06-05 04:00:00+00:00,81.41,SL hit,loss,-1.0,0.25,20.6537,0.3012,0.0
EEM_MeanReversion_D1_4,EEM,MeanReversion_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,45.69,45.24,46.59,2025-06-05 04:00:00+00:00,46.59,TP hit,win,2.0,0.25,11.4225,0.1125,-1.0
EEM_PrevDayBreakout_D1_5,EEM,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,45.84,45.24,47.04,2025-06-09 04:00:00+00:00,47.04,TP hit,win,2.0,0.25,11.46,0.15,0.0
EEM_PrevDayBreakout_D1_7,EEM,PrevDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05 04:00:00+00:00,46.925,45.76,49.255,2025-06-11 04:00:00+00:00,47.81,time stop win,win,0.7597,0.25,11.7312,0.2912,0.0
EEM_TwoDayBreakout_D1_7,EEM,TwoDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05 04:00:00+00:00,46.925,45.53,49.715,2025-06-11 04:00:00+00:00,47.81,time stop win,win,0.6344,0.25,11.7312,0.3487,0.0
KRE_PrevDayBreakout_D1_9,KRE,PrevDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09 04:00:00+00:00,58.305,56.12,62.675,2025-06-13 04:00:00+00:00,56.24,time stop loss,loss,-0.9451,0.25,14.5762,0.5463,-0.1196
EEM_PrevDayBreakout_D1_11,EEM,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11 04:00:00+00:00,47.83,47.115,49.26,2025-06-13 04:00:00+00:00,47.115,SL hit,loss,-1.0,0.25,11.9575,0.1787,1.69655
IEMG_PrevDayBreakout_D1_11,IEMG,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11 04:00:00+00:00,59.605,58.72,61.375,2025-06-13 04:00:00+00:00,58.72,SL hit,loss,-1.0,0.25,14.9012,0.2212,1.6797
XLP_TwoDayBreakout_D1_13,XLP,TwoDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13 04:00:00+00:00,81.755,81.205,82.855,2025-06-13 04:00:00+00:00,81.205,SL hit,loss,-1.0,0.25,20.4387,0.1375,-1.0
QQQ_MeanReversion_D1_14,QQQ,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,530.57,525.75,540.21,2025-06-20 04:00:00+00:00,525.75,SL hit,loss,-1.0,0.25,132.6425,1.205,0.5111
EEM_MeanReversion_D1_14,EEM,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,47.18,46.98,47.58,2025-06-17 04:00:00+00:00,46.98,SL hit,loss,-1.0,0.25,11.795,0.05,0.5
IEMG_MeanReversion_D1_14,IEMG,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16 04:00:00+00:00,58.735,58.575,59.055,2025-06-17 04:00:00+00:00,58.575,SL hit,loss,-1.0,0.25,14.6837,0.04,0.5
