signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
IEMG_MeanReversion_D1_4,IEMG,MeanReversion_D1,2025-06-02 04:00:00+00:00,2025-06-05 04:00:00+00:00,56.945,56.39,2.0,-1.0,no_slot,3,92.96,1.935,28.4725,0.2775
IEMG_PrevDayBreakout_D1_5,IEMG,PrevDayBreakout_D1,2025-06-03 04:00:00+00:00,2025-06-05 04:00:00+00:00,57.08,56.39,2.0,0.0,no_slot,3,87.0725,1.1275,28.54,0.345
EEM_PrevDayBreakout_D1_6,EEM,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,46.395,45.53,1.3931,0.0,no_slot,3,87.0725,1.1275,23.1975,0.4325
EEM_TwoDayBreakout_D1_6,EEM,TwoDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,46.395,45.24,1.0433,0.0,no_slot,3,87.0725,1.1275,23.1975,0.5775
IEMG_PrevDayBreakout_D1_6,IEMG,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,57.835,56.75,1.3594,0.0,no_slot,3,87.0725,1.1275,28.9175,0.5425
IEMG_TwoDayBreakout_D1_6,IEMG,TwoDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,57.835,56.39,1.0208,0.0,no_slot,3,87.0725,1.1275,28.9175,0.7225
KRE_PrevDayBreakout_D1_6,KRE,PrevDayBreakout_D1,2025-06-04 04:00:00+00:00,2025-06-10 04:00:00+00:00,57.33,55.61,0.9331,-0.1196,no_slot,3,87.0725,1.1275,28.665,0.86
IEMG_PrevDayBreakout_D1_7,IEMG,PrevDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,58.36,57.06,0.9538,0.0,no_slot,3,69.845,1.58,29.18,0.65
IEMG_TwoDayBreakout_D1_7,IEMG,TwoDayBreakout_D1,2025-06-05 04:00:00+00:00,2025-06-11 04:00:00+00:00,58.36,56.75,0.7702,0.0,no_slot,3,69.845,1.58,29.18,0.805
IEMG_PrevDayBreakout_D1_8,IEMG,PrevDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-11 04:00:00+00:00,58.295,57.77,2.0,2.0,no_slot,3,69.845,1.58,29.1475,0.2625
EEM_PrevDayBreakout_D1_8,EEM,PrevDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-11 04:00:00+00:00,46.81,46.36,2.0,0.0,no_slot,3,69.845,1.58,23.405,0.225
EEM_TwoDayBreakout_D1_8,EEM,TwoDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-12 04:00:00+00:00,46.81,45.76,1.019,0.0,no_slot,3,69.845,1.58,23.405,0.525
IEMG_TwoDayBreakout_D1_8,IEMG,TwoDayBreakout_D1,2025-06-06 04:00:00+00:00,2025-06-12 04:00:00+00:00,58.295,57.06,1.1134,0.0,no_slot,3,69.845,1.58,29.1475,0.6175
QQQ_MeanReversion_D1_8,QQQ,MeanReversion_D1,2025-06-06 04:00:00+00:00,2025-06-12 04:00:00+00:00,529.95,522.75,0.5111,0.0,no_slot,3,69.845,1.58,264.975,3.6
EEM_PrevDayBreakout_D1_10,EEM,PrevDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,47.54,46.72,-0.378,2.0,no_slot,3,76.0775,2.3725,23.77,0.41
IEMG_PrevDayBreakout_D1_10,IEMG,PrevDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,59.24,58.23,-0.5594,2.0,no_slot,3,76.0775,2.3725,29.62,0.505
EEM_TwoDayBreakout_D1_10,EEM,TwoDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,47.54,46.65,-0.3483,0.0,no_slot,3,76.0775,2.3725,23.77,0.445
IEMG_TwoDayBreakout_D1_10,IEMG,TwoDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-16 04:00:00+00:00,59.24,58.14,-0.5136,0.0,no_slot,3,76.0775,2.3725,29.62,0.55
KRE_PrevDayBreakout_D1_10,KRE,PrevDayBreakout_D1,2025-06-10 04:00:00+00:00,2025-06-12 04:00:00+00:00,58.41,57.295,-1.0,-0.1196,no_slot,3,76.0775,2.3725,29.205,0.5575
EEM_TwoDayBreakout_D1_11,EEM,TwoDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-17 04:00:00+00:00,47.83,46.72,-1.0,1.0433,no_slot,3,82.87,1.8925,23.915,0.555
IEMG_TwoDayBreakout_D1_11,IEMG,TwoDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-17 04:00:00+00:00,59.605,58.23,-1.0,1.0208,no_slot,3,82.87,1.8925,29.8025,0.6875
KRE_PrevDayBreakout_D1_11,KRE,PrevDayBreakout_D1,2025-06-11 04:00:00+00:00,2025-06-11 04:00:00+00:00,59.13,58.11,-1.0,0.40675,no_slot,3,82.87,1.8925,29.565,0.51
IEMG_PrevDayBreakout_D1_12,IEMG,PrevDayBreakout_D1,2025-06-12 04:00:00+00:00,2025-06-13 04:00:00+00:00,59.48,59.02,-1.0,1.5783,no_slot,3,82.87,1.8925,29.74,0.23
EEM_PrevDayBreakout_D1_12,EEM,PrevDayBreakout_D1,2025-06-12 04:00:00+00:00,2025-06-13 04:00:00+00:00,47.74,47.35,-1.0,1.5382,no_slot,3,82.87,1.8925,23.87,0.195
IEMG_TwoDayBreakout_D1_12,IEMG,TwoDayBreakout_D1,2025-06-12 04:00:00+00:00,2025-06-13 04:00:00+00:00,59.48,58.72,-1.0,0.8955,no_slot,3,82.87,1.8925,29.74,0.38
EEM_TwoDayBreakout_D1_12,EEM,TwoDayBreakout_D1,2025-06-12 04:00:00+00:00,2025-06-13 04:00:00+00:00,47.74,47.115,-1.0,0.83885,no_slot,3,82.87,1.8925,23.87,0.3125
IEMG_MeanReversion_D1_16,IEMG,MeanReversion_D1,2025-06-18 04:00:00+00:00,2025-06-18 04:00:00+00:00,57.95,57.86,-1.0,0.0,no_slot,3,553.595,3.47,28.975,0.045
IEMG_PrevDayBreakout_D1_20,IEMG,PrevDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,59.515,57.39,0.2729,0.536257,no_slot,3,81.61,2.4,29.7575,1.0625
IEMG_TwoDayBreakout_D1_20,IEMG,TwoDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,59.515,57.39,0.2729,0.065133,no_slot,3,81.61,2.4,29.7575,1.0625
EEM_TwoDayBreakout_D1_20,EEM,TwoDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,47.9,46.16,0.2586,0.058067,no_slot,3,81.61,2.4,23.95,0.87
KRE_PrevDayBreakout_D1_20,KRE,PrevDayBreakout_D1,2025-06-25 04:00:00+00:00,2025-07-01 04:00:00+00:00,58.32,56.19,1.4507,-0.021933,no_slot,3,81.61,2.4,29.16,1.065
IEMG_PrevDayBreakout_D1_21,IEMG,PrevDayBreakout_D1,2025-06-26 04:00:00+00:00,2025-07-02 04:00:00+00:00,59.8,58.94,0.5988,0.536257,no_slot,3,77.2275,2.14,29.9,0.43
IEMG_TwoDayBreakout_D1_21,IEMG,TwoDayBreakout_D1,2025-06-26 04:00:00+00:00,2025-07-02 04:00:00+00:00,59.8,57.39,0.2137,0.065133,no_slot,3,77.2275,2.14,29.9,1.205
EEM_TwoDayBreakout_D1_21,EEM,TwoDayBreakout_D1,2025-06-26 04:00:00+00:00,2025-07-02 04:00:00+00:00,48.175,46.16,0.1762,0.058067,no_slot,3,77.2275,2.14,24.0875,1.0075
EEM_PrevDayBreakout_D1_22,EEM,PrevDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,48.075,47.83,2.0,0.539257,no_slot,3,77.2275,2.14,24.0375,0.1225
IEMG_PrevDayBreakout_D1_22,IEMG,PrevDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,59.745,59.43,2.0,0.536257,no_slot,3,77.2275,2.14,29.8725,0.1575
KRE_PrevDayBreakout_D1_22,KRE,PrevDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,59.68,57.87,2.0,0.266914,no_slot,3,77.2275,2.14,29.84,0.905
IEMG_TwoDayBreakout_D1_22,IEMG,TwoDayBreakout_D1,2025-06-27 04:00:00+00:00,2025-07-03 04:00:00+00:00,59.745,58.94,1.0807,0.065133,no_slot,3,77.2275,2.14,29.8725,0.4025
