symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
EEM,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,46.395,45.24,48.705,2025-06-10T00:00:00-04:00,47.6,time stop win,1.0433,win
EEM,TwoDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05T00:00:00-04:00,46.925,45.53,49.715,2025-06-11T00:00:00-04:00,47.81,time stop win,0.6344,win
EEM,TwoDayBreakout_D1,2025-06-05T00:00:00-04:00,2025-06-06T00:00:00-04:00,46.81,45.76,48.91,2025-06-12T00:00:00-04:00,47.88,time stop win,1.019,win
EEM,TwoDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,47.54,46.65,49.32,2025-06-16T00:00:00-04:00,47.23,time stop loss,-0.3483,loss
EEM,TwoDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,47.83,46.72,50.05,2025-06-17T00:00:00-04:00,46.72,SL hit,-1.0,loss
EEM,TwoDayBreakout_D1,2025-06-11T00:00:00-04:00,2025-06-12T00:00:00-04:00,47.74,47.115,48.99,2025-06-13T00:00:00-04:00,47.115,SL hit,-1.0,loss
EEM,TwoDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,47.9,46.16,51.38,2025-07-01T00:00:00-04:00,48.35,time stop win,0.2586,win
EEM,TwoDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,48.175,46.16,52.205,2025-07-02T00:00:00-04:00,48.53,time stop win,0.1762,win
EEM,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,48.075,47.415,49.395,2025-07-03T00:00:00-04:00,48.76,time stop win,1.0379,win
EEM,TwoDayBreakout_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,48.17,47.9,48.71,2025-07-03T00:00:00-04:00,48.71,TP hit,2.0,win
EEM,TwoDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,48.59,47.9,49.97,2025-07-10T00:00:00-04:00,48.42,time stop loss,-0.2464,loss
EEM,TwoDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,48.28,48.13,48.58,2025-07-07T00:00:00-04:00,48.13,SL hit,-1.0,loss
EEM,TwoDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,48.365,48.16,48.775,2025-07-15T00:00:00-04:00,48.775,TP hit,2.0,win
EEM,TwoDayBreakout_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,48.67,48.21,49.59,2025-07-21T00:00:00-04:00,49.59,TP hit,2.0,win
EEM,TwoDayBreakout_D1,2025-07-16T00:00:00-04:00,2025-07-17T00:00:00-04:00,48.85,48.21,50.13,2025-07-23T00:00:00-04:00,49.945,time stop win,1.7109,win
EEM,TwoDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,49.33,48.475,51.04,2025-07-24T00:00:00-04:00,49.66,time stop win,0.386,win
EEM,TwoDayBreakout_D1,2025-07-23T00:00:00-04:00,2025-07-24T00:00:00-04:00,49.78,49.05,51.24,2025-07-30T00:00:00-04:00,49.05,SL hit,-1.0,loss
EEM,TwoDayBreakout_D1,2025-08-05T00:00:00-04:00,2025-08-06T00:00:00-04:00,48.9,47.99,50.72,2025-08-12T00:00:00-04:00,49.91,time stop win,1.1099,win
EEM,TwoDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,49.6,48.56,51.68,2025-08-13T00:00:00-04:00,50.51,time stop win,0.875,win
