symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWD,MeanReversion_D1,2025-06-05T00:00:00-04:00,2025-06-06T00:00:00-04:00,190.5,188.41,194.68,2025-06-12T00:00:00-04:00,191.71,time stop win,0.5789,win
IWD,MeanReversion_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,190.405,189.41,192.395,2025-06-17T00:00:00-04:00,189.41,SL hit,-1.0,loss
IWD,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,188.78,188.63,189.08,2025-06-18T00:00:00-04:00,189.08,TP hit,2.0,win
IWD,MeanReversion_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,192.16,191.325,193.83,2025-06-27T00:00:00-04:00,193.83,TP hit,2.0,win
IWD,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,195.7,195.04,197.02,2025-07-10T00:00:00-04:00,197.02,TP hit,2.0,win
IWD,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,194.695,194.09,195.905,2025-07-16T00:00:00-04:00,194.09,SL hit,-1.0,loss
IWD,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,196.735,196.21,197.785,2025-07-31T00:00:00-04:00,196.21,SL hit,-1.0,loss
IWD,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,193.74,191.81,197.6,2025-08-08T00:00:00-04:00,195.56,time stop win,0.943,win
IWD,MeanReversion_D1,2025-08-18T00:00:00-04:00,2025-08-19T00:00:00-04:00,198.39,198.11,198.95,2025-08-19T00:00:00-04:00,198.95,TP hit,2.0,win
IWD,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,200.635,199.23,203.445,2025-09-09T00:00:00-04:00,201.7,time stop win,0.758,win
IWD,MeanReversion_D1,2025-09-16T00:00:00-04:00,2025-09-17T00:00:00-04:00,201.95,200.99,203.87,2025-09-17T00:00:00-04:00,200.99,SL hit,-1.0,loss
IWD,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,202.39,200.545,206.08,2025-10-02T00:00:00-04:00,204.05,time stop win,0.8997,win
IWD,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,204.485,204.15,205.155,2025-10-08T00:00:00-04:00,204.15,SL hit,-1.0,loss
IWD,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,204.03,203.315,205.46,2025-10-10T00:00:00-04:00,203.315,SL hit,-1.0,loss
IWD,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,201.15,199.425,204.6,2025-10-15T00:00:00-04:00,204.6,TP hit,2.0,win
IWD,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,201.84,201.23,203.06,2025-10-17T00:00:00-04:00,203.06,TP hit,2.0,win
