symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IEMG,MeanReversion_D1,2025-10-07T00:00:00-04:00,2025-10-08T00:00:00-04:00,66.85,66.685,67.18,2025-10-08T00:00:00-04:00,67.18,TP hit,2.0,win
IEMG,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,66.65,66.465,67.02,2025-10-10T00:00:00-04:00,66.465,SL hit,-1.0,loss
IEMG,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,65.985,64.075,69.805,2025-10-17T00:00:00-04:00,66.925,time stop win,0.4921,win
IEMG,MeanReversion_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,66.53,64.91,69.77,2025-10-21T00:00:00-04:00,67.08,time stop win,0.3395,win
IEMG,MeanReversion_D1,2025-10-21T00:00:00-04:00,2025-10-22T00:00:00-04:00,67.25,67.08,67.59,2025-10-22T00:00:00-04:00,67.08,SL hit,-1.0,loss
IEMG,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,67.31,66.755,68.42,2025-10-27T00:00:00-04:00,68.42,TP hit,2.0,win
IEMG,MeanReversion_D1,2025-11-04T00:00:00-05:00,2025-11-05T00:00:00-05:00,67.48,67.46,67.52,2025-11-05T00:00:00-05:00,67.46,SL hit,-1.0,loss
IEMG,MeanReversion_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,68.175,66.475,71.575,2025-11-14T00:00:00-05:00,67.84,time stop loss,-0.1971,loss
IEMG,MeanReversion_D1,2025-11-18T00:00:00-05:00,2025-11-19T00:00:00-05:00,66.415,66.28,66.685,2025-11-19T00:00:00-05:00,66.28,SL hit,-1.0,loss
IEMG,MeanReversion_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,65.6,64.73,67.34,2025-12-01T00:00:00-05:00,67.02,time stop win,1.6322,win
IEMG,MeanReversion_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,67.325,66.72,68.535,2025-12-16T00:00:00-05:00,66.72,SL hit,-1.0,loss
IEMG,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,65.485,64.915,66.625,2025-12-17T00:00:00-05:00,64.915,SL hit,-1.0,loss
IEMG,MeanReversion_D1,2025-12-17T00:00:00-05:00,2025-12-18T00:00:00-05:00,65.48,64.68,67.08,2025-12-24T00:00:00-05:00,66.93,time stop win,1.8125,win
IEMG,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,68.59,67.22,71.33,2026-01-08T00:00:00-05:00,69.76,time stop win,0.854,win
IEMG,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,71.095,70.275,72.735,2026-01-26T00:00:00-05:00,72.735,TP hit,2.0,win
IEMG,MeanReversion_D1,2026-02-05T00:00:00-05:00,2026-02-06T00:00:00-05:00,72.695,71.56,74.965,2026-02-11T00:00:00-05:00,74.965,TP hit,2.0,win
