symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IWM,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,209.26,202.67,222.44,2025-06-10T00:00:00-04:00,214.51,time stop win,0.7967,win
IWM,PrevDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09T00:00:00-04:00,213.875,207.03,227.565,2025-06-13T00:00:00-04:00,208.92,time stop loss,-0.7239,loss
IWM,PrevDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,214.52,210.63,222.3,2025-06-13T00:00:00-04:00,210.63,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,215.48,212.58,221.28,2025-06-12T00:00:00-04:00,212.58,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24T00:00:00-04:00,213.32,208.47,223.02,2025-06-30T00:00:00-04:00,215.84,time stop win,0.5196,win
IWM,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,214.71,206.83,230.47,2025-07-01T00:00:00-04:00,218.02,time stop win,0.4201,win
IWM,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,216.04,211.895,224.33,2025-07-03T00:00:00-04:00,222.97,time stop win,1.6719,win
IWM,PrevDayBreakout_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,218.23,215.41,223.87,2025-07-09T00:00:00-04:00,223.64,time stop win,1.9184,win
IWM,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,222.02,214.16,237.74,2025-07-10T00:00:00-04:00,224.78,time stop win,0.3511,win
IWM,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,221.55,217.38,229.89,2025-07-11T00:00:00-04:00,221.75,time stop win,0.048,win
IWM,PrevDayBreakout_D1,2025-07-09T00:00:00-04:00,2025-07-10T00:00:00-04:00,223.375,220.35,229.425,2025-07-15T00:00:00-04:00,220.35,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,223.18,221.12,227.3,2025-07-14T00:00:00-04:00,221.12,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,225.26,216.925,241.93,2025-07-24T00:00:00-04:00,223.595,time stop loss,-0.1998,loss
IWM,PrevDayBreakout_D1,2025-07-23T00:00:00-04:00,2025-07-24T00:00:00-04:00,225.56,220.68,235.32,2025-07-30T00:00:00-04:00,220.68,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,220.51,212.375,236.78,2025-08-11T00:00:00-04:00,220.27,time stop loss,-0.0295,loss
IWM,PrevDayBreakout_D1,2025-08-05T00:00:00-04:00,2025-08-06T00:00:00-04:00,220.96,216.1,230.68,2025-08-12T00:00:00-04:00,226.775,time stop win,1.1965,win
IWM,PrevDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,228.325,219.81,245.355,2025-08-19T00:00:00-04:00,226.21,time stop loss,-0.2484,loss
IWM,PrevDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,228.43,221.17,242.95,2025-08-20T00:00:00-04:00,225.4,time stop loss,-0.4174,loss
IWM,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,234.105,223.85,254.615,2025-08-29T00:00:00-04:00,235.18,time stop win,0.1048,win
IWM,PrevDayBreakout_D1,2025-08-27T00:00:00-04:00,2025-08-28T00:00:00-04:00,236.87,232.63,245.35,2025-09-02T00:00:00-04:00,232.63,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,236.765,233.565,243.165,2025-09-02T00:00:00-04:00,233.565,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-09-04T00:00:00-04:00,2025-09-05T00:00:00-04:00,237.755,232.48,248.305,2025-09-11T00:00:00-04:00,240.77,time stop win,0.5716,win
IWM,PrevDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,238.51,233.68,248.17,2025-09-12T00:00:00-04:00,238.34,time stop loss,-0.0352,loss
IWM,PrevDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,240.205,235.5,249.615,2025-09-18T00:00:00-04:00,244.8,time stop win,0.9766,win
IWM,PrevDayBreakout_D1,2025-09-17T00:00:00-04:00,2025-09-18T00:00:00-04:00,240.795,236.77,248.845,2025-09-24T00:00:00-04:00,241.62,time stop win,0.205,win
IWM,PrevDayBreakout_D1,2025-09-18T00:00:00-04:00,2025-09-19T00:00:00-04:00,245.53,237.05,262.49,2025-09-25T00:00:00-04:00,239.305,time stop loss,-0.7341,loss
IWM,PrevDayBreakout_D1,2025-09-26T00:00:00-04:00,2025-09-29T00:00:00-04:00,242.83,237.615,253.26,2025-10-03T00:00:00-04:00,245.875,time stop win,0.5839,win
IWM,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,243.01,239.4,250.23,2025-10-08T00:00:00-04:00,246.66,time stop win,1.0111,win
IWM,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,245.33,240.555,254.88,2025-10-09T00:00:00-04:00,245.13,time stop loss,-0.0419,loss
IWM,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,247.725,241.475,260.225,2025-10-10T00:00:00-04:00,241.475,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,250.41,241.425,268.38,2025-10-21T00:00:00-04:00,246.97,time stop loss,-0.3829,loss
IWM,PrevDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,250.97,240.42,272.07,2025-10-22T00:00:00-04:00,243.43,time stop loss,-0.7147,loss
IWM,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,247.44,241.5,259.32,2025-10-22T00:00:00-04:00,241.5,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-10-24T00:00:00-04:00,2025-10-27T00:00:00-04:00,251.785,243.71,267.935,2025-10-31T00:00:00-04:00,246.27,time stop loss,-0.683,loss
IWM,PrevDayBreakout_D1,2025-11-05T00:00:00-05:00,2025-11-06T00:00:00-05:00,244.215,241.0,250.645,2025-11-06T00:00:00-05:00,241.0,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,243.375,236.28,257.565,2025-11-13T00:00:00-05:00,236.28,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,240.735,229.63,262.945,2025-12-02T00:00:00-05:00,245.19,time stop win,0.4012,win
IWM,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,245.13,235.5,264.39,2025-12-03T00:00:00-05:00,249.64,time stop win,0.4683,win
IWM,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,247.96,240.045,263.79,2025-12-04T00:00:00-05:00,251.81,time stop win,0.4864,win
IWM,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,249.02,245.125,256.81,2025-12-10T00:00:00-05:00,254.84,time stop win,1.4942,win
IWM,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,251.52,245.52,263.52,2025-12-11T00:00:00-05:00,257.78,time stop win,1.0433,win
IWM,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,254.63,250.105,263.68,2025-12-16T00:00:00-05:00,250.105,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,258.02,250.54,272.98,2025-12-16T00:00:00-05:00,250.54,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,252.41,249.09,259.05,2025-12-30T00:00:00-05:00,249.09,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,249.785,246.01,257.335,2026-01-08T00:00:00-05:00,257.335,TP hit,2.0,win
IWM,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,252.305,245.865,265.185,2026-01-12T00:00:00-05:00,261.5,time stop win,1.4278,win
IWM,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,256.345,249.58,269.875,2026-01-13T00:00:00-05:00,261.355,time stop win,0.7406,win
IWM,PrevDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,259.54,253.985,270.65,2026-01-15T00:00:00-05:00,265.48,time stop win,1.0693,win
IWM,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,259.23,254.45,268.79,2026-01-16T00:00:00-05:00,265.75,time stop win,1.364,win
IWM,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,264.07,260.47,271.27,2026-01-22T00:00:00-05:00,271.27,TP hit,2.0,win
IWM,PrevDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,265.8,260.215,276.97,2026-01-23T00:00:00-05:00,264.8,time stop loss,-0.1791,loss
IWM,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,269.775,261.09,287.145,2026-01-28T00:00:00-05:00,263.265,time stop loss,-0.7496,loss
IWM,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,268.995,262.95,281.085,2026-01-27T00:00:00-05:00,262.95,SL hit,-1.0,loss
IWM,PrevDayBreakout_D1,2026-02-06T00:00:00-05:00,2026-02-09T00:00:00-05:00,264.8,255.05,284.3,2026-02-13T00:00:00-05:00,262.93,time stop loss,-0.1918,loss
IWM,PrevDayBreakout_D1,2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,267.225,259.6,282.475,2026-02-12T00:00:00-05:00,259.6,SL hit,-1.0,loss
