symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
VTV,MeanReversion_D1,2025-06-05T00:00:00-04:00,2025-06-06T00:00:00-04:00,172.82,171.01,176.44,2025-06-12T00:00:00-04:00,174.75,time stop win,1.0663,win
VTV,MeanReversion_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,172.815,172.64,173.165,2025-06-18T00:00:00-04:00,173.165,TP hit,2.0,win
VTV,MeanReversion_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,175.37,174.81,176.49,2025-06-27T00:00:00-04:00,176.49,TP hit,2.0,win
VTV,MeanReversion_D1,2025-07-07T00:00:00-04:00,2025-07-08T00:00:00-04:00,177.88,177.73,178.18,2025-07-08T00:00:00-04:00,178.18,TP hit,2.0,win
VTV,MeanReversion_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,176.635,176.185,177.535,2025-07-16T00:00:00-04:00,176.185,SL hit,-1.0,loss
VTV,MeanReversion_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,177.43,177.36,177.57,2025-07-22T00:00:00-04:00,177.57,TP hit,2.0,win
VTV,MeanReversion_D1,2025-07-30T00:00:00-04:00,2025-07-31T00:00:00-04:00,178.29,177.865,179.14,2025-07-31T00:00:00-04:00,177.865,SL hit,-1.0,loss
VTV,MeanReversion_D1,2025-08-01T00:00:00-04:00,2025-08-04T00:00:00-04:00,176.21,174.41,179.81,2025-08-08T00:00:00-04:00,177.92,time stop win,0.95,win
VTV,MeanReversion_D1,2025-09-02T00:00:00-04:00,2025-09-03T00:00:00-04:00,181.92,181.125,183.51,2025-09-03T00:00:00-04:00,181.125,SL hit,-1.0,loss
VTV,MeanReversion_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,184.85,184.405,185.74,2025-09-16T00:00:00-04:00,184.405,SL hit,-1.0,loss
VTV,MeanReversion_D1,2025-09-16T00:00:00-04:00,2025-09-17T00:00:00-04:00,184.98,183.98,186.98,2025-09-23T00:00:00-04:00,186.98,TP hit,2.0,win
VTV,MeanReversion_D1,2025-09-25T00:00:00-04:00,2025-09-26T00:00:00-04:00,185.61,184.52,187.79,2025-10-02T00:00:00-04:00,186.545,time stop win,0.8578,win
VTV,MeanReversion_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,186.445,185.75,187.835,2025-10-10T00:00:00-04:00,185.75,SL hit,-1.0,loss
VTV,MeanReversion_D1,2025-10-10T00:00:00-04:00,2025-10-13T00:00:00-04:00,183.84,182.83,185.86,2025-10-14T00:00:00-04:00,185.86,TP hit,2.0,win
VTV,MeanReversion_D1,2025-10-16T00:00:00-04:00,2025-10-17T00:00:00-04:00,184.955,184.23,186.405,2025-10-20T00:00:00-04:00,186.405,TP hit,2.0,win
VTV,MeanReversion_D1,2025-10-22T00:00:00-04:00,2025-10-23T00:00:00-04:00,186.875,185.95,188.725,2025-10-27T00:00:00-04:00,188.725,TP hit,2.0,win
VTV,MeanReversion_D1,2025-11-14T00:00:00-05:00,2025-11-17T00:00:00-05:00,186.905,186.15,188.415,2025-11-17T00:00:00-05:00,186.15,SL hit,-1.0,loss
VTV,MeanReversion_D1,2025-11-20T00:00:00-05:00,2025-11-21T00:00:00-05:00,183.645,182.85,185.235,2025-11-21T00:00:00-05:00,185.235,TP hit,2.0,win
VTV,MeanReversion_D1,2025-12-01T00:00:00-05:00,2025-12-02T00:00:00-05:00,189.25,189.04,189.67,2025-12-02T00:00:00-05:00,189.04,SL hit,-1.0,loss
VTV,MeanReversion_D1,2025-12-02T00:00:00-05:00,2025-12-03T00:00:00-05:00,189.32,188.29,191.38,2025-12-09T00:00:00-05:00,188.92,time stop loss,-0.3883,loss
VTV,MeanReversion_D1,2025-12-08T00:00:00-05:00,2025-12-09T00:00:00-05:00,190.01,189.18,191.67,2025-12-09T00:00:00-05:00,189.18,SL hit,-1.0,loss
VTV,MeanReversion_D1,2025-12-09T00:00:00-05:00,2025-12-10T00:00:00-05:00,189.205,188.87,189.875,2025-12-10T00:00:00-05:00,189.875,TP hit,2.0,win
VTV,MeanReversion_D1,2025-12-16T00:00:00-05:00,2025-12-17T00:00:00-05:00,191.51,190.89,192.75,2025-12-17T00:00:00-05:00,190.89,SL hit,-1.0,loss
VTV,MeanReversion_D1,2025-12-31T00:00:00-05:00,2026-01-02T00:00:00-05:00,191.41,190.975,192.28,2026-01-02T00:00:00-05:00,190.975,SL hit,-1.0,loss
VTV,MeanReversion_D1,2026-01-07T00:00:00-05:00,2026-01-08T00:00:00-05:00,194.0,193.83,194.34,2026-01-08T00:00:00-05:00,194.34,TP hit,2.0,win
VTV,MeanReversion_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,197.045,195.375,200.385,2026-01-27T00:00:00-05:00,198.22,time stop win,0.7036,win
VTV,MeanReversion_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,198.18,196.87,200.8,2026-01-30T00:00:00-05:00,199.79,time stop win,1.229,win
VTV,MeanReversion_D1,2026-02-05T00:00:00-05:00,2026-02-06T00:00:00-05:00,203.76,202.02,207.24,2026-02-11T00:00:00-05:00,207.24,TP hit,2.0,win
VTV,MeanReversion_D1,2026-02-12T00:00:00-05:00,2026-02-13T00:00:00-05:00,204.56,204.49,204.7,2026-02-13T00:00:00-05:00,204.49,SL hit,-1.0,loss
