symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLP,TwoDayBreakout_D1,2025-05-30T00:00:00-04:00,2025-06-02T00:00:00-04:00,82.615,81.41,85.025,2025-06-05T00:00:00-04:00,81.41,SL hit,-1.0,loss
XLP,TwoDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13T00:00:00-04:00,81.755,81.205,82.855,2025-06-13T00:00:00-04:00,81.205,SL hit,-1.0,loss
XLP,TwoDayBreakout_D1,2025-06-23T00:00:00-04:00,2025-06-24T00:00:00-04:00,81.37,80.385,83.34,2025-06-25T00:00:00-04:00,80.385,SL hit,-1.0,loss
XLP,TwoDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,81.11,79.98,83.37,2025-07-08T00:00:00-04:00,81.34,time stop win,0.2035,win
XLP,TwoDayBreakout_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,81.93,80.17,85.45,2025-07-09T00:00:00-04:00,80.81,time stop loss,-0.6364,loss
XLP,TwoDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,81.135,79.69,84.025,2025-07-24T00:00:00-04:00,81.35,time stop win,0.1488,win
XLP,TwoDayBreakout_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,81.59,80.8,83.17,2025-07-28T00:00:00-04:00,80.8,SL hit,-1.0,loss
XLP,TwoDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,81.8,80.145,85.11,2025-08-13T00:00:00-04:00,82.61,time stop win,0.4894,win
XLP,TwoDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,82.32,80.355,86.25,2025-08-14T00:00:00-04:00,81.905,time stop loss,-0.2112,loss
XLP,TwoDayBreakout_D1,2025-08-08T00:00:00-04:00,2025-08-11T00:00:00-04:00,82.6,80.51,86.78,2025-08-15T00:00:00-04:00,82.01,time stop loss,-0.2823,loss
XLP,TwoDayBreakout_D1,2025-08-19T00:00:00-04:00,2025-08-20T00:00:00-04:00,82.71,81.65,84.83,2025-08-25T00:00:00-04:00,81.65,SL hit,-1.0,loss
XLP,TwoDayBreakout_D1,2025-08-20T00:00:00-04:00,2025-08-21T00:00:00-04:00,82.58,81.865,84.01,2025-08-25T00:00:00-04:00,81.865,SL hit,-1.0,loss
XLP,TwoDayBreakout_D1,2025-09-30T00:00:00-04:00,2025-10-01T00:00:00-04:00,78.33,77.51,79.97,2025-10-06T00:00:00-04:00,77.51,SL hit,-1.0,loss
XLP,TwoDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,79.045,77.44,82.255,2025-10-21T00:00:00-04:00,79.29,time stop win,0.1526,win
XLP,TwoDayBreakout_D1,2025-10-15T00:00:00-04:00,2025-10-16T00:00:00-04:00,79.445,77.44,83.455,2025-10-22T00:00:00-04:00,79.75,time stop win,0.1521,win
XLP,TwoDayBreakout_D1,2025-11-07T00:00:00-05:00,2025-11-10T00:00:00-05:00,76.525,75.16,79.255,2025-11-14T00:00:00-05:00,77.26,time stop win,0.5385,win
XLP,TwoDayBreakout_D1,2025-11-11T00:00:00-05:00,2025-11-12T00:00:00-05:00,77.425,75.92,80.435,2025-11-18T00:00:00-05:00,77.105,time stop loss,-0.2126,loss
XLP,TwoDayBreakout_D1,2025-11-21T00:00:00-05:00,2025-11-24T00:00:00-05:00,77.8,76.23,80.94,2025-12-01T00:00:00-05:00,79.225,time stop win,0.9076,win
XLP,TwoDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,78.85,76.895,82.76,2025-12-04T00:00:00-05:00,78.455,time stop loss,-0.202,loss
XLP,TwoDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,79.215,77.21,83.225,2025-12-05T00:00:00-05:00,78.455,time stop loss,-0.3791,loss
XLP,TwoDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,78.955,77.655,81.555,2025-12-18T00:00:00-05:00,79.18,time stop win,0.1731,win
XLP,TwoDayBreakout_D1,2025-12-12T00:00:00-05:00,2025-12-15T00:00:00-05:00,79.7,77.925,83.25,2025-12-19T00:00:00-05:00,78.76,time stop loss,-0.5296,loss
XLP,TwoDayBreakout_D1,2025-12-15T00:00:00-05:00,2025-12-16T00:00:00-05:00,79.875,78.4,82.825,2025-12-22T00:00:00-05:00,78.4,SL hit,-1.0,loss
XLP,TwoDayBreakout_D1,2025-12-26T00:00:00-05:00,2025-12-29T00:00:00-05:00,78.24,77.39,79.94,2026-01-02T00:00:00-05:00,77.39,SL hit,-1.0,loss
XLP,TwoDayBreakout_D1,2026-01-08T00:00:00-05:00,2026-01-09T00:00:00-05:00,78.645,76.61,82.715,2026-01-15T00:00:00-05:00,82.36,time stop win,1.8256,win
XLP,TwoDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,79.58,76.55,85.64,2026-01-16T00:00:00-05:00,82.14,time stop win,0.8449,win
XLP,TwoDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,80.255,76.55,87.665,2026-01-20T00:00:00-05:00,82.38,time stop win,0.5735,win
XLP,TwoDayBreakout_D1,2026-01-13T00:00:00-05:00,2026-01-14T00:00:00-05:00,81.08,78.38,86.48,2026-01-21T00:00:00-05:00,82.42,time stop win,0.4963,win
XLP,TwoDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,82.035,79.26,87.585,2026-01-22T00:00:00-05:00,82.275,time stop win,0.0865,win
XLP,TwoDayBreakout_D1,2026-01-15T00:00:00-05:00,2026-01-16T00:00:00-05:00,82.035,80.255,85.595,2026-01-23T00:00:00-05:00,82.885,time stop win,0.4775,win
XLP,TwoDayBreakout_D1,2026-01-23T00:00:00-05:00,2026-01-26T00:00:00-05:00,83.125,81.66,86.055,2026-01-30T00:00:00-05:00,83.5,time stop win,0.256,win
XLP,TwoDayBreakout_D1,2026-01-30T00:00:00-05:00,2026-02-02T00:00:00-05:00,83.73,81.96,87.27,2026-02-04T00:00:00-05:00,87.27,TP hit,2.0,win
