symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
IEMG,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03T00:00:00-04:00,57.08,56.39,58.46,2025-06-05T00:00:00-04:00,58.46,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,57.835,56.75,60.005,2025-06-10T00:00:00-04:00,59.31,time stop win,1.3594,win
IEMG,PrevDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05T00:00:00-04:00,58.36,57.06,60.96,2025-06-11T00:00:00-04:00,59.6,time stop win,0.9538,win
IEMG,PrevDayBreakout_D1,2025-06-05T00:00:00-04:00,2025-06-06T00:00:00-04:00,58.295,57.77,59.345,2025-06-11T00:00:00-04:00,59.345,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,59.24,58.23,61.26,2025-06-16T00:00:00-04:00,58.675,time stop loss,-0.5594,loss
IEMG,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,59.605,58.72,61.375,2025-06-13T00:00:00-04:00,58.72,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-06-11T00:00:00-04:00,2025-06-12T00:00:00-04:00,59.48,59.02,60.4,2025-06-13T00:00:00-04:00,59.02,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,59.515,57.39,63.765,2025-07-01T00:00:00-04:00,60.095,time stop win,0.2729,win
IEMG,PrevDayBreakout_D1,2025-06-25T00:00:00-04:00,2025-06-26T00:00:00-04:00,59.8,58.94,61.52,2025-07-02T00:00:00-04:00,60.315,time stop win,0.5988,win
IEMG,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,59.745,59.43,60.375,2025-07-03T00:00:00-04:00,60.375,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,60.09,59.595,61.08,2025-07-08T00:00:00-04:00,60.1,time stop win,0.0202,win
IEMG,PrevDayBreakout_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,59.895,59.585,60.515,2025-07-03T00:00:00-04:00,60.515,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,60.385,59.925,61.305,2025-07-07T00:00:00-04:00,59.925,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-07-03T00:00:00-04:00,2025-07-07T00:00:00-04:00,59.975,59.835,60.255,2025-07-07T00:00:00-04:00,59.835,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,60.105,59.91,60.495,2025-07-15T00:00:00-04:00,60.495,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-07-14T00:00:00-04:00,2025-07-15T00:00:00-04:00,60.75,60.015,62.22,2025-07-21T00:00:00-04:00,61.42,time stop win,0.9116,win
IEMG,PrevDayBreakout_D1,2025-07-15T00:00:00-04:00,2025-07-16T00:00:00-04:00,60.575,60.01,61.705,2025-07-22T00:00:00-04:00,61.38,time stop win,1.4248,win
IEMG,PrevDayBreakout_D1,2025-07-16T00:00:00-04:00,2025-07-17T00:00:00-04:00,60.83,60.49,61.51,2025-07-21T00:00:00-04:00,61.51,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,61.265,60.34,63.115,2025-07-24T00:00:00-04:00,61.69,time stop win,0.4595,win
IEMG,PrevDayBreakout_D1,2025-07-23T00:00:00-04:00,2025-07-24T00:00:00-04:00,61.83,60.96,63.57,2025-07-30T00:00:00-04:00,60.96,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,60.835,59.7,63.105,2025-08-11T00:00:00-04:00,61.26,time stop win,0.3744,win
IEMG,PrevDayBreakout_D1,2025-08-05T00:00:00-04:00,2025-08-06T00:00:00-04:00,60.815,60.37,61.705,2025-08-12T00:00:00-04:00,61.705,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-08-06T00:00:00-04:00,2025-08-07T00:00:00-04:00,61.63,60.59,63.71,2025-08-13T00:00:00-04:00,62.69,time stop win,1.0192,win
IEMG,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,61.305,60.7,62.515,2025-08-13T00:00:00-04:00,62.515,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,62.65,61.2,65.55,2025-08-19T00:00:00-04:00,62.0,time stop loss,-0.4483,loss
IEMG,PrevDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,61.96,61.485,62.91,2025-08-20T00:00:00-04:00,61.87,time stop loss,-0.1895,loss
IEMG,PrevDayBreakout_D1,2025-08-18T00:00:00-04:00,2025-08-19T00:00:00-04:00,62.28,62.04,62.76,2025-08-19T00:00:00-04:00,62.04,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,62.805,61.66,65.095,2025-08-29T00:00:00-04:00,62.085,time stop loss,-0.6288,loss
IEMG,PrevDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,62.02,61.75,62.56,2025-09-02T00:00:00-04:00,61.75,SL hit,-1.0,loss
IEMG,PrevDayBreakout_D1,2025-09-03T00:00:00-04:00,2025-09-04T00:00:00-04:00,61.855,61.405,62.755,2025-09-05T00:00:00-04:00,62.755,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,63.15,61.685,66.08,2025-09-12T00:00:00-04:00,64.78,time stop win,1.1126,win
IEMG,PrevDayBreakout_D1,2025-09-08T00:00:00-04:00,2025-09-09T00:00:00-04:00,63.535,62.47,65.665,2025-09-15T00:00:00-04:00,65.245,time stop win,1.6056,win
IEMG,PrevDayBreakout_D1,2025-09-09T00:00:00-04:00,2025-09-10T00:00:00-04:00,64.03,63.0,66.09,2025-09-16T00:00:00-04:00,65.73,time stop win,1.6505,win
IEMG,PrevDayBreakout_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,64.39,63.52,66.13,2025-09-17T00:00:00-04:00,66.13,TP hit,2.0,win
IEMG,PrevDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,64.82,63.965,66.53,2025-09-18T00:00:00-04:00,65.815,time stop win,1.1637,win
IEMG,PrevDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,65.55,64.68,67.29,2025-09-22T00:00:00-04:00,65.955,time stop win,0.4655,win
