symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XLV,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,133.44,131.11,138.1,2025-06-10T00:00:00-04:00,135.705,time stop win,0.9721,win
XLV,PrevDayBreakout_D1,2025-06-06T00:00:00-04:00,2025-06-09T00:00:00-04:00,134.31,132.59,137.75,2025-06-13T00:00:00-04:00,136.13,time stop win,1.0581,win
XLV,PrevDayBreakout_D1,2025-06-10T00:00:00-04:00,2025-06-11T00:00:00-04:00,135.74,133.42,140.38,2025-06-17T00:00:00-04:00,133.42,SL hit,-1.0,loss
XLV,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13T00:00:00-04:00,136.055,135.345,137.475,2025-06-16T00:00:00-04:00,135.345,SL hit,-1.0,loss
XLV,PrevDayBreakout_D1,2025-06-24T00:00:00-04:00,2025-06-25T00:00:00-04:00,133.44,130.99,138.34,2025-07-01T00:00:00-04:00,136.71,time stop win,1.3347,win
XLV,PrevDayBreakout_D1,2025-07-01T00:00:00-04:00,2025-07-02T00:00:00-04:00,135.95,133.81,140.23,2025-07-07T00:00:00-04:00,133.81,SL hit,-1.0,loss
XLV,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,135.84,134.44,138.64,2025-07-11T00:00:00-04:00,134.44,SL hit,-1.0,loss
XLV,PrevDayBreakout_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,135.3,131.035,143.83,2025-07-29T00:00:00-04:00,134.43,time stop loss,-0.204,loss
XLV,PrevDayBreakout_D1,2025-07-23T00:00:00-04:00,2025-07-24T00:00:00-04:00,136.115,131.415,145.515,2025-07-30T00:00:00-04:00,134.19,time stop loss,-0.4096,loss
XLV,PrevDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,132.565,129.88,137.935,2025-08-07T00:00:00-04:00,129.88,SL hit,-1.0,loss
XLV,PrevDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,132.82,130.19,138.08,2025-08-20T00:00:00-04:00,138.08,TP hit,2.0,win
XLV,PrevDayBreakout_D1,2025-08-14T00:00:00-04:00,2025-08-15T00:00:00-04:00,135.59,131.665,143.44,2025-08-21T00:00:00-04:00,137.05,time stop win,0.372,win
