signal_id,symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,outcome,r_multiple,qty,entry_notional_usd,risk_to_stop_usd,rank_score
EEM_MeanReversion_D1_1,EEM,MeanReversion_D1,2025-05-28T00:00:00-04:00,2025-05-29 04:00:00+00:00,46.32,45.87,47.22,2025-05-30 04:00:00+00:00,45.87,SL hit,loss,-1.0,1.0,46.32,0.45,0.0
IEMG_MeanReversion_D1_1,IEMG,MeanReversion_D1,2025-05-28T00:00:00-04:00,2025-05-29 04:00:00+00:00,57.615,57.11,58.625,2025-05-30 04:00:00+00:00,57.11,SL hit,loss,-1.0,1.0,57.615,0.505,0.0
XBI_TwoDayBreakout_D1_2,XBI,TwoDayBreakout_D1,2025-05-29T00:00:00-04:00,2025-05-30 04:00:00+00:00,79.79,78.7,81.97,2025-05-30 04:00:00+00:00,78.7,SL hit,loss,-1.0,1.0,79.79,1.09,0.0
XLP_TwoDayBreakout_D1_3,XLP,TwoDayBreakout_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,82.615,81.41,85.025,2025-06-05 04:00:00+00:00,81.41,SL hit,loss,-1.0,1.0,82.615,1.205,0.0
XLU_PrevDayBreakout_D1_3,XLU,PrevDayBreakout_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,81.61,80.22,84.39,2025-06-06 04:00:00+00:00,81.17,time stop loss,loss,-0.3165,1.0,81.61,1.39,0.0
EEM_MeanReversion_D1_3,EEM,MeanReversion_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,45.69,45.24,46.59,2025-06-05 04:00:00+00:00,46.59,TP hit,win,2.0,1.0,45.69,0.45,-1.0
IEMG_MeanReversion_D1_3,IEMG,MeanReversion_D1,2025-05-30T00:00:00-04:00,2025-06-02 04:00:00+00:00,56.945,56.39,58.055,2025-06-05 04:00:00+00:00,58.055,TP hit,win,2.0,1.0,56.945,0.555,-1.0
EEM_PrevDayBreakout_D1_4,EEM,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,45.84,45.24,47.04,2025-06-09 04:00:00+00:00,47.04,TP hit,win,2.0,1.0,45.84,0.6,0.0
IEMG_PrevDayBreakout_D1_4,IEMG,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,57.08,56.39,58.46,2025-06-05 04:00:00+00:00,58.46,TP hit,win,2.0,1.0,57.08,0.69,0.0
SMH_PrevDayBreakout_D1_4,SMH,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,243.38,235.38,259.38,2025-06-09 04:00:00+00:00,259.38,TP hit,win,2.0,1.0,243.38,8.0,0.0
XLU_PrevDayBreakout_D1_4,XLU,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,82.83,80.81,86.87,2025-06-05 04:00:00+00:00,80.81,SL hit,loss,-1.0,1.0,82.83,2.02,0.0
XME_PrevDayBreakout_D1_4,XME,PrevDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,61.96,59.34,67.2,2025-06-09 04:00:00+00:00,65.34,time stop win,win,1.2901,1.0,61.96,2.62,0.0
XME_TwoDayBreakout_D1_4,XME,TwoDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,61.96,59.34,67.2,2025-06-09 04:00:00+00:00,65.34,time stop win,win,1.2901,1.0,61.96,2.62,0.0
XBI_TwoDayBreakout_D1_4,XBI,TwoDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03 04:00:00+00:00,81.37,78.06,87.99,2025-06-09 04:00:00+00:00,84.23,time stop win,win,0.864,1.0,81.37,3.31,-1.0
EEM_PrevDayBreakout_D1_5,EEM,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,46.395,45.53,48.125,2025-06-10 04:00:00+00:00,47.6,time stop win,win,1.3931,1.0,46.395,0.865,0.0
EEM_TwoDayBreakout_D1_5,EEM,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,46.395,45.24,48.705,2025-06-10 04:00:00+00:00,47.6,time stop win,win,1.0433,1.0,46.395,1.155,0.0
IEMG_PrevDayBreakout_D1_5,IEMG,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,57.835,56.75,60.005,2025-06-10 04:00:00+00:00,59.31,time stop win,win,1.3594,1.0,57.835,1.085,0.0
IEMG_TwoDayBreakout_D1_5,IEMG,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,57.835,56.39,60.725,2025-06-10 04:00:00+00:00,59.31,time stop win,win,1.0208,1.0,57.835,1.445,0.0
IWM_PrevDayBreakout_D1_5,IWM,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,209.26,202.67,222.44,2025-06-10 04:00:00+00:00,214.51,time stop win,win,0.7967,1.0,209.26,6.59,0.0
KRE_PrevDayBreakout_D1_5,KRE,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,57.33,55.61,60.77,2025-06-10 04:00:00+00:00,58.935,time stop win,win,0.9331,1.0,57.33,1.72,0.0
SMH_PrevDayBreakout_D1_5,SMH,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,250.75,239.175,273.9,2025-06-10 04:00:00+00:00,262.13,time stop win,win,0.9832,1.0,250.75,11.575,0.0
SMH_TwoDayBreakout_D1_5,SMH,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,250.75,235.38,281.49,2025-06-10 04:00:00+00:00,262.13,time stop win,win,0.7404,1.0,250.75,15.37,0.0
XAR_TwoDayBreakout_D1_5,XAR,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,194.48,189.1,205.24,2025-06-10 04:00:00+00:00,196.33,time stop win,win,0.3439,1.0,194.48,5.38,0.0
XLI_TwoDayBreakout_D1_5,XLI,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,144.115,140.84,150.665,2025-06-10 04:00:00+00:00,144.22,time stop win,win,0.0321,1.0,144.115,3.275,0.0
XLU_PrevDayBreakout_D1_5,XLU,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,82.215,81.245,84.155,2025-06-04 04:00:00+00:00,81.245,SL hit,loss,-1.0,1.0,82.215,0.97,0.0
XLV_PrevDayBreakout_D1_5,XLV,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,133.44,131.11,138.1,2025-06-10 04:00:00+00:00,135.705,time stop win,win,0.9721,1.0,133.44,2.33,0.0
XME_PrevDayBreakout_D1_5,XME,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,63.53,61.64,67.31,2025-06-10 04:00:00+00:00,64.84,time stop win,win,0.6931,1.0,63.53,1.89,0.0
XME_TwoDayBreakout_D1_5,XME,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,63.53,59.34,71.91,2025-06-10 04:00:00+00:00,64.84,time stop win,win,0.3126,1.0,63.53,4.19,0.0
XBI_TwoDayBreakout_D1_5,XBI,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04 04:00:00+00:00,82.465,78.06,91.275,2025-06-10 04:00:00+00:00,85.28,time stop win,win,0.639,1.0,82.465,4.405,-1.0
EEM_PrevDayBreakout_D1_6,EEM,PrevDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05 04:00:00+00:00,46.925,45.76,49.255,2025-06-11 04:00:00+00:00,47.81,time stop win,win,0.7597,1.0,46.925,1.165,0.0
EEM_TwoDayBreakout_D1_6,EEM,TwoDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05 04:00:00+00:00,46.925,45.53,49.715,2025-06-11 04:00:00+00:00,47.81,time stop win,win,0.6344,1.0,46.925,1.395,0.0
IEMG_PrevDayBreakout_D1_6,IEMG,PrevDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05 04:00:00+00:00,58.36,57.06,60.96,2025-06-11 04:00:00+00:00,59.6,time stop win,win,0.9538,1.0,58.36,1.3,0.0
