symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XME,TwoDayBreakout_D1,2025-06-02T00:00:00-04:00,2025-06-03T00:00:00-04:00,61.96,59.34,67.2,2025-06-09T00:00:00-04:00,65.34,time stop win,1.2901,win
XME,TwoDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,63.53,59.34,71.91,2025-06-10T00:00:00-04:00,64.84,time stop win,0.3126,win
XME,TwoDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05T00:00:00-04:00,65.02,61.435,72.19,2025-06-11T00:00:00-04:00,64.35,time stop loss,-0.1869,loss
XME,TwoDayBreakout_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,66.22,63.76,71.14,2025-06-23T00:00:00-04:00,66.22,time stop scratch,0.0,scratch
XME,TwoDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,66.465,63.79,71.815,2025-06-24T00:00:00-04:00,65.98,time stop loss,-0.1813,loss
XME,TwoDayBreakout_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,66.66,64.28,71.42,2025-06-25T00:00:00-04:00,65.52,time stop loss,-0.479,loss
XME,TwoDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,66.665,65.2,69.595,2025-07-02T00:00:00-04:00,69.595,TP hit,2.0,win
XME,TwoDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,69.97,66.115,77.68,2025-07-10T00:00:00-04:00,72.14,time stop win,0.5629,win
XME,TwoDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,71.905,68.07,79.575,2025-07-17T00:00:00-04:00,74.61,time stop win,0.7053,win
XME,TwoDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,72.92,68.07,82.62,2025-07-18T00:00:00-04:00,75.18,time stop win,0.466,win
XME,TwoDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,74.92,71.4,81.96,2025-07-24T00:00:00-04:00,77.23,time stop win,0.6563,win
XME,TwoDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,76.57,71.4,86.91,2025-07-25T00:00:00-04:00,77.54,time stop win,0.1876,win
XME,TwoDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,76.89,71.985,86.7,2025-07-28T00:00:00-04:00,76.2,time stop loss,-0.1407,loss
XME,TwoDayBreakout_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,78.54,74.85,85.92,2025-07-29T00:00:00-04:00,74.85,SL hit,-1.0,loss
XME,TwoDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,74.35,71.09,80.87,2025-08-11T00:00:00-04:00,78.725,time stop win,1.342,win
XME,TwoDayBreakout_D1,2025-08-05T00:00:00-04:00,2025-08-06T00:00:00-04:00,76.185,71.09,86.375,2025-08-12T00:00:00-04:00,80.995,time stop win,0.9441,win
XME,TwoDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,79.335,73.76,90.485,2025-08-14T00:00:00-04:00,80.59,time stop win,0.2251,win
XME,TwoDayBreakout_D1,2025-08-08T00:00:00-04:00,2025-08-11T00:00:00-04:00,78.305,75.34,84.235,2025-08-15T00:00:00-04:00,79.8,time stop win,0.5042,win
XME,TwoDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,80.81,78.01,86.41,2025-08-19T00:00:00-04:00,78.01,SL hit,-1.0,loss
XME,TwoDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,80.485,78.01,85.435,2025-08-19T00:00:00-04:00,78.01,SL hit,-1.0,loss
XME,TwoDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,80.33,76.455,88.08,2025-08-29T00:00:00-04:00,82.3,time stop win,0.5084,win
XME,TwoDayBreakout_D1,2025-08-25T00:00:00-04:00,2025-08-26T00:00:00-04:00,80.71,76.59,88.95,2025-09-02T00:00:00-04:00,81.55,time stop win,0.2039,win
XME,TwoDayBreakout_D1,2025-08-29T00:00:00-04:00,2025-09-02T00:00:00-04:00,81.435,80.31,83.685,2025-09-02T00:00:00-04:00,80.31,SL hit,-1.0,loss
XME,TwoDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,84.365,80.835,91.425,2025-09-12T00:00:00-04:00,85.58,time stop win,0.3442,win
XME,TwoDayBreakout_D1,2025-09-08T00:00:00-04:00,2025-09-09T00:00:00-04:00,84.22,80.835,90.99,2025-09-15T00:00:00-04:00,89.05,time stop win,1.4269,win
XME,TwoDayBreakout_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,84.44,83.15,87.02,2025-09-15T00:00:00-04:00,87.02,TP hit,2.0,win
XME,TwoDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,85.74,83.15,90.92,2025-09-18T00:00:00-04:00,89.035,time stop win,1.2722,win
XME,TwoDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,89.415,84.44,99.365,2025-09-22T00:00:00-04:00,90.92,time stop win,0.3025,win
XME,TwoDayBreakout_D1,2025-09-19T00:00:00-04:00,2025-09-22T00:00:00-04:00,90.315,86.79,97.365,2025-09-26T00:00:00-04:00,92.18,time stop win,0.5291,win
XME,TwoDayBreakout_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,91.505,89.08,96.355,2025-09-30T00:00:00-04:00,93.215,time stop win,0.7052,win
XME,TwoDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,93.25,89.33,101.09,2025-10-06T00:00:00-04:00,98.16,time stop win,1.2526,win
XME,TwoDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,95.96,91.98,103.92,2025-10-08T00:00:00-04:00,102.26,time stop win,1.5829,win
XME,TwoDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,97.41,91.98,108.27,2025-10-09T00:00:00-04:00,102.34,time stop win,0.9079,win
XME,TwoDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,99.0,93.35,110.3,2025-10-10T00:00:00-04:00,100.85,time stop win,0.3274,win
XME,TwoDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,104.12,98.13,116.1,2025-10-15T00:00:00-04:00,107.91,time stop win,0.6327,win
XME,TwoDayBreakout_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,103.915,98.24,115.265,2025-10-16T00:00:00-04:00,106.64,time stop win,0.4802,win
XME,TwoDayBreakout_D1,2025-10-13T00:00:00-04:00,2025-10-14T00:00:00-04:00,106.92,100.78,119.2,2025-10-20T00:00:00-04:00,107.27,time stop win,0.057,win
XME,TwoDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,110.26,100.78,129.22,2025-10-21T00:00:00-04:00,100.78,SL hit,-1.0,loss
XME,TwoDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,94.52,90.225,103.11,2025-11-14T00:00:00-05:00,90.225,SL hit,-1.0,loss
